# Order_Type Price Size
# Order_Type: 1=Buy, 0=Sell
0 100.00 62
1 100.00 153
1 100.00 17
1 100.01 97
0 100.01 29
0 100.01 39
0 100.01 57
1 100.02 48
1 100.02 10
1 100.02 217
1 100.02 170
0 100.02 47
1 100.02 139
1 100.02 37
0 100.01 20
0 100.00 58
1 100.00 17
0 99.99 100
0 99.99 27
1 99.99 11
0 99.98 1
0 99.99 48
1 99.99 75
1 99.99 208
0 99.98 10
1 99.98 150
1 99.98 34
1 99.97 51
0 99.98 55
0 99.97 54
0 99.97 7
0 99.97 112
0 99.98 126
0 99.98 142
1 99.97 89
0 99.98 44
0 99.97 13
0 99.97 86
0 99.96 57
0 99.96 54
0 99.96 85
1 99.96 52
1 99.96 35
1 99.96 17
1 99.96 54
1 99.95 238
1 99.95 18
1 99.95 149
0 99.95 112
1 99.95 10
1 99.94 100
1 99.95 56
1 99.94 50
0 99.94 402
0 99.94 140
0 99.95 22
1 99.95 104
0 99.95 22
1 99.95 23
1 99.95 64
0 99.95 177
0 99.95 12
0 99.95 33
0 99.94 177
0 99.94 21
0 99.94 56
1 99.95 40
1 99.95 196
1 99.95 75
1 99.96 40
1 99.95 24
0 99.95 448
0 99.96 51
1 99.96 44
0 99.97 90
1 99.96 112
0 99.96 13
1 99.96 45
1 99.96 19
1 99.96 31
0 99.95 195
1 99.95 173
0 99.95 98
0 99.96 13
1 99.96 66
1 99.95 31
0 99.95 147
0 99.95 31
1 99.96 24
1 99.95 78
1 99.96 184
0 99.96 159
0 99.96 200
1 99.96 202
1 99.96 279
1 99.95 65
0 99.95 35
0 99.95 24
0 99.95 180
0 99.95 46
1 99.95 22
0 99.94 92
0 99.94 13
0 99.94 19
1 99.93 68
0 99.93 132
1 99.93 39
0 99.94 43
0 99.94 120
0 99.95 125
0 99.95 7
1 99.94 241
0 99.94 39
1 99.94 26
0 99.95 34
0 99.95 14
1 99.95 697
0 99.95 15
0 99.94 12
1 99.95 42
0 99.95 14
0 99.96 62
0 99.95 282
0 99.96 64
1 99.95 77
1 99.95 41
1 99.97 19
0 99.96 41
0 99.96 157
0 99.96 212
1 99.96 57
1 99.95 131
0 99.95 25
0 99.94 30
1 99.95 11
0 99.94 166
1 99.95 31
0 99.94 14
0 99.94 90
1 99.95 209
0 99.94 38
0 99.94 9
1 99.95 39
0 99.94 69
0 99.94 99
1 99.94 119
0 99.95 59
0 99.94 42
1 99.93 108
1 99.94 15
0 99.94 21
0 99.94 26
0 99.94 35
0 99.94 14
1 99.94 144
1 99.94 16
1 99.94 4
0 99.95 146
1 99.95 91
1 99.94 51
1 99.95 87
0 99.94 61
1 99.94 175
0 99.95 25
0 99.95 310
1 99.95 141
1 99.95 30
0 99.96 25
1 99.97 63
1 99.97 18
0 99.96 44
1 99.96 210
0 99.95 66
0 99.95 443
0 99.95 25
1 99.96 86
1 99.96 32
0 99.96 44
1 99.97 90
1 99.97 26
0 99.98 23
0 99.98 34
0 99.98 32
1 99.97 20
1 99.98 232
1 99.97 40
0 99.98 125
1 99.98 117
1 99.98 152
1 99.98 14
1 99.97 38
1 99.97 109
1 99.97 30
0 99.97 242
1 99.97 16
0 99.97 124
1 99.97 35
1 99.96 156
0 99.96 71
0 99.96 23
0 99.96 124
0 99.96 10
0 99.96 39
1 99.97 35
1 99.97 84
1 99.97 4
1 99.96 69
1 99.97 79
1 99.97 25
0 99.97 40
1 99.99 57
0 99.99 141
1 100.00 6
1 100.00 52
0 100.01 88
0 100.00 102
1 100.01 44
0 100.00 97
1 100.00 51
1 100.00 168
0 100.00 24
1 100.01 28
1 100.00 87
0 100.01 104
1 100.00 90
1 100.00 36
1 100.00 36
0 100.00 54
1 100.00 18
0 99.99 24
1 100.00 235
1 99.99 46
1 99.99 32
0 99.99 31
1 99.99 73
1 100.00 449
0 100.01 172
1 100.00 15
1 100.00 197
0 99.99 24
1 100.00 29
1 99.99 34
1 99.99 17
0 100.00 198
1 100.00 31
0 99.99 7
1 99.99 23
1 99.99 67
0 99.99 10
1 99.99 72
1 100.00 22
0 99.99 167
1 100.00 86
1 100.01 59
0 100.01 12
0 100.00 15
1 100.00 31
1 100.01 43
1 100.00 252
0 100.01 73
0 100.01 37
0 100.01 239
1 100.00 50
1 99.99 84
0 99.98 258
0 99.98 112
0 99.98 85
0 99.98 98
0 99.98 51
1 99.97 57
0 99.98 11
1 99.98 27
0 99.98 52
0 99.98 87
1 99.98 35
1 99.98 595
1 99.98 120
1 99.98 70
1 99.98 13
0 99.98 52
0 99.98 91
1 99.98 50
0 99.98 48
1 99.99 47
1 99.98 27
0 99.99 16
0 99.98 485
1 99.98 20
1 99.98 34
1 99.99 70
1 99.98 7
0 99.98 258
0 99.98 176
1 99.98 12
0 99.98 40
1 99.98 142
1 99.98 53
1 99.98 148
1 99.98 251
0 99.99 24
0 99.99 87
1 99.99 16
0 99.98 34
1 99.99 59
1 99.99 63
1 99.99 23
1 99.99 99
0 100.00 13
0 100.00 23
0 100.00 160
0 100.00 25
1 100.00 72
1 100.00 280
1 100.01 54
0 100.01 209
0 100.02 14
1 100.02 30
0 100.02 68
1 100.02 19
0 100.02 34
0 100.02 63
0 100.02 65
0 100.02 40
0 100.02 9
1 100.03 29
0 100.02 13
1 100.02 51
0 100.02 52
0 100.03 48
0 100.03 21
0 100.03 10
1 100.03 228
0 100.03 56
1 100.03 40
0 100.03 51
0 100.03 14
1 100.03 198
0 100.03 27
1 100.02 49
1 100.03 89
0 100.02 112
1 100.02 53
1 100.02 19
1 100.02 99
1 100.02 128
0 100.02 176
0 100.02 94
1 100.01 444
0 100.00 63
1 100.00 67
0 100.00 187
1 100.00 273
0 100.01 219
1 100.01 50
0 100.01 117
1 100.01 158
0 100.01 58
1 100.01 23
1 100.01 20
1 100.01 80
0 100.00 131
1 100.01 35
0 100.01 25
1 100.01 33
1 100.01 63
1 100.02 119
1 100.02 79
0 100.02 55
1 100.02 219
0 100.02 831
1 100.01 55
0 100.01 272
0 100.02 27
0 100.02 171
1 100.03 24
1 100.04 38
0 100.04 52
1 100.04 8
1 100.04 9
0 100.05 23
0 100.05 205
1 100.04 43
1 100.04 136
1 100.03 11
1 100.03 78
1 100.02 85
1 100.02 21
1 100.03 351
0 100.04 16
0 100.04 43
0 100.04 636
0 100.03 21
1 100.04 29
1 100.03 64
1 100.04 14
1 100.04 92
1 100.04 9
1 100.03 55
0 100.04 232
1 100.04 104
1 100.05 52
1 100.04 40
1 100.03 50
0 100.03 41
0 100.03 81
1 100.03 104
1 100.04 63
1 100.03 110
0 100.03 91
1 100.03 16
0 100.03 5
0 100.04 65
0 100.03 35
1 100.02 67
1 100.03 291
1 100.03 42
1 100.03 74
1 100.03 23
0 100.04 89
1 100.04 25
1 100.04 149
0 100.05 62
1 100.06 47
0 100.06 11
1 100.06 14
1 100.07 98
0 100.07 175
1 100.07 70
0 100.07 43
0 100.08 57
1 100.07 47
1 100.06 27
1 100.05 14
0 100.05 14
1 100.06 27
1 100.06 60
1 100.06 14
0 100.07 51
1 100.06 26
0 100.06 10
0 100.06 29
0 100.06 69
1 100.06 29
0 100.05 239
0 100.05 102
0 100.04 157
0 100.04 1220
1 100.05 31
0 100.04 13
1 100.04 25
0 100.03 58
0 100.03 81
1 100.04 66
1 100.03 35
1 100.03 83
0 100.03 171
0 100.03 26
1 100.03 22
0 100.02 389
1 100.02 18
1 100.01 127
1 100.02 45
1 100.02 241
1 100.02 41
1 100.02 81
1 100.02 15
1 100.02 28
0 100.02 70
0 100.03 28
1 100.02 15
1 100.02 457
1 100.02 54
0 100.01 172
1 100.00 368
0 100.01 32
0 100.02 50
0 100.01 59
0 100.02 87
0 100.02 167
0 100.03 145
1 100.04 112
1 100.04 40
1 100.03 54
0 100.03 16
0 100.03 111
0 100.02 551
0 100.02 71
0 100.01 221
0 100.01 126
0 100.02 32
1 100.02 23
1 100.02 17
0 100.03 62
1 100.03 95
1 100.02 100
0 100.03 18
0 100.03 187
1 100.03 31
0 100.03 62
1 100.02 29
0 100.02 17
1 100.02 15
1 100.03 111
0 100.02 54
1 100.03 18
0 100.02 29
1 100.02 227
1 100.02 132
1 100.01 101
1 100.01 450
1 100.01 245
1 100.01 57
0 100.01 32
1 100.01 724
0 100.01 182
0 100.00 32
1 100.01 14
1 100.01 6
1 100.00 15
0 100.00 34
