num_threads,runtime_microseconds,throughput_ops_sec
1,17978,5.56235e+06
1,16803,5.95132e+06
1,15292,6.53937e+06
1,16720,5.98086e+06
1,17261,5.79341e+06
1,18849,5.30532e+06
1,16474,6.07017e+06
1,23059,4.3367e+06
1,14100,7.0922e+06
1,15102,6.62164e+06
1,16999,5.8827e+06
1,19755,5.06201e+06
1,14783,6.76453e+06
1,17208,5.81125e+06
1,15987,6.25508e+06
1,16185,6.17856e+06
1,16672,5.99808e+06
1,18084,5.52975e+06
1,17784,5.62303e+06
1,15230,6.56599e+06
1,15938,6.27431e+06
1,13688,7.30567e+06
1,13416,7.45379e+06
1,13251,7.5466e+06
1,15824,6.31951e+06
1,16412,6.0931e+06
1,17366,5.75838e+06
1,20141,4.965e+06
1,14455,6.91802e+06
1,14940,6.69344e+06
1,14591,6.85354e+06
1,14722,6.79256e+06
1,20540,4.86855e+06
1,14862,6.72857e+06
1,19696,5.07717e+06
1,14045,7.11997e+06
1,15409,6.48971e+06
1,13258,7.54262e+06
1,21912,4.56371e+06
1,18143,5.51177e+06
1,13187,7.58323e+06
1,15361,6.50999e+06
1,13222,7.56315e+06
1,13230,7.55858e+06
1,14057,7.11389e+06
1,15147,6.60197e+06
1,13495,7.41015e+06
1,18894,5.29269e+06
1,13431,7.44546e+06
1,14111,7.08667e+06
1,14959,6.68494e+06
1,14882,6.71953e+06
1,14140,7.07214e+06
1,15444,6.47501e+06
1,12584,7.9466e+06
1,14169,7.05766e+06
1,12669,7.89328e+06
1,12566,7.95798e+06
1,22631,4.41872e+06
1,17079,5.85514e+06
1,21934,4.55913e+06
1,14155,7.06464e+06
1,17271,5.79005e+06
1,15024,6.65602e+06
1,15403,6.49224e+06
1,13340,7.49625e+06
1,13154,7.60225e+06
1,13305,7.51597e+06
1,14660,6.82128e+06
1,13411,7.45657e+06
1,21725,4.60299e+06
1,16703,5.98695e+06
1,16158,6.18888e+06
1,14610,6.84463e+06
1,15682,6.37674e+06
1,14961,6.68405e+06
1,19935,5.0163e+06
1,14050,7.11744e+06
1,13863,7.21345e+06
1,16930,5.90667e+06
1,16773,5.96196e+06
1,17532,5.70386e+06
1,15220,6.5703e+06
1,16787,5.95699e+06
1,15575,6.42055e+06
1,12331,8.10964e+06
1,13325,7.50469e+06
1,18565,5.38648e+06
1,14152,7.06614e+06
1,13992,7.14694e+06
1,13140,7.61035e+06
1,16006,6.24766e+06
1,15522,6.44247e+06
1,18312,5.4609e+06
1,15652,6.38896e+06
1,14894,6.71411e+06
1,16330,6.1237e+06
1,15778,6.33794e+06
1,13801,7.24585e+06
1,11858,8.43313e+06
2,32802,3.04859e+06
2,30263,3.30437e+06
2,33120,3.01932e+06
2,32571,3.07022e+06
2,30033,3.32967e+06
2,30590,3.26904e+06
2,31194,3.20574e+06
2,29614,3.37678e+06
2,32038,3.12129e+06
2,30637,3.26403e+06
2,23885,4.18673e+06
2,27137,3.68501e+06
2,24358,4.10543e+06
2,25474,3.92557e+06
2,25315,3.95023e+06
2,24078,4.15317e+06
2,37362,2.67652e+06
2,24321,4.11167e+06
2,31048,3.22082e+06
2,43194,2.31514e+06
2,31724,3.15219e+06
2,32575,3.06984e+06
2,51575,1.93892e+06
2,44329,2.25586e+06
2,47932,2.08629e+06
2,46975,2.12879e+06
2,45165,2.2141e+06
2,44529,2.24573e+06
2,47865,2.08921e+06
2,45278,2.20858e+06
2,44074,2.26891e+06
2,29315,3.41122e+06
2,31460,3.17864e+06
2,34831,2.87101e+06
2,30467,3.28224e+06
2,29940,3.34001e+06
2,46077,2.17028e+06
2,30109,3.32127e+06
2,30511,3.27751e+06
2,31748,3.1498e+06
2,30230,3.30797e+06
2,30271,3.30349e+06
2,28773,3.47548e+06
2,29290,3.41413e+06
2,29311,3.41169e+06
2,29434,3.39743e+06
2,30425,3.28677e+06
2,45456,2.19993e+06
2,31583,3.16626e+06
2,48095,2.07922e+06
2,46079,2.17019e+06
2,45087,2.21793e+06
2,43403,2.30399e+06
2,28535,3.50447e+06
2,31033,3.22238e+06
2,30686,3.25882e+06
2,46648,2.14371e+06
2,30174,3.31411e+06
2,31004,3.22539e+06
2,29988,3.33467e+06
2,29885,3.34616e+06
2,39754,2.51547e+06
2,24313,4.11303e+06
2,48511,2.06139e+06
2,24858,4.02285e+06
2,24161,4.1389e+06
2,46237,2.16277e+06
2,45628,2.19164e+06
2,24364,4.10442e+06
2,45877,2.17974e+06
2,44883,2.22802e+06
2,44976,2.22341e+06
2,46691,2.14174e+06
2,43980,2.27376e+06
2,24232,4.12677e+06
2,23743,4.21177e+06
2,24505,4.0808e+06
2,46024,2.17278e+06
2,24227,4.12763e+06
2,25896,3.8616e+06
2,23932,4.17851e+06
2,45419,2.20172e+06
2,43623,2.29237e+06
2,46825,2.13561e+06
2,44015,2.27195e+06
2,44864,2.22896e+06
2,17981,5.56143e+06
2,24172,4.13702e+06
2,24359,4.10526e+06
2,45855,2.18079e+06
2,24482,4.08463e+06
2,24798,4.03258e+06
2,24331,4.10998e+06
2,24136,4.14319e+06
2,45823,2.18231e+06
2,44147,2.26516e+06
2,23920,4.1806e+06
2,23584,4.24016e+06
2,31053,3.2203e+06
2,46904,2.13201e+06
3,44253,2.25973e+06
3,49661,2.01365e+06
3,48150,2.07684e+06
3,38016,2.63047e+06
3,57568,1.73708e+06
3,50401,1.98409e+06
3,35761,2.79634e+06
3,35801,2.79322e+06
3,35233,2.83825e+06
3,49704,2.01191e+06
3,42901,2.33095e+06
3,51141,1.95538e+06
3,51266,1.95061e+06
3,52742,1.89602e+06
3,35737,2.79822e+06
3,35126,2.84689e+06
3,44207,2.26209e+06
3,45764,2.18512e+06
3,40949,2.44206e+06
3,50561,1.97781e+06
3,32816,3.04729e+06
3,47745,2.09446e+06
3,49922,2.00312e+06
3,50376,1.98507e+06
3,49480,2.02102e+06
3,49089,2.03712e+06
3,49790,2.00844e+06
3,50411,1.98369e+06
3,48037,2.08173e+06
3,42546,2.3504e+06
3,45566,2.19462e+06
3,44437,2.25038e+06
3,50778,1.96936e+06
3,27779,3.59984e+06
3,43672,2.2898e+06
3,45614,2.19231e+06
3,44468,2.24881e+06
3,46445,2.15308e+06
3,44512,2.24659e+06
3,31364,3.18837e+06
3,27720,3.6075e+06
3,28622,3.49382e+06
3,28448,3.51519e+06
3,39441,2.53543e+06
3,28267,3.53769e+06
3,50321,1.98724e+06
3,50163,1.9935e+06
3,50698,1.97246e+06
3,50200,1.99203e+06
3,50013,1.99948e+06
3,50492,1.98051e+06
3,48308,2.07005e+06
3,50265,1.98946e+06
3,48687,2.05394e+06
3,35272,2.83511e+06
3,50135,1.99461e+06
3,52526,1.90382e+06
3,54844,1.82335e+06
3,34887,2.8664e+06
3,49519,2.01943e+06
3,48306,2.07014e+06
3,49422,2.02339e+06
3,51697,1.93435e+06
3,42601,2.34736e+06
3,50300,1.98807e+06
3,45662,2.19e+06
3,45552,2.19529e+06
3,52930,1.88929e+06
3,50728,1.9713e+06
3,50949,1.96275e+06
3,48716,2.05271e+06
3,49867,2.00533e+06
3,51423,1.94466e+06
3,53786,1.85922e+06
3,51317,1.94867e+06
3,50557,1.97797e+06
3,52955,1.8884e+06
3,52768,1.89509e+06
3,52325,1.91113e+06
3,49513,2.01967e+06
3,48001,2.08329e+06
3,45432,2.20109e+06
3,51897,1.92689e+06
3,46336,2.15815e+06
3,49996,2.00016e+06
3,49698,2.01215e+06
3,36404,2.74695e+06
3,42317,2.36312e+06
3,42851,2.33367e+06
3,46282,2.16067e+06
3,45828,2.18207e+06
3,36470,2.74198e+06
3,36498,2.73988e+06
3,57084,1.7518e+06
3,49567,2.01747e+06
3,37617,2.65837e+06
3,46214,2.16385e+06
3,49314,2.02782e+06
3,45665,2.18986e+06
3,46409,2.15475e+06
4,59816,1.67179e+06
4,61147,1.6354e+06
4,47174,2.11981e+06
4,59809,1.67199e+06
4,56499,1.76994e+06
4,56154,1.78082e+06
4,62412,1.60226e+06
4,54500,1.83486e+06
4,54444,1.83675e+06
4,52756,1.89552e+06
4,49092,2.03699e+06
4,58276,1.71597e+06
4,49447,2.02237e+06
4,63273,1.58045e+06
4,61185,1.63439e+06
4,55842,1.79077e+06
4,59980,1.66722e+06
4,54083,1.84901e+06
4,55216,1.81107e+06
4,54560,1.83284e+06
4,54493,1.8351e+06
4,57664,1.73418e+06
4,53390,1.87301e+06
4,51374,1.94651e+06
4,55363,1.80626e+06
4,59776,1.67291e+06
4,52666,1.89876e+06
4,60731,1.64661e+06
4,60250,1.65975e+06
4,60554,1.65142e+06
4,60145,1.66265e+06
4,55652,1.79688e+06
4,107923,926587
4,55829,1.79118e+06
4,54228,1.84407e+06
4,55138,1.81363e+06
4,55976,1.78648e+06
4,55947,1.78741e+06
4,54674,1.82902e+06
4,60432,1.65475e+06
4,57484,1.73961e+06
