num_threads,runtime_microseconds,throughput_ops_sec
1,27172,3.68026e+06
1,19680,5.0813e+06
1,31383,3.18644e+06
1,30646,3.26307e+06
1,23744,4.21159e+06
1,27397,3.65003e+06
1,26842,3.7255e+06
1,27312,3.66139e+06
1,26230,3.81243e+06
1,27079,3.6929e+06
1,26968,3.7081e+06
1,27121,3.68718e+06
1,19188,5.21159e+06
1,19314,5.17759e+06
1,19259,5.19238e+06
1,19157,5.22002e+06
1,19223,5.2021e+06
1,19160,5.21921e+06
1,19168,5.21703e+06
1,19223,5.2021e+06
1,24945,4.00882e+06
1,19263,5.1913e+06
1,19225,5.20156e+06
1,19144,5.22357e+06
1,19155,5.22057e+06
1,24057,4.15679e+06
1,21146,4.72903e+06
1,19355,5.16662e+06
1,19691,5.07846e+06
1,21161,4.72567e+06
1,19273,5.18861e+06
1,19244,5.19642e+06
1,19201,5.20806e+06
1,19156,5.2203e+06
1,19145,5.2233e+06
1,19163,5.21839e+06
1,19281,5.18645e+06
1,19167,5.2173e+06
1,19322,5.17545e+06
1,19107,5.23368e+06
1,19256,5.19319e+06
1,19177,5.21458e+06
1,27436,3.64485e+06
1,19177,5.21458e+06
1,19149,5.2222e+06
1,19201,5.20806e+06
1,26844,3.72523e+06
1,24316,4.11252e+06
1,20729,4.82416e+06
1,21650,4.61894e+06
1,19507,5.12636e+06
1,19122,5.22958e+06
1,19204,5.20725e+06
1,19193,5.21023e+06
1,19208,5.20616e+06
1,19261,5.19184e+06
1,19173,5.21567e+06
1,19180,5.21376e+06
1,19127,5.22821e+06
1,19198,5.20888e+06
1,19204,5.20725e+06
1,19199,5.2086e+06
1,19163,5.21839e+06
1,19211,5.20535e+06
1,19232,5.19967e+06
1,19245,5.19615e+06
1,19260,5.19211e+06
1,20177,4.95614e+06
1,19168,5.21703e+06
1,19955,5.01128e+06
1,27346,3.65684e+06
1,19172,5.21594e+06
1,20150,4.96278e+06
1,19354,5.16689e+06
1,28943,3.45507e+06
1,19747,5.06406e+06
1,19160,5.21921e+06
1,19130,5.22739e+06
1,19104,5.23451e+06
1,19120,5.23013e+06
1,24560,4.07166e+06
1,28494,3.50951e+06
1,26684,3.74756e+06
1,19083,5.24027e+06
1,19203,5.20752e+06
1,19180,5.21376e+06
1,23052,4.33802e+06
1,19072,5.24329e+06
1,19501,5.12794e+06
1,19204,5.20725e+06
1,19191,5.21078e+06
1,19648,5.08958e+06
1,19188,5.21159e+06
1,19828,5.04337e+06
1,19170,5.21648e+06
1,19476,5.13452e+06
1,19362,5.16476e+06
1,21020,4.75737e+06
1,19109,5.23314e+06
1,21696,4.60914e+06
2,50535,1.97883e+06
2,51213,1.95263e+06
2,27027,3.7e+06
2,22875,4.37158e+06
2,23010,4.34594e+06
2,21435,4.66527e+06
2,20802,4.80723e+06
2,20957,4.77168e+06
2,52536,1.90346e+06
2,22726,4.40025e+06
2,54241,1.84362e+06
2,53096,1.88338e+06
2,26500,3.77358e+06
2,54807,1.82458e+06
2,21156,4.72679e+06
2,20215,4.94682e+06
