num_threads,runtime_microseconds,throughput_ops_sec
1,8010,1.24844e+07
1,13488,7.414e+06
1,13765,7.2648e+06
1,13613,7.34592e+06
1,8476,1.1798e+07
1,8438,1.18511e+07
1,7948,1.25818e+07
1,8651,1.15594e+07
1,8099,1.23472e+07
1,8613,1.16104e+07
1,8798,1.13662e+07
1,8330,1.20048e+07
1,8700,1.14943e+07
1,12606,7.93273e+06
1,8356,1.19674e+07
1,12775,7.82779e+06
1,10610,9.42507e+06
1,14479,6.90655e+06
1,7914,1.26358e+07
1,8233,1.21462e+07
1,12468,8.02053e+06
1,13555,7.37735e+06
1,12443,8.03665e+06
1,13193,7.57978e+06
1,14156,7.06414e+06
1,7533,1.32749e+07
1,9884,1.01174e+07
1,8473,1.18022e+07
1,8357,1.1966e+07
1,8346,1.19818e+07
1,8604,1.16225e+07
1,8100,1.23457e+07
1,7625,1.31148e+07
1,8039,1.24394e+07
1,8561,1.16809e+07
1,8074,1.23854e+07
1,21223,4.71187e+06
1,11553,8.65576e+06
1,13937,7.17515e+06
1,14363,6.96233e+06
1,13891,7.19891e+06
1,12985,7.70119e+06
1,13042,7.66754e+06
1,8078,1.23793e+07
1,7786,1.28436e+07
1,7852,1.27356e+07
1,7933,1.26056e+07
1,7928,1.26135e+07
1,7825,1.27796e+07
1,9357,1.06872e+07
1,8030,1.24533e+07
1,8132,1.22971e+07
1,8103,1.23411e+07
1,7983,1.25266e+07
1,8191,1.22085e+07
1,7970,1.25471e+07
1,8350,1.1976e+07
1,12712,7.86658e+06
1,14116,7.08416e+06
1,10286,9.72195e+06
1,7622,1.31199e+07
1,8234,1.21448e+07
1,7681,1.30191e+07
1,8212,1.21773e+07
1,8011,1.24828e+07
1,7874,1.27e+07
1,8012,1.24813e+07
1,8246,1.21271e+07
1,7957,1.25676e+07
1,7817,1.27926e+07
1,7967,1.25518e+07
1,9859,1.0143e+07
1,9644,1.03691e+07
1,15246,6.5591e+06
1,12587,7.9447e+06
1,12496,8.00256e+06
1,13449,7.4355e+06
1,11211,8.91981e+06
1,11737,8.52006e+06
1,13987,7.1495e+06
1,13777,7.25847e+06
1,12651,7.90451e+06
1,13738,7.27908e+06
1,14003,7.14133e+06
1,8196,1.22011e+07
1,8502,1.17619e+07
1,7597,1.31631e+07
1,8251,1.21197e+07
1,8745,1.14351e+07
1,8624,1.15955e+07
1,8273,1.20875e+07
1,7595,1.31666e+07
1,8050,1.24224e+07
1,7938,1.25976e+07
1,8538,1.17123e+07
1,17398,5.74779e+06
1,8502,1.17619e+07
1,10408,9.60799e+06
1,8364,1.1956e+07
1,9973,1.00271e+07
2,38927,2.56891e+06
2,41497,2.40981e+06
2,40100,2.49377e+06
2,42495,2.35322e+06
2,39435,2.53582e+06
2,39901,2.5062e+06
2,36426,2.74529e+06
2,19197,5.20915e+06
2,21005,4.76077e+06
2,20615,4.85084e+06
2,19082,5.24054e+06
2,20181,4.95516e+06
2,40812,2.45026e+06
2,40854,2.44774e+06
2,41381,2.41657e+06
2,40336,2.47917e+06
2,20906,4.78332e+06
2,19092,5.2378e+06
2,18877,5.29745e+06
2,18935,5.28123e+06
2,22300,4.4843e+06
2,19415,5.15066e+06
2,20590,4.85673e+06
2,19600,5.10204e+06
2,20060,4.98504e+06
2,19164,5.21812e+06
2,21097,4.74001e+06
2,39850,2.50941e+06
2,40192,2.48806e+06
2,18845,5.30645e+06
2,19592,5.10412e+06
2,18905,5.28961e+06
2,36470,2.74198e+06
2,16286,6.14024e+06
2,19120,5.23013e+06
2,17280,5.78704e+06
2,16565,6.03682e+06
2,16069,6.22316e+06
2,16179,6.18085e+06
2,15423,6.48382e+06
2,15116,6.61551e+06
