num_threads,runtime_microseconds,throughput_ops_sec
1,7950,1.25786e+07
1,5519,1.81192e+07
1,5100,1.96078e+07
1,3225,3.10078e+07
1,3292,3.03767e+07
1,3275,3.05344e+07
1,3308,3.02297e+07
1,3259,3.06843e+07
1,3287,3.04229e+07
1,3322,3.01023e+07
1,3120,3.20513e+07
1,3230,3.09598e+07
1,3282,3.04692e+07
1,3361,2.9753e+07
1,3161,3.16356e+07
1,3160,3.16456e+07
1,3132,3.19285e+07
1,3874,2.58131e+07
1,3140,3.18471e+07
1,3137,3.18776e+07
1,3123,3.20205e+07
1,3125,3.2e+07
1,3259,3.06843e+07
1,3240,3.08642e+07
1,3686,2.71297e+07
1,5557,1.79953e+07
1,3257,3.07031e+07
1,9562,1.04581e+07
1,9486,1.05419e+07
1,3242,3.08452e+07
1,9585,1.0433e+07
1,3226,3.09981e+07
1,3254,3.07314e+07
1,3224,3.10174e+07
1,9543,1.04789e+07
1,3242,3.08452e+07
1,9496,1.05307e+07
1,3169,3.15557e+07
1,3144,3.18066e+07
1,3098,3.22789e+07
1,3142,3.18269e+07
1,3153,3.17158e+07
1,3117,3.20821e+07
1,3157,3.16756e+07
1,3136,3.18878e+07
1,3248,3.07882e+07
1,3128,3.19693e+07
1,3130,3.19489e+07
1,3154,3.17058e+07
1,3292,3.03767e+07
1,9540,1.04822e+07
1,9343,1.07032e+07
1,3107,3.21854e+07
1,3390,2.94985e+07
1,3164,3.16056e+07
1,3118,3.20718e+07
1,3104,3.22165e+07
1,9180,1.08932e+07
1,3166,3.15856e+07
1,9502,1.05241e+07
1,3243,3.08356e+07
1,3291,3.03859e+07
1,3283,3.04599e+07
1,3339,2.99491e+07
1,3278,3.05064e+07
1,3307,3.02389e+07
1,3282,3.04692e+07
1,3346,2.98864e+07
1,3270,3.0581e+07
1,3330,3.003e+07
1,3299,3.03122e+07
1,5472,1.82749e+07
1,4087,2.44678e+07
1,10263,9.74374e+06
1,9501,1.05252e+07
1,9488,1.05396e+07
1,9645,1.03681e+07
1,10741,9.31012e+06
1,8914,1.12183e+07
1,3319,3.01296e+07
1,3364,2.97265e+07
1,3327,3.00571e+07
1,10062,9.93838e+06
1,3326,3.00661e+07
1,3327,3.00571e+07
1,8660,1.15473e+07
1,3151,3.1736e+07
1,3224,3.10174e+07
1,6022,1.66058e+07
1,3258,3.06937e+07
1,3258,3.06937e+07
1,6597,1.51584e+07
1,3240,3.08642e+07
1,3285,3.04414e+07
1,3273,3.0553e+07
1,3293,3.03674e+07
1,3747,2.6688e+07
1,3652,2.73823e+07
1,9498,1.05285e+07
1,3759,2.66028e+07
2,29161,3.42924e+06
2,26537,3.76832e+06
2,30512,3.2774e+06
2,28086,3.56049e+06
2,13117,7.62369e+06
2,22012,4.54298e+06
2,25328,3.9482e+06
2,25262,3.95851e+06
2,29605,3.37781e+06
2,7363,1.35814e+07
2,30728,3.25436e+06
2,28026,3.56812e+06
2,30198,3.31148e+06
2,27113,3.68827e+06
2,30993,3.22654e+06
2,29892,3.34538e+06
2,29593,3.37918e+06
2,29875,3.34728e+06
2,11880,8.41751e+06
2,30303,3.3e+06
2,29840,3.35121e+06
2,33055,3.02526e+06
2,32717,3.05651e+06
2,30784,3.24844e+06
2,32456,3.08109e+06
2,29208,3.42372e+06
2,10883,9.18864e+06
2,4607,2.17061e+07
2,9024,1.10816e+07
2,4967,2.01329e+07
2,10434,9.58405e+06
2,3914,2.55493e+07
2,11385,8.78349e+06
2,8438,1.18511e+07
2,9026,1.10791e+07
2,10542,9.48587e+06
2,10419,9.59785e+06
2,8300,1.20482e+07
2,7500,1.33333e+07
2,5124,1.9516e+07
2,9895,1.01061e+07
2,12721,7.86102e+06
2,4681,2.1363e+07
2,9305,1.07469e+07
2,10162,9.84058e+06
2,27495,3.63702e+06
2,32077,3.1175e+06
2,24183,4.13514e+06
2,12705,7.87092e+06
2,29591,3.37941e+06
2,30804,3.24633e+06
2,6958,1.43719e+07
2,3970,2.51889e+07
2,30346,3.29533e+06
2,6660,1.5015e+07
2,3859,2.59134e+07
2,12141,8.23655e+06
2,3946,2.53421e+07
2,8206,1.21862e+07
2,10339,9.67212e+06
2,11756,8.50629e+06
2,5146,1.94326e+07
2,4798,2.0842e+07
2,8913,1.12196e+07
2,7144,1.39978e+07
2,4379,2.28363e+07
2,10943,9.13826e+06
2,12504,7.99744e+06
2,12441,8.03794e+06
2,26651,3.7522e+06
2,12327,8.11227e+06
2,31250,3.2e+06
2,31245,3.20051e+06
2,30508,3.27783e+06
2,31376,3.18715e+06
2,21512,4.64857e+06
2,29831,3.35222e+06
2,10009,9.99101e+06
2,11401,8.77116e+06
2,9181,1.08921e+07
2,13375,7.47664e+06
2,7991,1.25141e+07
2,11460,8.726e+06
2,9020,1.10865e+07
2,12204,8.19403e+06
2,12723,7.85978e+06
2,32025,3.12256e+06
2,30181,3.31334e+06
2,11058,9.04323e+06
2,26797,3.73176e+06
2,8578,1.16577e+07
2,9084,1.10084e+07
2,7703,1.2982e+07
2,12420,8.05153e+06
2,8865,1.12803e+07
2,32102,3.11507e+06
2,11848,8.44024e+06
2,11988,8.34168e+06
2,7113,1.40588e+07
2,8229,1.21521e+07
3,13068,7.65228e+06
3,11787,8.48392e+06
3,21800,4.58716e+06
3,20914,4.78149e+06
3,22349,4.47447e+06
3,20946,4.77418e+06
3,22082,4.52858e+06
3,22042,4.53679e+06
3,6525,1.53257e+07
3,21167,4.72434e+06
3,20843,4.79777e+06
3,19118,5.23067e+06
3,12025,8.31601e+06
3,20546,4.86713e+06
3,20495,4.87924e+06
3,20742,4.82114e+06
3,16229,6.16181e+06
3,22441,4.45613e+06
3,19256,5.19319e+06
3,21586,4.63263e+06
3,22802,4.38558e+06
3,18781,5.32453e+06
3,21143,4.7297e+06
3,19362,5.16476e+06
3,12009,8.32709e+06
3,11726,8.52806e+06
3,22478,4.44879e+06
3,12129,8.2447e+06
3,20819,4.8033e+06
3,22026,4.54009e+06
3,19054,5.24824e+06
3,20397,4.90268e+06
3,20280,4.93097e+06
3,21189,4.71943e+06
3,21353,4.68318e+06
3,20270,4.9334e+06
3,19813,5.04719e+06
3,11908,8.39772e+06
3,20642,4.84449e+06
3,18321,5.45822e+06
3,19623,5.09606e+06
3,20322,4.92078e+06
3,18906,5.28933e+06
3,21067,4.74676e+06
3,19046,5.25045e+06
3,12593,7.94092e+06
3,22415,4.4613e+06
3,10220,9.78474e+06
3,18731,5.33874e+06
3,7279,1.37382e+07
3,10074,9.92654e+06
3,8365,1.19546e+07
3,18882,5.29605e+06
3,5965,1.67645e+07
3,19284,5.18565e+06
3,20100,4.97512e+06
3,8586,1.16469e+07
3,9089,1.10023e+07
3,18807,5.31717e+06
3,6070,1.64745e+07
3,7477,1.33743e+07
3,7547,1.32503e+07
3,5951,1.68039e+07
3,11720,8.53242e+06
3,19070,5.24384e+06
3,19729,5.06868e+06
3,10220,9.78474e+06
3,6826,1.46499e+07
3,18984,5.26759e+06
3,20737,4.8223e+06
3,18708,5.34531e+06
3,20482,4.88234e+06
3,20437,4.89309e+06
3,18266,5.47465e+06
3,20730,4.82393e+06
3,19617,5.09762e+06
3,19387,5.1581e+06
3,19540,5.11771e+06
3,21040,4.75285e+06
3,20640,4.84496e+06
3,20550,4.86618e+06
3,18803,5.3183e+06
3,21135,4.73149e+06
3,19312,5.17813e+06
3,20957,4.77168e+06
3,21540,4.64253e+06
3,21957,4.55436e+06
