num_threads,runtime_microseconds,throughput_ops_sec
1,10558,9.47149e+06
1,10623,9.41354e+06
1,13469,7.42446e+06
1,10108,9.89315e+06
1,10642,9.39673e+06
1,10906,9.16926e+06
1,11925,8.38574e+06
1,10280,9.72763e+06
1,10841,9.22424e+06
1,9823,1.01802e+07
1,9002,1.11086e+07
1,9873,1.01286e+07
1,8932,1.11957e+07
1,9019,1.10877e+07
1,11681,8.56091e+06
1,10076,9.92457e+06
1,14413,6.93818e+06
1,13260,7.54148e+06
1,9273,1.0784e+07
1,11041,9.05715e+06
1,9276,1.07805e+07
1,10259,9.74754e+06
1,10248,9.758e+06
1,10237,9.76849e+06
1,10434,9.58405e+06
1,10482,9.54016e+06
1,9043,1.10583e+07
1,9970,1.00301e+07
1,12585,7.94597e+06
1,9993,1.0007e+07
1,10769,9.28591e+06
1,11611,8.61252e+06
1,10293,9.71534e+06
1,9929,1.00715e+07
1,11076,9.02853e+06
1,10470,9.5511e+06
1,10920,9.15751e+06
1,12542,7.97321e+06
1,9378,1.06633e+07
1,9390,1.06496e+07
1,10156,9.8464e+06
1,11253,8.88652e+06
1,12305,8.12678e+06
1,11616,8.60882e+06
1,12888,7.75916e+06
1,11140,8.97666e+06
1,10103,9.89805e+06
1,14221,7.03185e+06
1,17005,5.88062e+06
1,16391,6.10091e+06
1,10064,9.93641e+06
1,10211,9.79336e+06
1,9908,1.00929e+07
1,13798,7.24743e+06
1,9722,1.02859e+07
1,11359,8.80359e+06
1,10575,9.45626e+06
1,17103,5.84693e+06
1,10298,9.71062e+06
1,13455,7.43218e+06
1,9798,1.02062e+07
1,9342,1.07043e+07
1,14606,6.8465e+06
1,10100,9.90099e+06
1,11683,8.55945e+06
1,10930,9.14913e+06
1,10044,9.95619e+06
1,10597,9.43663e+06
1,12821,7.7997e+06
1,13355,7.48783e+06
1,13159,7.59936e+06
1,16660,6.0024e+06
1,17101,5.84761e+06
1,16217,6.16637e+06
1,16656,6.00384e+06
1,12131,8.24334e+06
1,14812,6.75128e+06
1,13192,7.58035e+06
1,17420,5.74053e+06
1,17074,5.85686e+06
1,12468,8.02053e+06
1,11252,8.88731e+06
1,12133,8.24198e+06
1,10431,9.58681e+06
1,11921,8.38856e+06
1,8971,1.1147e+07
1,10714,9.33358e+06
1,12486,8.00897e+06
1,16190,6.17665e+06
1,12988,7.69941e+06
1,12792,7.81739e+06
1,14839,6.739e+06
1,11274,8.86997e+06
1,13044,7.66636e+06
1,11701,8.54628e+06
1,14810,6.75219e+06
1,10566,9.46432e+06
1,10147,9.85513e+06
1,13948,7.16949e+06
1,13509,7.40247e+06
2,38097,2.62488e+06
2,20042,4.98952e+06
2,22075,4.53001e+06
2,20111,4.9724e+06
2,36494,2.74018e+06
2,38667,2.58618e+06
2,34391,2.90774e+06
2,39270,2.54647e+06
2,39202,2.55089e+06
2,42568,2.34918e+06
2,18279,5.47076e+06
2,38037,2.62902e+06
2,37367,2.67616e+06
2,36017,2.77647e+06
2,34780,2.87522e+06
2,22192,4.50613e+06
2,35442,2.82151e+06
2,36228,2.7603e+06
2,36833,2.71496e+06
2,35649,2.80513e+06
2,36601,2.73217e+06
2,35793,2.79384e+06
2,38067,2.62695e+06
2,22133,4.51814e+06
2,37834,2.64313e+06
2,36681,2.72621e+06
2,20909,4.78263e+06
2,36608,2.73164e+06
2,38915,2.5697e+06
2,35730,2.79877e+06
2,33151,3.0165e+06
2,23912,4.182e+06
2,19836,5.04134e+06
2,37953,2.63484e+06
2,37968,2.6338e+06
2,35057,2.8525e+06
2,34600,2.89017e+06
2,35950,2.78164e+06
2,35653,2.80481e+06
2,39206,2.55063e+06
2,36193,2.76297e+06
2,38754,2.58038e+06
2,31297,3.19519e+06
2,22543,4.43597e+06
2,25220,3.96511e+06
2,36499,2.7398e+06
2,31761,3.14852e+06
2,22567,4.43125e+06
2,21204,4.71609e+06
2,22225,4.49944e+06
2,23023,4.34348e+06
2,20209,4.94829e+06
2,35059,2.85233e+06
2,33764,2.96173e+06
2,24969,4.00497e+06
2,34047,2.93712e+06
2,21882,4.56997e+06
2,36033,2.77523e+06
2,34886,2.86648e+06
2,37745,2.64936e+06
2,36538,2.73688e+06
2,33676,2.96947e+06
2,34657,2.88542e+06
2,24994,4.00096e+06
2,20609,4.85225e+06
2,41539,2.40738e+06
2,36946,2.70665e+06
2,34315,2.91418e+06
2,35010,2.85633e+06
2,31463,3.17834e+06
2,37080,2.69687e+06
2,34911,2.86443e+06
2,22120,4.5208e+06
2,33013,3.02911e+06
2,23939,4.17728e+06
2,24454,4.08931e+06
2,32489,3.07796e+06
2,32872,3.0421e+06
2,35559,2.81223e+06
2,22247,4.49499e+06
2,21566,4.63693e+06
