num_threads,runtime_microseconds,throughput_ops_sec
1,4439,2.25276e+07
1,11168,8.95415e+06
1,6052,1.65235e+07
1,8225,1.21581e+07
1,7978,1.25345e+07
1,7322,1.36575e+07
1,7963,1.25581e+07
1,6648,1.50421e+07
1,4126,2.42365e+07
1,8347,1.19804e+07
1,4421,2.26193e+07
1,12182,8.20883e+06
1,4465,2.23964e+07
1,4497,2.2237e+07
1,4465,2.23964e+07
1,9548,1.04734e+07
1,6181,1.61786e+07
1,7982,1.25282e+07
1,8030,1.24533e+07
1,7976,1.25376e+07
1,8019,1.24704e+07
1,7685,1.30124e+07
1,4468,2.23814e+07
1,12190,8.20345e+06
1,7945,1.25865e+07
1,4377,2.28467e+07
1,4601,2.17344e+07
1,11956,8.364e+06
1,4356,2.29568e+07
1,4332,2.3084e+07
1,4416,2.26449e+07
1,4651,2.15008e+07
1,7944,1.25881e+07
1,4325,2.31214e+07
1,5002,1.9992e+07
1,6360,1.57233e+07
1,5876,1.70184e+07
1,7206,1.38773e+07
1,4395,2.27531e+07
1,4657,2.14731e+07
1,4992,2.00321e+07
1,9725,1.02828e+07
1,5597,1.78667e+07
1,6560,1.52439e+07
1,5211,1.91902e+07
1,6698,1.49298e+07
1,6409,1.56031e+07
1,6820,1.46628e+07
1,6579,1.51999e+07
1,4522,2.21141e+07
1,8023,1.24642e+07
1,7899,1.26598e+07
1,4310,2.32019e+07
1,4363,2.292e+07
1,9077,1.10169e+07
1,5077,1.96967e+07
1,4392,2.27687e+07
1,4461,2.24165e+07
1,5584,1.79083e+07
1,4438,2.25327e+07
1,15733,6.35607e+06
1,4770,2.09644e+07
1,5625,1.77778e+07
1,12169,8.2176e+06
1,4418,2.26347e+07
1,6510,1.5361e+07
1,6678,1.49745e+07
1,5113,1.9558e+07
1,6645,1.50489e+07
1,15116,6.61551e+06
1,10106,9.89511e+06
1,12078,8.27952e+06
1,12627,7.91954e+06
1,15575,6.42055e+06
1,17298,5.78102e+06
1,4368,2.28938e+07
1,4650,2.15054e+07
1,4350,2.29885e+07
1,7684,1.30141e+07
1,6910,1.44718e+07
1,7413,1.34898e+07
1,6618,1.51103e+07
1,10853,9.21404e+06
1,7937,1.25992e+07
1,6850,1.45985e+07
1,8069,1.23931e+07
1,8275,1.20846e+07
1,4883,2.04792e+07
1,6982,1.43225e+07
1,8292,1.20598e+07
1,6471,1.54536e+07
1,12751,7.84252e+06
1,7773,1.2865e+07
1,6152,1.62549e+07
1,6644,1.50512e+07
1,6453,1.54967e+07
1,6495,1.53965e+07
1,8035,1.24456e+07
1,8068,1.23946e+07
1,8198,1.21981e+07
2,14403,6.943e+06
2,35965,2.78048e+06
2,37804,2.64522e+06
2,37717,2.65132e+06
2,17482,5.72017e+06
2,42492,2.35338e+06
2,37054,2.69876e+06
2,42535,2.35101e+06
2,39812,2.51181e+06
2,43139,2.31809e+06
2,44834,2.23045e+06
2,26478,3.77672e+06
2,39498,2.53177e+06
2,25918,3.85832e+06
2,43772,2.28457e+06
2,42519,2.35189e+06
2,42638,2.34533e+06
2,42476,2.35427e+06
2,28696,3.48481e+06
2,20450,4.88998e+06
2,18723,5.34102e+06
2,45746,2.18598e+06
2,13597,7.35456e+06
2,43183,2.31573e+06
2,36246,2.75893e+06
2,34819,2.872e+06
2,22249,4.49458e+06
2,4895,2.0429e+07
2,4805,2.08117e+07
2,16174,6.18276e+06
2,11487,8.70549e+06
2,7922,1.26231e+07
2,9299,1.07538e+07
2,7164,1.39587e+07
2,38865,2.57301e+06
2,14059,7.11288e+06
2,5111,1.95656e+07
2,7669,1.30395e+07
2,12307,8.12546e+06
2,5758,1.73671e+07
2,12470,8.01925e+06
2,32577,3.06965e+06
2,17014,5.87751e+06
2,36789,2.7182e+06
2,13759,7.26797e+06
2,41198,2.4273e+06
2,39397,2.53826e+06
2,12355,8.09389e+06
2,14036,7.12454e+06
2,43389,2.30473e+06
2,14411,6.93914e+06
2,42119,2.37423e+06
2,7567,1.32153e+07
2,7713,1.29651e+07
2,34076,2.93462e+06
2,5355,1.86741e+07
2,12516,7.98977e+06
2,39780,2.51383e+06
2,20134,4.96672e+06
2,16253,6.15271e+06
2,41424,2.41406e+06
2,41370,2.41721e+06
2,42941,2.32878e+06
2,7529,1.3282e+07
2,10623,9.41354e+06
2,4934,2.02675e+07
2,5243,1.9073e+07
2,4935,2.02634e+07
