num_threads,runtime_microseconds,throughput_ops_sec
1,16275,6.14439e+06
1,16098,6.21195e+06
1,14229,7.0279e+06
1,14687,6.80874e+06
1,20341,4.91618e+06
1,18687,5.35131e+06
1,22154,4.51386e+06
1,21012,4.75919e+06
1,20573,4.86074e+06
1,14761,6.77461e+06
1,13756,7.26956e+06
1,13879,7.20513e+06
1,13931,7.17824e+06
1,20325,4.92005e+06
1,13855,7.21761e+06
1,19244,5.19642e+06
1,20116,4.97117e+06
1,13946,7.17051e+06
1,21813,4.58442e+06
1,14245,7.02001e+06
1,13765,7.2648e+06
1,14554,6.87096e+06
1,14561,6.86766e+06
1,21080,4.74383e+06
1,20517,4.87401e+06
1,15512,6.44662e+06
1,15614,6.40451e+06
1,21925,4.561e+06
1,16190,6.17665e+06
1,14181,7.05169e+06
1,14233,7.02593e+06
1,14370,6.95894e+06
1,22073,4.53042e+06
1,14095,7.09471e+06
1,14640,6.8306e+06
1,13776,7.259e+06
1,13769,7.26269e+06
1,20115,4.97141e+06
1,13806,7.24323e+06
1,14106,7.08918e+06
1,14976,6.67735e+06
1,13651,7.32547e+06
1,14434,6.92809e+06
1,13982,7.15205e+06
1,14848,6.73491e+06
1,13836,7.22752e+06
1,13996,7.1449e+06
1,14173,7.05567e+06
1,13749,7.27326e+06
1,13980,7.15308e+06
1,14094,7.09522e+06
1,13685,7.30727e+06
1,13619,7.34268e+06
1,14404,6.94252e+06
1,13956,7.16538e+06
1,14085,7.09975e+06
1,14042,7.12149e+06
1,13974,7.15615e+06
1,13860,7.21501e+06
1,22419,4.4605e+06
1,13891,7.19891e+06
1,13939,7.17412e+06
1,14067,7.10884e+06
1,14024,7.13063e+06
1,14031,7.12708e+06
1,14088,7.09824e+06
1,22413,4.4617e+06
1,21483,4.65484e+06
1,21424,4.66766e+06
1,22674,4.41034e+06
1,21726,4.60278e+06
1,22848,4.37675e+06
1,22233,4.49782e+06
1,14062,7.11136e+06
1,22684,4.40839e+06
1,22349,4.47447e+06
1,22706,4.40412e+06
1,21685,4.61148e+06
1,20412,4.89908e+06
1,20912,4.78194e+06
1,21582,4.63349e+06
1,20079,4.98033e+06
1,22461,4.45216e+06
1,20361,4.91135e+06
1,22133,4.51814e+06
1,21800,4.58716e+06
1,20810,4.80538e+06
1,21547,4.64102e+06
1,19288,5.18457e+06
1,20777,4.81301e+06
1,21292,4.6966e+06
1,19123,5.22931e+06
1,14218,7.03334e+06
1,14098,7.0932e+06
1,14004,7.14082e+06
1,14092,7.09622e+06
1,13943,7.17206e+06
1,22625,4.41989e+06
1,14124,7.08015e+06
1,16911,5.91331e+06
2,40758,2.45351e+06
2,60113,1.66353e+06
2,43956,2.275e+06
2,36898,2.71017e+06
2,61505,1.62588e+06
2,61953,1.61413e+06
2,61354,1.62989e+06
2,60748,1.64614e+06
2,59844,1.67101e+06
2,61567,1.62425e+06
2,61702,1.62069e+06
2,61166,1.6349e+06
2,62426,1.6019e+06
2,62634,1.59658e+06
2,61257,1.63247e+06
2,62565,1.59834e+06
2,61763,1.61909e+06
2,60768,1.6456e+06
2,61233,1.63311e+06
2,63378,1.57783e+06
2,61039,1.6383e+06
2,39082,2.55872e+06
2,38568,2.59282e+06
2,40020,2.49875e+06
2,48404,2.06594e+06
2,39474,2.53331e+06
2,39493,2.53209e+06
2,39517,2.53056e+06
2,36888,2.71091e+06
2,62128,1.60958e+06
2,35015,2.85592e+06
2,41045,2.43635e+06
2,40750,2.45399e+06
2,36045,2.77431e+06
2,34562,2.89335e+06
2,39253,2.54758e+06
2,39492,2.53216e+06
2,38414,2.60322e+06
2,41392,2.41593e+06
2,40551,2.46603e+06
2,34117,2.93109e+06
2,36033,2.77523e+06
2,64346,1.5541e+06
2,35267,2.83551e+06
2,34906,2.86484e+06
2,34328,2.91307e+06
2,35002,2.85698e+06
2,36572,2.73433e+06
2,37520,2.66525e+06
2,38816,2.57626e+06
2,62005,1.61277e+06
2,41099,2.43315e+06
2,39934,2.50413e+06
2,39187,2.55187e+06
2,38911,2.56997e+06
2,39698,2.51902e+06
2,39415,2.53711e+06
2,41673,2.39964e+06
2,34611,2.88925e+06
2,33978,2.94308e+06
2,34236,2.9209e+06
2,39749,2.51579e+06
2,39353,2.5411e+06
2,62230,1.60694e+06
2,39567,2.52736e+06
2,39520,2.53036e+06
2,41195,2.42748e+06
2,39898,2.50639e+06
2,42079,2.37648e+06
2,61678,1.62132e+06
2,62609,1.59721e+06
2,33910,2.94898e+06
2,36374,2.74922e+06
2,33710,2.96648e+06
2,34369,2.9096e+06
2,34393,2.90757e+06
2,34572,2.89251e+06
2,34336,2.9124e+06
2,61619,1.62288e+06
2,63556,1.57342e+06
2,60591,1.65041e+06
2,35118,2.84754e+06
2,62392,1.60277e+06
2,59290,1.68663e+06
2,60179,1.66171e+06
2,34438,2.90377e+06
2,44928,2.22578e+06
2,37938,2.63588e+06
2,37504,2.66638e+06
2,62318,1.60467e+06
2,34567,2.89293e+06
2,33061,3.02471e+06
2,39999,2.50006e+06
2,40027,2.49831e+06
2,38050,2.62812e+06
2,39648,2.5222e+06
2,61562,1.62438e+06
2,61720,1.62022e+06
2,63911,1.56468e+06
2,62089,1.61059e+06
3,47039,2.1259e+06
3,71378,1.40099e+06
3,69488,1.4391e+06
3,42903,2.33084e+06
3,42335,2.36211e+06
3,71131,1.40586e+06
3,69057,1.44808e+06
3,71514,1.39833e+06
3,41836,2.39029e+06
3,53472,1.87014e+06
3,70281,1.42286e+06
3,41156,2.42978e+06
3,43178,2.31599e+06
3,71489,1.39882e+06
3,34651,2.88592e+06
3,34833,2.87084e+06
3,34438,2.90377e+06
3,68067,1.46914e+06
3,42716,2.34104e+06
3,41597,2.40402e+06
3,39852,2.50928e+06
3,68869,1.45203e+06
3,40751,2.45393e+06
3,42005,2.38067e+06
3,40469,2.47103e+06
3,42037,2.37886e+06
3,39950,2.50313e+06
3,43114,2.31943e+06
3,60204,1.66102e+06
3,51024,1.95986e+06
3,34741,2.87844e+06
3,41267,2.42324e+06
3,41433,2.41354e+06
3,68852,1.45239e+06
3,40583,2.46409e+06
3,41669,2.39987e+06
3,40181,2.48874e+06
3,41118,2.43202e+06
3,41164,2.42931e+06
3,40137,2.49147e+06
3,70644,1.41555e+06
3,40474,2.47072e+06
3,65536,1.52588e+06
3,40855,2.44768e+06
3,68038,1.46977e+06
3,67548,1.48043e+06
3,67671,1.47774e+06
3,68251,1.46518e+06
3,69183,1.44544e+06
3,65936,1.51662e+06
3,65916,1.51708e+06
3,67587,1.47957e+06
3,68490,1.46007e+06
3,40906,2.44463e+06
3,41083,2.4341e+06
3,40963,2.44123e+06
3,41588,2.40454e+06
3,68339,1.46329e+06
3,40649,2.46009e+06
3,40038,2.49763e+06
3,44695,2.23739e+06
3,66126,1.51226e+06
3,68423,1.4615e+06
3,70108,1.42637e+06
3,69805,1.43256e+06
3,67827,1.47434e+06
3,69127,1.44661e+06
3,41509,2.40912e+06
3,68325,1.46359e+06
3,69238,1.44429e+06
3,34832,2.87092e+06
3,34511,2.89763e+06
3,34609,2.88942e+06
3,34540,2.89519e+06
3,65302,1.53135e+06
3,34442,2.90343e+06
3,46637,2.14422e+06
3,42750,2.33918e+06
3,64573,1.54863e+06
3,67114,1.49e+06
3,68791,1.45368e+06
3,65042,1.53747e+06
3,42556,2.34984e+06
3,41232,2.4253e+06
3,40183,2.48861e+06
3,40999,2.43908e+06
3,41129,2.43137e+06
3,41394,2.41581e+06
3,41898,2.38675e+06
3,69390,1.44113e+06
3,37561,2.66234e+06
3,41408,2.41499e+06
3,40445,2.47249e+06
3,41563,2.40599e+06
3,41335,2.41926e+06
3,41815,2.39149e+06
3,41227,2.42559e+06
3,39715,2.51794e+06
3,68876,1.45188e+06
3,71216,1.40418e+06
4,48664,2.05491e+06
4,69582,1.43715e+06
4,84864,1.17836e+06
4,39435,2.53582e+06
4,39639,2.52277e+06
4,40385,2.47617e+06
4,41065,2.43516e+06
4,50361,1.98566e+06
4,68076,1.46895e+06
4,47809,2.09166e+06
4,48903,2.04486e+06
4,66085,1.5132e+06
4,81602,1.22546e+06
4,82756,1.20837e+06
4,81601,1.22548e+06
4,72751,1.37455e+06
4,68220,1.46585e+06
4,67123,1.4898e+06
4,81763,1.22305e+06
4,64538,1.54947e+06
4,82398,1.21362e+06
4,64333,1.55441e+06
4,82329,1.21464e+06
4,64656,1.54665e+06
4,82423,1.21325e+06
4,81861,1.22158e+06
4,81841,1.22188e+06
4,76757,1.30281e+06
4,81442,1.22787e+06
4,63903,1.56487e+06
4,82156,1.2172e+06
4,66618,1.5011e+06
4,69070,1.44781e+06
4,48549,2.05977e+06
4,67445,1.48269e+06
4,48465,2.06334e+06
4,83457,1.19822e+06
4,68557,1.45864e+06
4,81992,1.21963e+06
4,82200,1.21655e+06
4,83174,1.2023e+06
4,64774,1.54383e+06
4,67628,1.47868e+06
4,67601,1.47927e+06
4,82423,1.21325e+06
4,81542,1.22636e+06
4,63618,1.57188e+06
4,63455,1.57592e+06
4,72755,1.37448e+06
4,82311,1.2149e+06
4,65447,1.52795e+06
4,82264,1.2156e+06
4,82206,1.21646e+06
4,80787,1.23782e+06
4,67720,1.47667e+06
4,63818,1.56696e+06
4,81696,1.22405e+06
4,64679,1.5461e+06
4,64316,1.55482e+06
4,81625,1.22511e+06
4,79275,1.26143e+06
4,81972,1.21993e+06
4,81583,1.22575e+06
4,64855,1.5419e+06
4,67552,1.48034e+06
4,68487,1.46013e+06
4,68590,1.45794e+06
4,63631,1.57156e+06
4,82437,1.21305e+06
4,72259,1.38391e+06
4,81678,1.22432e+06
4,81924,1.22064e+06
4,81712,1.22381e+06
4,82612,1.21048e+06
4,82833,1.20725e+06
4,72184,1.38535e+06
4,83519,1.19733e+06
4,81261,1.2306e+06
4,81038,1.23399e+06
4,81391,1.22864e+06
4,83454,1.19826e+06
4,65489,1.52697e+06
4,82037,1.21896e+06
4,78333,1.2766e+06
4,64572,1.54866e+06
4,64652,1.54674e+06
4,63008,1.5871e+06
4,62733,1.59406e+06
4,64481,1.55084e+06
4,68072,1.46903e+06
4,66871,1.49542e+06
4,67479,1.48194e+06
4,70559,1.41725e+06
4,67600,1.47929e+06
4,66827,1.4964e+06
4,82007,1.21941e+06
4,49373,2.0254e+06
4,66294,1.50843e+06
4,82265,1.21558e+06
4,67377,1.48419e+06
5,71330,1.40193e+06
5,91794,1.0894e+06
5,91696,1.09056e+06
5,88585,1.12886e+06
5,91505,1.09284e+06
5,92237,1.08416e+06
5,71796,1.39284e+06
5,71231,1.40388e+06
5,71763,1.39348e+06
5,89281,1.12006e+06
5,91106,1.09762e+06
5,90252,1.10801e+06
5,94973,1.05293e+06
5,94364,1.05973e+06
5,94045,1.06332e+06
5,73527,1.36004e+06
5,73980,1.35172e+06
5,92029,1.08661e+06
5,93913,1.06482e+06
5,73103,1.36793e+06
5,93856,1.06546e+06
5,92188,1.08474e+06
5,73874,1.35366e+06
5,73736,1.35619e+06
5,73888,1.3534e+06
5,92742,1.07826e+06
5,94715,1.0558e+06
5,73964,1.35201e+06
5,94668,1.05632e+06
5,80724,1.23879e+06
5,73440,1.36166e+06
5,72530,1.37874e+06
5,93614,1.06822e+06
5,93758,1.06658e+06
5,94448,1.05878e+06
5,92132,1.0854e+06
5,93340,1.07135e+06
5,94081,1.06291e+06
5,73642,1.35792e+06
5,95154,1.05093e+06
5,92821,1.07734e+06
5,71726,1.39419e+06
5,72849,1.3727e+06
5,91868,1.08852e+06
5,94041,1.06337e+06
5,73405,1.36231e+06
5,94006,1.06376e+06
5,43543,2.29658e+06
5,43523,2.29764e+06
5,44014,2.272e+06
5,50254,1.98989e+06
5,47179,2.11959e+06
5,45891,2.17908e+06
5,42215,2.36883e+06
5,73985,1.35163e+06
5,90866,1.10052e+06
5,88824,1.12582e+06
5,91653,1.09107e+06
5,90884,1.1003e+06
5,89709,1.11472e+06
5,72383,1.38154e+06
5,82135,1.21751e+06
5,91060,1.09818e+06
5,91503,1.09286e+06
5,91330,1.09493e+06
5,90817,1.10112e+06
5,92213,1.08445e+06
5,75469,1.32505e+06
5,89073,1.12267e+06
5,90573,1.10408e+06
5,74291,1.34606e+06
5,90662,1.103e+06
5,90852,1.10069e+06
5,90057,1.11041e+06
5,91697,1.09055e+06
5,90662,1.103e+06
5,90557,1.10428e+06
5,91570,1.09206e+06
5,90442,1.10568e+06
5,91810,1.08921e+06
5,89481,1.11756e+06
5,89407,1.11848e+06
5,90353,1.10677e+06
5,90471,1.10533e+06
5,71287,1.40278e+06
5,90284,1.10762e+06
5,90715,1.10235e+06
5,90995,1.09896e+06
5,100944,990648
5,79545,1.25715e+06
5,91265,1.09571e+06
5,90721,1.10228e+06
5,90370,1.10656e+06
5,88851,1.12548e+06
5,90132,1.10948e+06
5,91218,1.09627e+06
5,91580,1.09194e+06
5,90305,1.10736e+06
5,90698,1.10256e+06
5,90856,1.10064e+06
6,97087,1.03e+06
6,98114,1.01922e+06
6,100921,990874
6,100041,999590
6,100381,996204
6,100019,999810
6,90263,1.10787e+06
6,97281,1.02795e+06
6,91337,1.09485e+06
6,91827,1.089e+06
6,99537,1.00465e+06
6,99559,1.00443e+06
6,90832,1.10093e+06
6,92057,1.08628e+06
6,91466,1.0933e+06
6,93649,1.06782e+06
6,92343,1.08292e+06
6,99675,1.00326e+06
6,93313,1.07166e+06
6,100445,995570
6,94167,1.06194e+06
6,92692,1.07884e+06
6,92834,1.07719e+06
6,90939,1.09964e+06
6,98109,1.01927e+06
6,93573,1.06868e+06
6,91348,1.09471e+06
6,91914,1.08797e+06
6,98661,1.01357e+06
6,90699,1.10255e+06
6,91359,1.09458e+06
6,91699,1.09052e+06
6,93939,1.06452e+06
6,95515,1.04696e+06
6,91999,1.08697e+06
6,91949,1.08756e+06
6,91246,1.09594e+06
6,98846,1.01167e+06
6,92700,1.07875e+06
6,94293,1.06052e+06
6,100383,996185
6,93387,1.07081e+06
6,98266,1.01765e+06
6,99506,1.00496e+06
6,95813,1.0437e+06
6,100516,994866
6,92028,1.08663e+06
6,92575,1.08021e+06
6,97783,1.02267e+06
6,100204,997964
6,90934,1.0997e+06
6,90362,1.10666e+06
6,100649,993552
6,99180,1.00827e+06
6,91326,1.09498e+06
6,89571,1.11643e+06
6,99400,1.00604e+06
6,92188,1.08474e+06
6,92968,1.07564e+06
6,94733,1.0556e+06
6,99936,1.00064e+06
6,99969,1.00031e+06
6,99553,1.00449e+06
6,95560,1.04646e+06
6,99690,1.00311e+06
6,95219,1.05021e+06
6,99123,1.00885e+06
6,99545,1.00457e+06
6,98831,1.01183e+06
6,95359,1.04867e+06
6,104050,961076
6,97281,1.02795e+06
6,96084,1.04076e+06
6,95347,1.0488e+06
6,104566,956334
6,94948,1.05321e+06
6,94362,1.05975e+06
6,104844,953798
6,93561,1.06882e+06
6,102792,972838
6,95526,1.04684e+06
6,45302,2.20741e+06
6,91548,1.09232e+06
6,100512,994906
6,97152,1.02931e+06
6,99119,1.00889e+06
6,93959,1.06429e+06
6,91245,1.09595e+06
6,91115,1.09751e+06
6,91139,1.09723e+06
6,99848,1.00152e+06
6,99376,1.00628e+06
6,99395,1.00609e+06
6,99880,1.0012e+06
6,101358,986602
6,97961,1.02081e+06
6,98492,1.01531e+06
6,98173,1.01861e+06
6,99199,1.00807e+06
6,96402,1.03732e+06
7,102497,975638
7,100839,991680
7,100722,992832
7,103108,969857
7,102059,979825
7,102355,976992
7,102178,978684
7,102491,975695
7,101976,980623
7,101482,985396
7,102526,975362
7,102925,971581
7,100350,996512
7,102305,977469
7,100159,998413
7,100678,993266
7,101855,981788
7,102448,976105
7,102537,975258
7,103062,970290
7,101727,983023
7,101672,983555
7,102123,979211
7,101876,981585
7,101791,982405
7,101240,987752
7,102961,971242
7,101627,983990
7,103323,967839
7,100490,995124
7,101810,982222
7,102305,977469
7,103181,969171
7,101542,984814
7,100826,991808
7,101773,982579
7,102530,975324
7,100404,995976
7,102632,974355
7,101899,981364
7,100523,994797
7,103448,966669
7,102171,978751
7,102236,978129
7,103792,963465
7,101423,985970
7,99709,1.00292e+06
7,102283,977680
7,102320,977326
7,101337,986806
7,102503,975581
7,103146,969500
7,100303,996979
7,102368,976868
7,102106,979374
7,101737,982927
7,102345,977087
7,100332,996691
7,100620,993838
7,102164,978818
7,102021,980190
7,102402,976543
7,102720,973520
7,101409,986106
7,101676,983516
7,102636,974317
7,104191,959776
7,102444,976143
7,102790,972857
7,101834,981990
7,101269,987469
7,101115,988973
7,102322,977307
7,102319,977336
7,102826,972517
7,102734,973388
7,101171,988426
7,101049,989619
7,101574,984504
7,100802,992044
7,102601,974649
7,102251,977986
7,101025,989854
7,101906,981296
7,101732,982975
7,101488,985338
7,100928,990805
7,101602,984233
7,100723,992822
7,69410,1.44071e+06
7,68016,1.47024e+06
7,102235,978139
7,102630,974374
7,102433,976248
7,102216,978320
7,100029,999710
7,100374,996274
7,102791,972848
7,101085,989266
7,102182,978646
8,105012,952272
8,107271,932218
8,107148,933289
8,107482,930388
8,104920,953107
8,107710,928419
8,106682,937365
8,107453,930639
8,104476,957158
8,108090,925155
8,106225,941398
8,107148,933289
8,105610,946880
8,104653,955539
8,76180,1.31268e+06
8,75338,1.32735e+06
8,110575,904364
8,113249,883010
8,111728,895031
8,107444,930717
8,106248,941194
8,105867,944581
8,106338,940398
8,106203,941593
8,105058,951855
8,106007,943334
8,106631,937814
8,108859,918619
8,106704,937172
8,106494,939020
8,106291,940813
8,108035,925626
8,107320,931793
8,106698,937225
8,105158,950950
8,105949,943850
8,106021,943209
8,107209,932758
8,105631,946692
8,108039,925592
8,107467,930518
8,106020,943218
8,107120,933532
8,54433,1.83712e+06
8,110350,906208
8,112961,885261
8,111403,897642
8,112286,890583
8,109838,910432
8,111989,892945
8,109450,913659
8,112045,892499
8,112088,892156
8,110431,905543
8,50535,1.97883e+06
8,50716,1.97176e+06
8,110104,908232
8,105661,946423
8,105749,945635
8,106834,936032
8,106415,939717
8,104407,957790
8,107331,931697
8,106495,939011
8,105767,945474
8,106189,941717
8,107131,933437
8,106391,939929
8,107696,928540
8,106833,936040
8,106340,940380
8,104963,952717
8,105098,951493
8,106513,938853
8,111064,900382
8,105472,948119
8,107136,933393
8,104729,954845
8,105258,950047
8,108132,924796
8,106715,937075
8,106224,941407
8,106712,937102
8,106303,940707
8,106655,937603
8,107533,929947
8,108266,923651
8,106318,940575
8,108066,925360
8,106463,939293
8,106171,941877
8,105477,948074
8,107259,932323
8,105632,946683
8,107951,926346
8,106543,938588
8,105085,951611
8,105153,950995
8,107835,927343
8,106840,935979
9,111005,900860
9,109427,913851
9,110075,908471
9,114894,870367
9,109904,909885
9,111255,898836
9,109813,910639
9,109897,909943
9,109907,909860
9,109839,910423
9,111458,897199
9,111367,897932
9,109920,909753
9,108240,923873
9,109985,909215
9,110762,902837
9,110340,906290
9,109111,916498
9,110314,906503
9,108097,925095
9,111027,900682
9,116846,855827
9,110360,906125
9,114343,874562
9,117969,847680
9,115974,862262
9,114601,872593
9,114686,871946
9,108684,920099
9,109734,911295
9,110060,908595
9,111965,893136
9,110987,901006
9,110401,905789
9,109456,913609
9,111170,899523
9,111053,900471
9,111390,897747
9,110780,902690
9,107163,933158
9,113670,879740
9,109852,910316
9,113689,879593
9,113377,882013
9,115458,866116
9,111365,897948
9,110206,907392
9,111498,896877
9,111982,893001
9,112302,890456
9,108899,918282
9,111443,897320
9,107718,928350
9,114842,870762
9,115751,863923
9,114299,874898
9,113953,877555
9,113921,877801
9,51200,1.95312e+06
9,51262,1.95076e+06
9,107660,928850
9,112205,891226
9,110672,903571
9,111143,899742
9,108907,918215
9,112806,886478
9,109903,909893
9,109802,910730
9,110658,903685
9,110896,901746
9,114217,875526
9,108411,922416
9,111301,898465
9,112680,887469
9,108073,925300
9,109623,912217
9,113512,880964
9,114195,875695
9,115238,867769
9,109814,910631
9,109395,914119
9,110115,908141
9,110300,906618
9,108330,923105
9,110514,904863
9,110024,908893
9,108922,918088
9,108033,925643
9,108382,922662
9,110497,905002
9,110957,901250
9,109097,916615
9,109434,913793
9,111408,897602
9,109125,916380
9,108165,924513
9,110450,905387
9,111751,894847
9,115818,863424
9,115921,862656
10,55608,1.7983e+06
10,119294,838265
10,117994,847501
10,118852,841383
10,115200,868056
10,117941,847882
10,119258,838518
10,119382,837647
10,121705,821659
10,114061,876724
10,120003,833313
10,117526,850876
10,117948,847831
10,122106,818961
10,118894,841085
10,117065,854226
10,119355,837837
10,117947,847838
10,116055,861660
10,119139,839356
10,118551,843519
10,107360,931446
10,114667,872090
10,113686,879616
10,114529,873141
10,118649,842822
10,113607,880227
10,114347,874531
10,113194,883439
10,113936,877686
10,111658,895592
10,114233,875404
10,110813,902421
10,112753,886894
10,113918,877824
10,119331,838005
10,113191,883462
10,118908,840986
10,120429,830365
10,112967,885214
10,114290,874967
10,114304,874860
10,115448,866191
10,111954,893224
10,120756,828116
10,124261,804758
10,112896,885771
10,114490,873439
10,114005,877155
10,113839,878434
10,113760,879044
10,110865,901998
10,107249,932410
10,114387,874225
10,105390,948857
10,112010,892777
10,110256,906980
10,113513,880956
10,114347,874531
10,114882,870458
10,112679,887477
10,113866,878225
10,113251,882994
10,114346,874539
10,114157,875987
10,114051,876801
10,113050,884564
10,116340,859550
10,107569,929636
10,110769,902780
10,112169,891512
10,112466,889158
10,112162,891568
10,114215,875542
10,112293,890527
10,112792,886588
10,114290,874967
10,114661,872136
10,112893,885795
10,77437,1.29137e+06
10,117488,851151
10,119308,838167
10,118415,844488
10,117219,853104
10,120021,833188
10,116920,855286
10,115671,864521
10,118341,845016
10,119805,834690
10,113100,884173
10,112654,887674
10,115082,868946
10,117168,853475
10,115856,863140
10,117555,850666
10,122565,815894
10,118427,844402
10,56073,1.78339e+06
10,109493,913300
10,112688,887406
11,114503,873340
11,115200,868056
11,84237,1.18713e+06
11,118890,841114
11,59228,1.68839e+06
11,115455,866138
11,115790,863632
11,118046,847127
11,117447,851448
11,117889,848256
11,123961,806705
11,118352,844937
11,118106,846697
11,118697,842481
11,116549,858008
11,118269,845530
11,93817,1.0659e+06
11,118414,844495
11,112973,885167
11,117597,850362
11,116219,860445
11,114851,870693
11,113331,882371
11,113492,881119
11,114800,871080
11,118394,844637
11,120823,827657
11,123655,808702
11,123009,812949
11,119029,840131
11,121694,821733
11,121980,819807
11,120952,826774
11,122591,815721
11,81566,1.226e+06
11,75051,1.33243e+06
11,121629,822172
11,119891,834091
11,122197,818351
11,120928,826938
11,116881,855571
11,114675,872030
11,116925,855249
11,116654,857236
11,121505,823011
11,117179,853395
11,113476,881244
11,124611,802497
11,120342,830965
11,122443,816707
11,115429,866333
11,116817,856040
11,115112,868719
11,114477,873538
11,114779,871240
11,114833,870830
11,120855,827438
11,77480,1.29066e+06
11,86936,1.15027e+06
11,114834,870822
11,116424,858929
11,122192,818384
11,118762,842020
11,122243,818043
11,119855,834341
11,118409,844530
11,118495,843917
11,117498,851078
11,56980,1.755e+06
11,120149,832300
11,118360,844880
11,120571,829387
11,116164,860852
11,117358,852094
11,119209,838863
11,115983,862195
11,116839,855879
11,113602,880266
11,114860,870625
11,115193,868108
11,113576,880468
11,115517,865673
11,114532,873118
11,116543,858052
11,115151,868425
11,116438,858826
11,113926,877763
11,119357,837823
11,113331,882371
11,115852,863170
11,115241,867747
11,120472,830068
11,117279,852668
11,110029,908851
11,116136,861059
11,113875,878156
11,120019,833201
11,114018,877055
11,117246,852908
11,113547,880693
12,115339,867009
