num_threads,runtime_microseconds,throughput_ops_sec
1,14742,6.78334e+06
1,9205,1.08637e+07
1,9563,1.0457e+07
1,8132,1.22971e+07
1,12091,8.27061e+06
1,13606,7.3497e+06
1,14590,6.85401e+06
1,12849,7.78271e+06
1,14437,6.92665e+06
1,13822,7.23484e+06
1,13602,7.35186e+06
1,14399,6.94493e+06
1,13630,7.33676e+06
1,13597,7.35456e+06
1,13551,7.37953e+06
1,13914,7.18701e+06
1,13453,7.43329e+06
1,14039,7.12301e+06
1,13779,7.25742e+06
1,14312,6.98714e+06
1,14011,7.13725e+06
1,13130,7.61615e+06
1,13647,7.32762e+06
1,13830,7.23066e+06
1,14745,6.78196e+06
1,14597,6.85072e+06
1,14048,7.11845e+06
1,14675,6.81431e+06
1,11716,8.53534e+06
1,15018,6.65868e+06
1,13514,7.39973e+06
1,14118,7.08316e+06
1,10793,9.26526e+06
1,13179,7.58783e+06
1,15741,6.35284e+06
1,14193,7.04573e+06
1,15228,6.56685e+06
1,13842,7.22439e+06
1,16111,6.20694e+06
1,15003,6.66533e+06
1,13621,7.3416e+06
1,16035,6.23636e+06
1,12041,8.30496e+06
1,13906,7.19114e+06
1,14281,7.00231e+06
1,15115,6.61594e+06
1,14825,6.74536e+06
1,13985,7.15052e+06
1,13076,7.6476e+06
1,13910,7.18907e+06
1,14639,6.83107e+06
1,13727,7.28491e+06
1,13644,7.32923e+06
1,13276,7.53239e+06
1,13714,7.29182e+06
1,8979,1.11371e+07
1,14450,6.92042e+06
1,13757,7.26903e+06
1,14507,6.89322e+06
1,13814,7.23903e+06
1,13354,7.48839e+06
1,14144,7.07014e+06
1,13928,7.17978e+06
1,14158,7.06314e+06
1,14392,6.9483e+06
1,14337,6.97496e+06
1,9238,1.08249e+07
1,13589,7.35889e+06
1,14010,7.13776e+06
1,14495,6.89893e+06
1,14679,6.81245e+06
1,14413,6.93818e+06
1,14170,7.05716e+06
1,14085,7.09975e+06
1,14220,7.03235e+06
1,14265,7.01016e+06
1,14280,7.0028e+06
1,13085,7.64234e+06
1,13284,7.52785e+06
1,14387,6.95072e+06
1,12904,7.74954e+06
1,15438,6.47752e+06
1,14743,6.78288e+06
1,13979,7.15359e+06
1,12769,7.83147e+06
1,14220,7.03235e+06
1,13165,7.5959e+06
1,15233,6.5647e+06
1,14102,7.09119e+06
1,13155,7.60167e+06
1,14689,6.80782e+06
1,14852,6.7331e+06
1,14207,7.03878e+06
1,13276,7.53239e+06
1,14433,6.92857e+06
1,13496,7.4096e+06
1,15558,6.42756e+06
1,14338,6.97447e+06
1,14121,7.08165e+06
1,14148,7.06814e+06
2,27517,3.63412e+06
2,30717,3.25553e+06
2,20766,4.81556e+06
2,19114,5.23177e+06
2,20998,4.76236e+06
2,27124,3.68677e+06
2,26533,3.76889e+06
2,21997,4.54607e+06
2,19147,5.22275e+06
2,19438,5.14456e+06
2,20012,4.997e+06
2,20040,4.99002e+06
2,18792,5.32141e+06
2,21964,4.5529e+06
2,19285,5.18538e+06
2,21530,4.64468e+06
2,19172,5.21594e+06
2,20069,4.98281e+06
2,21848,4.57708e+06
2,19620,5.09684e+06
2,21759,4.5958e+06
2,19709,5.07382e+06
2,20330,4.91884e+06
2,18228,5.48607e+06
2,17651,5.6654e+06
2,20235,4.94193e+06
2,20843,4.79777e+06
2,22228,4.49883e+06
2,25884,3.86339e+06
2,19147,5.22275e+06
2,21719,4.60426e+06
2,21570,4.63607e+06
2,17571,5.6912e+06
2,18224,5.48727e+06
2,21905,4.56517e+06
2,21200,4.71698e+06
2,26483,3.77601e+06
2,27415,3.64764e+06
2,27214,3.67458e+06
2,23702,4.21905e+06
2,25976,3.84971e+06
2,27030,3.69959e+06
2,27062,3.69522e+06
2,28361,3.52597e+06
2,25688,3.89287e+06
2,22488,4.44682e+06
2,22369,4.47047e+06
2,19996,5.001e+06
2,20064,4.98405e+06
2,20637,4.84567e+06
2,21405,4.67181e+06
2,20226,4.94413e+06
2,18485,5.40979e+06
2,18340,5.45256e+06
2,27090,3.6914e+06
2,20585,4.85791e+06
2,22110,4.52284e+06
2,20256,4.93681e+06
2,20983,4.76576e+06
2,19275,5.18807e+06
2,20214,4.94707e+06
2,20947,4.77395e+06
2,19133,5.22657e+06
2,18095,5.52639e+06
2,16222,6.16447e+06
2,18893,5.29297e+06
2,19084,5.23999e+06
2,18437,5.42388e+06
2,28054,3.56455e+06
2,19369,5.16289e+06
2,20551,4.86594e+06
2,19657,5.08725e+06
2,21508,4.64943e+06
2,25549,3.91405e+06
2,30931,3.233e+06
2,19427,5.14748e+06
2,21764,4.59474e+06
2,20629,4.84754e+06
2,22008,4.5438e+06
2,18228,5.48607e+06
2,25420,3.93391e+06
2,28650,3.4904e+06
2,31492,3.17541e+06
2,28697,3.48468e+06
2,29401,3.40124e+06
2,33690,2.96824e+06
2,21423,4.66788e+06
2,19353,5.16716e+06
2,18979,5.26898e+06
2,18847,5.30588e+06
2,21309,4.69285e+06
2,20633,4.8466e+06
2,17322,5.77301e+06
2,15876,6.29882e+06
2,19335,5.17197e+06
2,21169,4.72389e+06
2,19082,5.24054e+06
2,19229,5.20048e+06
2,19656,5.08751e+06
2,20221,4.94535e+06
3,77985,1.2823e+06
3,77341,1.29298e+06
3,65685,1.52242e+06
3,66049,1.51403e+06
3,69945,1.42969e+06
3,29967,3.337e+06
3,31948,3.13009e+06
3,31283,3.19662e+06
3,69720,1.43431e+06
3,73166,1.36676e+06
3,71760,1.39353e+06
3,68112,1.46817e+06
3,33638,2.97283e+06
3,26446,3.78129e+06
3,35786,2.79439e+06
3,80019,1.2497e+06
