num_threads,runtime_microseconds,throughput_ops_sec
1,9480,1.05485e+07
1,10131,9.87069e+06
1,10466,9.55475e+06
1,11972,8.35282e+06
1,8771,1.14012e+07
1,10578,9.45358e+06
1,10801,9.2584e+06
1,10501,9.5229e+06
1,10782,9.27472e+06
1,10948,9.13409e+06
1,10467,9.55384e+06
1,10364,9.64878e+06
1,9815,1.01885e+07
1,10587,9.44555e+06
1,10916,9.16086e+06
1,10971,9.11494e+06
1,10766,9.2885e+06
1,10966,9.1191e+06
1,13539,7.38607e+06
1,3232,3.09406e+07
1,10903,9.17179e+06
1,10844,9.22169e+06
1,10530,9.49668e+06
1,9396,1.06428e+07
1,3266,3.06185e+07
1,3229,3.09693e+07
1,3866,2.58665e+07
1,4020,2.48756e+07
1,3680,2.71739e+07
1,3241,3.08547e+07
1,3235,3.09119e+07
1,3160,3.16456e+07
1,3284,3.04507e+07
1,6634,1.50739e+07
1,5025,1.99005e+07
1,3262,3.0656e+07
1,3286,3.04321e+07
1,3292,3.03767e+07
1,3207,3.11818e+07
1,3350,2.98507e+07
1,6320,1.58228e+07
1,3277,3.05157e+07
1,3281,3.04785e+07
1,3285,3.04414e+07
1,3322,3.01023e+07
1,3238,3.08833e+07
1,3269,3.05904e+07
1,3272,3.05623e+07
1,3870,2.58398e+07
1,3636,2.75028e+07
1,3831,2.61028e+07
1,3184,3.1407e+07
1,3115,3.21027e+07
1,3129,3.19591e+07
1,10834,9.2302e+06
1,3889,2.57136e+07
1,3555,2.81294e+07
1,3286,3.04321e+07
1,3787,2.64061e+07
1,3878,2.57865e+07
1,3629,2.75558e+07
1,3638,2.74876e+07
1,3256,3.07125e+07
1,3764,2.65675e+07
1,3303,3.02755e+07
1,3260,3.06748e+07
1,3289,3.04044e+07
1,3283,3.04599e+07
1,10287,9.72101e+06
1,10803,9.25669e+06
1,5894,1.69664e+07
1,10776,9.27988e+06
1,3243,3.08356e+07
1,6956,1.43761e+07
1,6625,1.50943e+07
1,3972,2.51762e+07
1,6067,1.64826e+07
1,4068,2.45821e+07
1,3880,2.57732e+07
1,3265,3.06279e+07
1,3954,2.52908e+07
1,6572,1.52161e+07
1,12385,8.07428e+06
1,10801,9.2584e+06
1,10618,9.41797e+06
1,4336,2.30627e+07
1,4216,2.37192e+07
1,6571,1.52184e+07
1,5170,1.93424e+07
1,3356,2.97974e+07
1,3134,3.19081e+07
1,6108,1.6372e+07
1,10493,9.53016e+06
1,3703,2.70051e+07
1,3966,2.52143e+07
1,4283,2.33481e+07
1,10776,9.27988e+06
1,9506,1.05197e+07
1,9999,1.0001e+07
1,10682,9.36154e+06
2,27917,3.58205e+06
2,17688,5.65355e+06
2,26499,3.77373e+06
2,38339,2.60831e+06
2,34768,2.87621e+06
2,37137,2.69273e+06
2,13399,7.46324e+06
2,30820,3.24465e+06
2,37859,2.64138e+06
2,33921,2.94803e+06
2,13724,7.28651e+06
2,14885,6.71817e+06
2,38529,2.59545e+06
2,35070,2.85144e+06
2,30216,3.3095e+06
