num_threads,runtime_microseconds,throughput_ops_sec
1,15409,6.48971e+06
1,15194,6.58155e+06
1,14842,6.73764e+06
1,12818,7.80153e+06
1,10119,9.8824e+06
1,14905,6.70916e+06
1,15508,6.44828e+06
1,12014,8.32362e+06
1,12507,7.99552e+06
1,11679,8.56238e+06
1,14236,7.02445e+06
1,8822,1.13353e+07
1,14079,7.10278e+06
1,9675,1.03359e+07
1,13636,7.33353e+06
1,12770,7.83085e+06
1,15120,6.61376e+06
1,9067,1.1029e+07
1,8946,1.11782e+07
1,15361,6.50999e+06
1,14230,7.02741e+06
1,14736,6.7861e+06
1,14396,6.94637e+06
1,15078,6.63218e+06
1,14316,6.98519e+06
1,11338,8.8199e+06
1,12098,8.26583e+06
1,13932,7.17772e+06
1,12888,7.75916e+06
1,12583,7.94723e+06
1,14302,6.99203e+06
1,14268,7.00869e+06
1,13489,7.41345e+06
1,14588,6.85495e+06
1,14369,6.95943e+06
1,14288,6.99888e+06
1,13457,7.43108e+06
1,10989,9.10001e+06
1,11963,8.35911e+06
1,13152,7.60341e+06
1,14418,6.93577e+06
1,13726,7.28544e+06
1,10520,9.5057e+06
1,14421,6.93433e+06
1,12640,7.91139e+06
1,13792,7.25058e+06
1,14086,7.09925e+06
1,12702,7.87278e+06
1,9249,1.0812e+07
1,14116,7.08416e+06
1,15074,6.63394e+06
1,13604,7.35078e+06
1,14815,6.74992e+06
1,14463,6.91419e+06
1,14177,7.05368e+06
1,11973,8.35213e+06
1,12391,8.07037e+06
1,13882,7.20357e+06
1,13169,7.59359e+06
1,11174,8.94935e+06
1,11870,8.4246e+06
1,12599,7.93714e+06
1,11515,8.68432e+06
1,10089,9.91179e+06
1,14683,6.8106e+06
1,14505,6.89417e+06
1,9085,1.10072e+07
1,14027,7.12911e+06
1,10311,9.69838e+06
1,10168,9.83478e+06
1,14632,6.83434e+06
1,10139,9.86291e+06
1,10290,9.71817e+06
1,10099,9.90197e+06
1,10159,9.84349e+06
1,10242,9.76372e+06
1,9213,1.08542e+07
1,10153,9.84931e+06
1,9124,1.09601e+07
1,11530,8.67303e+06
1,10461,9.55932e+06
1,10221,9.78378e+06
1,10098,9.90295e+06
1,11424,8.7535e+06
1,14525,6.88468e+06
1,9381,1.06598e+07
1,14179,7.05268e+06
1,14485,6.90369e+06
1,14457,6.91706e+06
1,15446,6.47417e+06
1,14391,6.94879e+06
1,14553,6.87144e+06
1,14392,6.9483e+06
1,14235,7.02494e+06
1,10388,9.62649e+06
1,15449,6.47291e+06
1,10537,9.49037e+06
1,9944,1.00563e+07
1,10701,9.34492e+06
1,11575,8.63931e+06
2,20810,4.80538e+06
2,23841,4.19445e+06
2,51071,1.95806e+06
2,51640,1.93648e+06
2,49707,2.01179e+06
2,50182,1.99275e+06
2,49098,2.03674e+06
2,46452,2.15276e+06
2,48014,2.08273e+06
2,52882,1.891e+06
2,19868,5.03322e+06
2,50799,1.96854e+06
2,52082,1.92005e+06
2,50749,1.97048e+06
2,44213,2.26178e+06
2,19005,5.26177e+06
2,19431,5.14642e+06
2,20219,4.94584e+06
2,52391,1.90872e+06
2,21106,4.73799e+06
2,20842,4.798e+06
2,21723,4.60342e+06
2,25523,3.91803e+06
2,56051,1.78409e+06
2,20815,4.80423e+06
2,20625,4.84848e+06
2,43861,2.27993e+06
2,20218,4.94609e+06
2,21817,4.58358e+06
2,21604,4.62877e+06
2,55105,1.81472e+06
2,19339,5.1709e+06
2,20850,4.79616e+06
2,19738,5.06637e+06
2,51998,1.92315e+06
2,53889,1.85567e+06
2,24525,4.07747e+06
2,54642,1.83009e+06
2,26513,3.77173e+06
2,24051,4.15783e+06
2,51910,1.92641e+06
2,49506,2.01996e+06
2,23836,4.19533e+06
2,22308,4.4827e+06
2,43224,2.31353e+06
2,24301,4.11506e+06
2,24168,4.1377e+06
2,24550,4.07332e+06
2,57348,1.74374e+06
2,25270,3.95726e+06
2,22759,4.39387e+06
2,23599,4.23747e+06
2,23550,4.24628e+06
2,24494,4.08263e+06
2,23652,4.22797e+06
2,25677,3.89454e+06
2,24237,4.12592e+06
2,22963,4.35483e+06
2,22627,4.4195e+06
2,14219,7.03284e+06
2,13785,7.25426e+06
2,22156,4.51345e+06
2,27693,3.61102e+06
2,26597,3.75982e+06
2,21187,4.71988e+06
2,26109,3.8301e+06
2,24748,4.04073e+06
2,22826,4.38097e+06
2,24055,4.15714e+06
2,57662,1.73424e+06
2,28799,3.47234e+06
2,55254,1.80982e+06
2,56837,1.75942e+06
2,53728,1.86123e+06
2,22604,4.424e+06
2,22570,4.43066e+06
2,27226,3.67296e+06
2,23385,4.27625e+06
2,25274,3.95664e+06
2,21209,4.71498e+06
2,20945,4.77441e+06
2,25543,3.91497e+06
2,20461,4.88735e+06
2,24188,4.13428e+06
2,25814,3.87387e+06
2,23643,4.22958e+06
2,52622,1.90035e+06
2,24222,4.12848e+06
2,23251,4.30089e+06
2,50330,1.98689e+06
2,50878,1.96549e+06
2,52631,1.90002e+06
2,46973,2.12888e+06
2,23271,4.29719e+06
2,45713,2.18756e+06
2,24099,4.14955e+06
2,24025,4.16233e+06
2,27331,3.65885e+06
2,23132,4.32302e+06
2,24662,4.05482e+06
3,47395,2.10993e+06
3,44377,2.25342e+06
3,44137,2.26567e+06
3,45437,2.20085e+06
3,31447,3.17995e+06
3,45101,2.21725e+06
3,46345,2.15773e+06
3,52431,1.90727e+06
3,30729,3.25425e+06
3,34924,2.86336e+06
3,56183,1.7799e+06
3,45464,2.19954e+06
3,44616,2.24135e+06
3,44321,2.25627e+06
3,43865,2.27972e+06
3,40853,2.4478e+06
3,39429,2.5362e+06
3,47663,2.09806e+06
3,45415,2.20192e+06
3,39116,2.5565e+06
3,41394,2.41581e+06
3,39544,2.52883e+06
3,40626,2.46148e+06
3,38636,2.58826e+06
3,40525,2.46761e+06
3,46703,2.14119e+06
3,49339,2.02679e+06
3,42669,2.34362e+06
3,41652,2.40085e+06
3,42527,2.35145e+06
3,48804,2.04901e+06
3,33803,2.95832e+06
3,31721,3.15249e+06
3,22055,4.53412e+06
3,27596,3.62371e+06
3,40402,2.47512e+06
3,46632,2.14445e+06
3,46520,2.14961e+06
3,43836,2.28123e+06
3,45553,2.19525e+06
3,40446,2.47243e+06
3,34688,2.88284e+06
3,40328,2.47967e+06
3,46791,2.13716e+06
3,46175,2.16567e+06
3,45326,2.20624e+06
3,47324,2.11309e+06
3,42301,2.36401e+06
3,37342,2.67795e+06
3,40102,2.49364e+06
3,46638,2.14417e+06
3,42804,2.33623e+06
3,38585,2.59168e+06
3,44723,2.23599e+06
3,39748,2.51585e+06
3,37833,2.6432e+06
3,44179,2.26352e+06
3,45586,2.19366e+06
3,48355,2.06804e+06
3,48249,2.07258e+06
3,46191,2.16492e+06
3,39871,2.50809e+06
3,41379,2.41668e+06
3,70610,1.41623e+06
3,51159,1.95469e+06
3,41613,2.4031e+06
3,50343,1.98637e+06
3,46898,2.13229e+06
3,63736,1.56897e+06
3,71183,1.40483e+06
3,60326,1.65766e+06
3,47775,2.09314e+06
3,46654,2.14344e+06
3,46528,2.14924e+06
3,48909,2.04461e+06
3,30334,3.29663e+06
3,32708,3.05736e+06
3,70515,1.41814e+06
3,32646,3.06316e+06
3,53189,1.88009e+06
3,55720,1.79469e+06
3,49400,2.02429e+06
3,39556,2.52806e+06
3,43579,2.29468e+06
3,72305,1.38303e+06
3,30992,3.22664e+06
3,48691,2.05377e+06
3,43238,2.31278e+06
3,42681,2.34296e+06
3,49007,2.04052e+06
3,46528,2.14924e+06
3,46751,2.13899e+06
3,49012,2.04032e+06
3,63054,1.58594e+06
3,47899,2.08773e+06
3,63148,1.58358e+06
3,48002,2.08325e+06
3,44134,2.26583e+06
3,53787,1.85919e+06
3,71108,1.40631e+06
4,104909,953207
4,62250,1.60643e+06
4,63457,1.57587e+06
4,59092,1.69228e+06
4,44028,2.27128e+06
4,62390,1.60282e+06
4,63630,1.57159e+06
4,62372,1.60328e+06
4,65434,1.52826e+06
4,137693,726253
4,63073,1.58546e+06
4,56129,1.78161e+06
4,53530,1.86811e+06
4,57610,1.73581e+06
4,79998,1.25003e+06
4,55641,1.79724e+06
4,56014,1.78527e+06
4,60427,1.65489e+06
4,57291,1.74547e+06
4,55851,1.79048e+06
4,43826,2.28175e+06
4,66939,1.4939e+06
4,54541,1.83348e+06
4,53255,1.87776e+06
4,74766,1.33751e+06
4,61316,1.6309e+06
4,60841,1.64363e+06
4,105089,951574
4,60016,1.66622e+06
4,66819,1.49658e+06
4,127171,786343
4,126675,789422
4,121234,824851
4,118850,841397
4,56407,1.77283e+06
4,57945,1.72577e+06
4,69392,1.44109e+06
4,62956,1.58841e+06
4,53751,1.86043e+06
4,58077,1.72185e+06
4,56224,1.7786e+06
4,63404,1.57719e+06
4,56665,1.76476e+06
4,56478,1.7706e+06
4,57381,1.74274e+06
4,123813,807670
4,58583,1.70698e+06
4,52818,1.89329e+06
4,41966,2.38288e+06
4,57196,1.74837e+06
4,59419,1.68296e+06
4,53048,1.88509e+06
4,58362,1.71344e+06
4,56759,1.76184e+06
4,56575,1.76757e+06
4,56371,1.77396e+06
4,57026,1.75359e+06
4,91713,1.09036e+06
4,76351,1.30974e+06
4,78004,1.28199e+06
4,53913,1.85484e+06
4,75897,1.31758e+06
4,52670,1.89861e+06
4,56626,1.76597e+06
4,50357,1.98582e+06
4,57749,1.73163e+06
4,136850,730727
4,133911,746765
4,44333,2.25566e+06
4,51229,1.95202e+06
4,59139,1.69093e+06
4,59383,1.68398e+06
4,62996,1.5874e+06
4,136303,733660
4,57545,1.73777e+06
4,116700,856898
4,123980,806582
4,53899,1.85532e+06
4,60100,1.66389e+06
4,59444,1.68226e+06
4,42070,2.37699e+06
4,52392,1.90869e+06
4,50308,1.98776e+06
4,62878,1.59038e+06
4,41735,2.39607e+06
4,141210,708165
4,57238,1.74709e+06
4,61523,1.62541e+06
4,42826,2.33503e+06
4,63503,1.57473e+06
4,120090,832709
4,63865,1.5658e+06
4,143142,698607
4,59457,1.68189e+06
4,55821,1.79144e+06
4,64064,1.56094e+06
4,64659,1.54658e+06
4,44919,2.22623e+06
4,63496,1.5749e+06
4,62421,1.60202e+06
5,91595,1.09176e+06
5,103553,965689
5,125216,798620
5,143316,697759
5,78777,1.26941e+06
5,81508,1.22687e+06
5,82816,1.2075e+06
5,87476,1.14317e+06
5,88269,1.1329e+06
5,98781,1.01234e+06
5,142109,703685
5,67935,1.472e+06
5,101370,986485
5,85426,1.1706e+06
5,91171,1.09684e+06
5,97504,1.0256e+06
5,167790,595983
5,84750,1.17994e+06
5,99616,1.00385e+06
5,62010,1.61264e+06
5,94596,1.05713e+06
5,79942,1.25091e+06
5,74549,1.3414e+06
5,101315,987021
5,154725,646308
5,88371,1.13159e+06
5,54343,1.84016e+06
5,53736,1.86095e+06
5,135311,739038
5,72339,1.38238e+06
5,142732,700614
5,107988,926029
5,128761,776633
5,147468,678113
5,78900,1.26743e+06
5,90359,1.1067e+06
5,96126,1.0403e+06
5,94502,1.05818e+06
5,75823,1.31886e+06
5,77703,1.28695e+06
5,97509,1.02555e+06
5,93296,1.07186e+06
5,155298,643923
5,137713,726148
5,90589,1.10389e+06
5,99809,1.00191e+06
5,86847,1.15145e+06
5,104091,960698
5,90301,1.10741e+06
5,101196,988181
5,132928,752287
5,97482,1.02583e+06
5,91328,1.09495e+06
5,150341,665155
5,93876,1.06523e+06
5,143902,694917
5,139714,715748
5,153089,653215
5,70367,1.42112e+06
5,82086,1.21823e+06
5,67083,1.49069e+06
5,99399,1.00605e+06
5,97602,1.02457e+06
5,106250,941176
5,95517,1.04693e+06
5,74003,1.3513e+06
5,79607,1.25617e+06
5,68382,1.46237e+06
5,83140,1.20279e+06
5,97195,1.02886e+06
5,99254,1.00752e+06
5,85240,1.17316e+06
5,90336,1.10698e+06
5,118837,841489
5,76674,1.30422e+06
5,87557,1.14211e+06
5,127794,782509
5,111725,895055
5,138781,720560
5,72426,1.38072e+06
5,80655,1.23985e+06
5,70866,1.41111e+06
5,77971,1.28253e+06
5,100604,993996
5,82861,1.20684e+06
5,91946,1.08759e+06
5,68397,1.46205e+06
5,85259,1.1729e+06
5,97637,1.0242e+06
5,76385,1.30916e+06
5,71908,1.39067e+06
5,100580,994233
5,98900,1.01112e+06
5,59890,1.66973e+06
5,97580,1.0248e+06
5,90935,1.09969e+06
5,140554,711470
5,86147,1.16081e+06
5,119538,836554
5,138845,720228
6,158618,630445
6,129517,772099
6,173157,577511
6,135208,739601
6,162260,616295
6,123893,807148
6,156035,640882
6,125471,796997
6,163689,610915
6,136452,732858
6,126587,789971
6,159343,627577
6,125724,795393
6,125357,797722
6,127071,786962
6,114176,875841
6,120036,833083
6,155413,643447
6,122162,818585
6,158313,631660
6,152867,654163
6,124429,803671
6,142658,700977
6,120393,830613
6,175199,570780
6,133841,747155
6,145696,686361
6,121313,824314
6,123811,807683
6,115086,868915
6,150668,663711
6,143886,694995
6,131108,762730
6,127444,784658
6,128176,780177
6,122621,815521
6,116566,857883
6,116540,858074
6,136336,733482
6,133522,748940
6,131758,758967
6,172984,578088
6,120751,828150
6,123727,808231
6,157503,634909
6,126093,793065
6,161186,620401
6,123388,810452
6,130637,765480
6,152132,657324
6,123403,810353
6,120372,830758
6,137704,726195
6,130632,765509
6,151434,660354
6,169923,588502
6,156959,637109
6,163727,610773
6,113752,879105
6,140464,711926
6,112583,888234
6,122395,817027
6,145619,686724
6,124624,802414
6,123490,809782
6,149951,666885
6,147689,677098
6,162123,616816
6,174583,572793
6,166287,601370
6,123252,811346
6,113280,882768
6,121119,825634
6,133237,750542
6,121103,825743
6,121770,821220
6,131194,762230
6,165439,604452
6,115962,862351
6,133286,750266
6,171064,584577
6,168100,594884
6,160804,621875
6,139764,715492
6,123066,812572
6,134831,741669
6,161722,618345
6,164170,609125
6,109445,913701
6,126656,789540
6,139044,719197
6,127031,787209
6,140338,712565
6,157202,636124
6,151232,661236
6,154202,648500
6,161214,620294
6,160089,624653
6,144503,692027
6,143480,696961
7,171033,584682
7,161726,618330
7,198294,504302
7,170414,586806
7,168211,594491
7,164822,606715
7,174425,573312
7,168883,592126
7,162861,614021
7,169774,589018
7,169196,591031
7,170323,587120
7,161344,619794
7,184011,543446
7,170135,587769
7,170168,587655
7,203476,491458
7,157466,635058
7,161238,620201
7,170591,586197
7,168541,593327
7,166346,601157
7,164224,608924
7,157207,636104
7,160869,621624
7,161606,618789
7,167186,598136
7,164301,608639
7,167499,597018
7,186857,535169
7,169957,588384
7,167776,596033
7,169594,589644
7,182624,547573
7,178913,558931
7,176204,567524
7,172098,581064
7,169008,591688
7,162956,613663
7,165707,603475
7,163976,609845
7,166810,599484
7,175378,570197
7,155881,641515
7,161701,618425
7,171924,581652
7,172059,581196
7,170224,587461
7,166827,599423
7,155765,641993
7,168673,592863
7,168605,593102
7,192713,518906
7,172837,578580
7,189571,527507
7,165651,603679
7,161004,621103
7,163662,611015
7,162953,613674
7,167752,596118
7,172092,581085
7,185732,538410
7,163420,611920
7,157629,634401
7,168959,591860
7,171160,584249
7,171245,583959
7,162185,616580
7,169225,590929
7,166740,599736
7,162137,616762
7,174520,573000
7,162987,613546
7,169546,589810
7,178965,558768
7,157522,634832
7,85608,1.16812e+06
7,180554,553851
7,166403,600951
7,200107,499733
7,156069,640742
7,162397,615775
7,172367,580157
7,110581,904314
7,172517,579653
7,185287,539703
7,168984,591772
7,154621,646743
7,165996,602424
7,189189,528572
7,167920,595522
7,194122,515140
7,133474,749210
7,149133,670542
7,170853,585298
7,181278,551639
7,167056,598602
7,156359,639554
7,169769,589036
7,155654,642451
8,131283,761713
8,196311,509396
8,194896,513094
8,198377,504091
8,192770,518753
8,195234,512206
8,178502,560218
8,194195,514946
8,175519,569739
8,173357,576844
8,176745,565787
8,164765,606925
8,198317,504243
8,105785,945314
8,172156,580869
8,178127,561397
8,174334,573612
8,172671,579136
8,174644,572593
8,173176,577447
8,176520,566508
8,190075,526108
8,177247,564184
8,175405,570109
8,178007,561776
8,132313,755784
8,165891,602805
8,182336,548438
8,172444,579898
8,166506,600579
8,178951,558812
8,188335,530969
8,159902,625383
8,177301,564013
8,205668,486221
8,177771,562521
8,176159,567669
8,167567,596776
8,171339,583638
8,170489,586548
8,177565,563174
8,182861,546863
8,176391,566922
8,176456,566714
8,177349,563860
8,163678,610956
8,165752,603311
8,182265,548652
8,179621,556728
8,168620,593049
8,183463,545069
8,173313,576991
8,187572,533129
8,173089,577737
8,177850,562272
8,161664,618567
8,176976,565048
8,163295,612389
8,199878,500305
8,175789,568864
8,74946,1.33429e+06
8,171077,584532
8,198215,504503
8,196787,508164
8,174421,573325
8,178635,559801
8,166957,598957
8,183412,545221
8,158588,630565
8,175535,569687
8,175577,569551
8,195256,512148
8,159784,625845
8,157378,635413
8,181264,551682
8,172299,580386
8,196791,508153
8,177943,561978
8,174673,572498
8,169883,588640
8,174967,571536
8,143635,696209
8,184971,540625
8,198670,503347
8,170769,585586
8,180807,553076
8,174574,572823
8,197889,505334
8,208504,479607
8,175485,569849
8,173626,575951
8,176711,565896
8,179363,557529
8,177490,563412
8,207932,480926
8,209712,476844
8,199428,501434
8,173961,574841
8,132708,753534
8,184203,542879
9,212943,469609
9,179841,556047
9,157085,636598
9,186815,535289
9,185597,538802
9,187209,534162
9,180516,553968
9,171657,582557
9,182891,546774
9,210295,475522
9,186226,536982
9,200865,497847
9,193599,516532
9,210901,474156
9,181943,549623
9,184086,543224
9,187693,532785
9,181077,552251
9,186616,535860
9,181458,551092
9,203151,492245
9,186158,537178
9,191056,523407
9,181966,549553
9,193624,516465
9,177861,562237
9,210048,476082
9,108632,920539
9,172543,579566
9,186721,535558
9,203041,492511
9,189818,526820
9,178344,560714
9,151526,659953
9,131235,761992
9,201537,496187
9,190541,524821
9,104143,960218
9,212003,471691
9,212928,469642
9,184819,541070
9,182626,547567
9,194461,514242
9,191622,521861
9,182548,547801
9,180669,553498
9,209909,476397
9,184148,543041
9,189417,527936
9,180200,554939
9,207697,481471
9,190181,525815
9,208794,478941
9,179183,558089
9,204524,488940
9,185654,538636
9,183208,545828
9,179299,557728
9,185558,538915
9,182672,547429
9,169367,590434
9,178803,559275
9,188945,529255
9,182691,547372
9,177494,563399
9,203644,491053
9,209212,477984
9,180898,552798
9,182242,548721
9,184505,541991
9,185934,537825
9,186262,536878
9,196868,507955
9,185254,539799
9,173865,575159
9,180014,555512
9,174325,573641
9,154409,647631
9,182949,546600
9,188382,530836
9,214842,465458
9,182334,548444
9,186950,534902
9,213094,469276
9,204389,489263
9,214952,465220
9,181500,550964
9,184015,543434
9,181856,549886
9,186589,535937
9,181312,551535
9,178871,559062
9,192240,520183
9,184295,542608
9,190051,526175
9,187327,533826
9,190776,524175
9,199513,501220
9,185964,537738
9,208264,480160
10,191647,521793
10,161250,620155
10,198328,504215
10,193535,516702
10,191032,523473
10,194596,513885
10,191497,522201
10,190066,526133
10,207861,481091
10,194370,514483
10,80672,1.23959e+06
10,199938,500155
10,199111,502232
10,213347,468720
10,176360,567022
10,192520,519427
10,203075,492429
10,188335,530969
10,188661,530051
10,187567,533143
10,194944,512968
10,194536,514044
10,191422,522406
10,191603,521912
10,177716,562696
10,217859,459012
10,162944,613708
10,188765,529759
10,189176,528608
10,195403,511763
10,212942,469611
10,196836,508037
10,200355,499114
10,198724,503210
10,192275,520088
10,192323,519959
10,201086,497300
10,193475,516863
10,170554,586325
10,220482,453552
10,181874,549831
10,181728,550273
10,188686,529981
10,194987,512855
10,198250,504414
10,188551,530360
10,212934,469629
10,195676,511049
10,192941,518293
10,216114,462719
10,202711,493313
10,194519,514089
10,190068,526127
10,116251,860208
10,214479,466246
10,197600,506073
10,191823,521314
10,219022,456575
10,192300,520021
10,183500,544959
10,192630,519130
10,217503,459764
10,193739,516158
10,152109,657423
10,103948,962019
10,188914,529341
10,179598,556799
10,195576,511310
10,200741,498154
10,200429,498930
10,183986,543520
10,189595,527440
10,217525,459717
10,197665,505906
10,191187,523048
10,75446,1.32545e+06
10,189325,528192
10,194250,514801
10,189418,527933
10,173606,576017
10,185765,538315
10,187273,533980
10,196381,509214
10,185337,539558
10,196058,510053
10,223792,446843
10,197485,506368
10,191406,522450
10,217244,460312
10,192673,519014
10,190106,526022
10,192591,519235
10,194659,513719
10,213213,469015
10,196709,508365
10,190496,524945
10,219266,456067
10,194639,513772
10,190703,524376
10,199152,502129
