num_threads,runtime_microseconds,throughput_ops_sec
1,9161,1.09158e+07
1,8515,1.1744e+07
1,4530,2.20751e+07
1,11060,9.04159e+06
1,4558,2.19394e+07
1,10951,9.13159e+06
1,11111,9.00009e+06
1,11113,8.99847e+06
1,11034,9.0629e+06
1,5049,1.98059e+07
1,11105,9.00495e+06
1,11218,8.91424e+06
1,13784,7.25479e+06
1,10854,9.21319e+06
1,11734,8.52224e+06
1,12546,7.97067e+06
1,5910,1.69205e+07
1,4462,2.24115e+07
1,4417,2.26398e+07
1,12960,7.71605e+06
1,4467,2.23864e+07
1,4448,2.2482e+07
1,4469,2.23764e+07
1,11095,9.01307e+06
1,4446,2.24921e+07
1,12211,8.18934e+06
1,10494,9.52925e+06
1,12925,7.73694e+06
1,10710,9.33707e+06
1,12209,8.19068e+06
1,11068,9.03506e+06
1,10900,9.17431e+06
1,10930,9.14913e+06
1,10728,9.3214e+06
1,13521,7.3959e+06
1,4543,2.20119e+07
1,4580,2.18341e+07
1,4552,2.19684e+07
1,13069,7.65169e+06
1,4525,2.20994e+07
1,11085,9.0212e+06
1,4539,2.20313e+07
1,4504,2.22025e+07
1,4553,2.19635e+07
1,5019,1.99243e+07
1,4530,2.20751e+07
1,4521,2.2119e+07
1,4570,2.18818e+07
1,11013,9.08018e+06
1,4517,2.21386e+07
1,4519,2.21288e+07
1,4539,2.20313e+07
1,4423,2.26091e+07
1,11189,8.93735e+06
1,10355,9.65717e+06
1,4472,2.23614e+07
1,13489,7.41345e+06
1,9413,1.06236e+07
1,14607,6.84603e+06
1,14465,6.91324e+06
1,15520,6.4433e+06
1,11163,8.95817e+06
1,13416,7.45379e+06
1,13947,7.17e+06
1,13800,7.24638e+06
1,10983,9.10498e+06
1,8857,1.12905e+07
1,6217,1.60849e+07
1,5172,1.93349e+07
1,6514,1.53516e+07
1,4797,2.08464e+07
1,11082,9.02364e+06
1,12765,7.83392e+06
1,10962,9.12242e+06
1,14210,7.0373e+06
1,10844,9.22169e+06
1,10854,9.21319e+06
1,14404,6.94252e+06
1,8976,1.11408e+07
1,10132,9.86972e+06
1,9589,1.04286e+07
1,13322,7.50638e+06
1,13773,7.26058e+06
1,10159,9.84349e+06
1,12981,7.70357e+06
1,11055,9.04568e+06
1,11956,8.364e+06
1,4481,2.23164e+07
1,4450,2.24719e+07
1,4538,2.20361e+07
1,4505,2.21976e+07
1,4524,2.21043e+07
1,4546,2.19974e+07
1,4497,2.2237e+07
1,4520,2.21239e+07
1,9425,1.06101e+07
1,10862,9.20641e+06
1,8815,1.13443e+07
1,6703,1.49187e+07
1,7341,1.36221e+07
2,45081,2.21823e+06
2,14693,6.80596e+06
2,40785,2.45188e+06
2,7882,1.26871e+07
2,6738,1.48412e+07
2,16706,5.98587e+06
2,39421,2.53672e+06
2,40463,2.47139e+06
2,6665,1.50038e+07
2,40692,2.45749e+06
2,10932,9.14746e+06
2,8181,1.22234e+07
2,10037,9.96314e+06
2,8262,1.21036e+07
2,9431,1.06033e+07
2,41871,2.38829e+06
2,11424,8.7535e+06
2,40343,2.47874e+06
2,40605,2.46275e+06
2,41807,2.39194e+06
2,14569,6.86389e+06
2,17888,5.59034e+06
2,20518,4.87377e+06
2,14146,7.06914e+06
2,18545,5.39229e+06
2,5631,1.77588e+07
2,9056,1.10424e+07
2,6723,1.48743e+07
2,36582,2.73358e+06
2,14945,6.6912e+06
2,37152,2.69165e+06
2,37157,2.69128e+06
2,16218,6.16599e+06
2,15197,6.58025e+06
2,36511,2.7389e+06
2,14637,6.832e+06
2,37071,2.69753e+06
2,14281,7.00231e+06
2,37809,2.64487e+06
2,37290,2.68168e+06
2,12490,8.00641e+06
2,36982,2.70402e+06
2,37760,2.64831e+06
2,37108,2.69484e+06
2,5636,1.77431e+07
2,27527,3.6328e+06
2,37501,2.6666e+06
2,36541,2.73665e+06
2,37462,2.66937e+06
2,30894,3.23687e+06
2,37844,2.64243e+06
2,15018,6.65868e+06
2,15991,6.25352e+06
2,15483,6.4587e+06
2,35672,2.80332e+06
2,17517,5.70874e+06
2,37261,2.68377e+06
2,37974,2.63338e+06
2,28667,3.48833e+06
2,37293,2.68147e+06
2,39290,2.54518e+06
2,35973,2.77986e+06
2,35775,2.79525e+06
2,37564,2.66212e+06
2,37216,2.68702e+06
2,37646,2.65632e+06
2,15087,6.62822e+06
2,29878,3.34694e+06
2,15549,6.43128e+06
2,27774,3.60049e+06
2,22112,4.52243e+06
2,14651,6.82547e+06
2,28787,3.47379e+06
2,15915,6.28338e+06
2,14354,6.9667e+06
2,5189,1.92715e+07
2,5315,1.88147e+07
2,9703,1.03061e+07
2,15547,6.43211e+06
2,35303,2.83262e+06
2,26448,3.781e+06
2,27384,3.65177e+06
2,10683,9.36067e+06
2,36749,2.72116e+06
2,33004,3.02994e+06
2,19807,5.04872e+06
2,35285,2.83407e+06
2,37993,2.63206e+06
2,10143,9.85902e+06
2,10732,9.31793e+06
2,6280,1.59236e+07
2,6438,1.55328e+07
2,9334,1.07135e+07
2,8692,1.15048e+07
2,8658,1.155e+07
2,15986,6.25547e+06
2,15780,6.33714e+06
2,33564,2.97938e+06
2,6956,1.43761e+07
2,15039,6.64938e+06
3,24450,4.08998e+06
3,23844,4.19393e+06
3,29383,3.40333e+06
3,15411,6.48887e+06
3,26635,3.75446e+06
3,15416,6.48677e+06
3,15206,6.57635e+06
3,15012,6.66134e+06
3,15926,6.27904e+06
3,15909,6.28575e+06
3,17122,5.84044e+06
3,28635,3.49223e+06
3,15839,6.31353e+06
3,15621,6.40164e+06
3,30142,3.31763e+06
3,28575,3.49956e+06
3,16097,6.21234e+06
3,28090,3.55999e+06
3,16333,6.12257e+06
3,15428,6.48172e+06
3,27062,3.69522e+06
3,13273,7.53409e+06
3,30852,3.24128e+06
3,10382,9.63206e+06
3,10109,9.89218e+06
3,8517,1.17412e+07
3,18685,5.35189e+06
3,28286,3.53532e+06
3,25073,3.98835e+06
3,19251,5.19454e+06
3,27029,3.69973e+06
3,15388,6.49857e+06
3,25868,3.86578e+06
3,23077,4.33332e+06
3,29936,3.34046e+06
3,28254,3.53932e+06
3,28213,3.54447e+06
3,20575,4.86027e+06
3,26204,3.81621e+06
3,25885,3.86324e+06
3,12886,7.76036e+06
3,29296,3.41344e+06
3,11279,8.86603e+06
3,28258,3.53882e+06
3,20631,4.84707e+06
3,16692,5.99089e+06
3,13094,7.63709e+06
3,21116,4.73575e+06
3,20264,4.93486e+06
3,25228,3.96385e+06
3,30019,3.33122e+06
3,28514,3.50705e+06
3,31540,3.17058e+06
3,17900,5.58659e+06
3,21532,4.64425e+06
3,27866,3.5886e+06
3,15658,6.38651e+06
3,29737,3.36281e+06
3,32021,3.12295e+06
3,28626,3.49333e+06
3,25189,3.96999e+06
3,16585,6.02954e+06
3,29201,3.42454e+06
3,28762,3.47681e+06
3,25552,3.91359e+06
3,17216,5.80855e+06
3,26605,3.75869e+06
3,27689,3.61154e+06
3,24734,4.04302e+06
3,15807,6.32631e+06
3,14965,6.68226e+06
3,28720,3.48189e+06
3,28183,3.54824e+06
3,27760,3.60231e+06
3,29993,3.33411e+06
3,15866,6.30279e+06
3,14842,6.73764e+06
3,15136,6.60677e+06
3,15148,6.60153e+06
3,14980,6.67557e+06
3,15366,6.50787e+06
3,12241,8.16927e+06
3,8741,1.14403e+07
3,6315,1.58353e+07
3,28087,3.56037e+06
3,23441,4.26603e+06
3,24747,4.04089e+06
3,26872,3.72135e+06
3,27954,3.57731e+06
3,27432,3.64538e+06
3,27659,3.61546e+06
3,15346,6.51636e+06
3,28500,3.50877e+06
3,26710,3.74392e+06
3,16692,5.99089e+06
3,21670,4.61467e+06
3,29617,3.37644e+06
3,28137,3.55404e+06
3,15245,6.55953e+06
3,28973,3.45149e+06
4,22597,4.42537e+06
4,20339,4.91666e+06
4,21686,4.61127e+06
4,26734,3.74056e+06
4,25973,3.85015e+06
4,24601,4.06488e+06
4,20917,4.7808e+06
4,22263,4.49176e+06
4,14461,6.91515e+06
4,15273,6.5475e+06
4,15030,6.65336e+06
4,15584,6.41684e+06
4,15573,6.42137e+06
4,21416,4.66941e+06
4,20179,4.95565e+06
4,21979,4.5498e+06
4,26562,3.76478e+06
4,15014,6.66045e+06
4,14314,6.98617e+06
4,25596,3.90686e+06
4,15101,6.62208e+06
4,21377,4.67792e+06
4,25561,3.91221e+06
4,25793,3.87702e+06
4,26058,3.83759e+06
4,28150,3.5524e+06
4,25678,3.89438e+06
4,20995,4.76304e+06
4,26029,3.84187e+06
4,26539,3.76804e+06
4,27145,3.68392e+06
4,20874,4.79065e+06
4,20045,4.98878e+06
4,26856,3.72356e+06
4,22076,4.52981e+06
4,20474,4.88424e+06
4,21141,4.73015e+06
4,22151,4.51447e+06
4,15049,6.64496e+06
4,15001,6.66622e+06
4,22314,4.48149e+06
4,26716,3.74308e+06
4,22516,4.44129e+06
4,25419,3.93407e+06
4,19676,5.08233e+06
4,20922,4.77966e+06
4,21957,4.55436e+06
4,20393,4.90364e+06
4,19981,5.00475e+06
4,26268,3.80691e+06
4,25027,3.99568e+06
4,18281,5.47016e+06
4,25831,3.87132e+06
4,25992,3.84734e+06
4,27501,3.63623e+06
4,25261,3.95867e+06
4,21678,4.61297e+06
4,25883,3.86354e+06
4,22559,4.43282e+06
4,19367,5.16342e+06
4,20758,4.81742e+06
4,22168,4.51101e+06
4,21321,4.69021e+06
4,21327,4.68889e+06
4,21192,4.71876e+06
4,25524,3.91788e+06
4,19898,5.02563e+06
4,25219,3.96526e+06
4,25270,3.95726e+06
4,20077,4.98082e+06
4,23121,4.32507e+06
4,14597,6.85072e+06
4,17862,5.59848e+06
4,19704,5.07511e+06
4,25963,3.85164e+06
4,19754,5.06227e+06
4,20412,4.89908e+06
4,19847,5.03854e+06
4,21451,4.66179e+06
4,18456,5.41829e+06
4,21533,4.64403e+06
4,16841,5.93789e+06
4,19774,5.05715e+06
4,25947,3.85401e+06
4,26913,3.71568e+06
4,25796,3.87657e+06
4,26698,3.7456e+06
4,26587,3.76124e+06
4,26491,3.77487e+06
4,26806,3.73051e+06
4,24464,4.08764e+06
4,21907,4.56475e+06
4,26275,3.8059e+06
4,22809,4.38423e+06
4,18080,5.53097e+06
4,22181,4.50836e+06
4,14431,6.92953e+06
4,22500,4.44444e+06
4,21915,4.56308e+06
4,19536,5.11876e+06
5,22715,4.40238e+06
5,22609,4.42302e+06
5,22778,4.3902e+06
5,22834,4.37943e+06
5,21393,4.67443e+06
5,21421,4.66832e+06
5,22602,4.42439e+06
5,22357,4.47287e+06
5,21550,4.64037e+06
5,24102,4.14903e+06
5,22781,4.38962e+06
5,22120,4.5208e+06
5,24051,4.15783e+06
5,22222,4.50005e+06
5,22364,4.47147e+06
5,19277,5.18753e+06
5,22362,4.47187e+06
5,23136,4.32227e+06
5,22454,4.45355e+06
5,18510,5.40249e+06
5,22354,4.47347e+06
5,19732,5.06791e+06
5,20095,4.97636e+06
5,23835,4.19551e+06
5,19279,5.18699e+06
5,22694,4.40645e+06
5,22906,4.36567e+06
5,23062,4.33614e+06
5,18911,5.28793e+06
5,19647,5.08984e+06
5,22588,4.42713e+06
5,22301,4.4841e+06
5,18161,5.5063e+06
5,20518,4.87377e+06
5,22688,4.40762e+06
5,22873,4.37197e+06
5,22115,4.52182e+06
5,22191,4.50633e+06
5,22678,4.40956e+06
5,21406,4.67159e+06
5,22132,4.51834e+06
5,22335,4.47728e+06
5,21544,4.64166e+06
5,19623,5.09606e+06
5,22457,4.45295e+06
5,21703,4.60766e+06
5,22340,4.47628e+06
5,19476,5.13452e+06
5,22954,4.35654e+06
5,22585,4.42772e+06
5,22467,4.45097e+06
5,22522,4.4401e+06
5,23785,4.20433e+06
5,22512,4.44208e+06
5,23055,4.33745e+06
5,23085,4.33182e+06
5,19480,5.13347e+06
5,22215,4.50146e+06
5,20225,4.94438e+06
5,22488,4.44682e+06
5,23604,4.23657e+06
5,22098,4.5253e+06
5,17610,5.67859e+06
5,23164,4.31704e+06
5,18297,5.46538e+06
5,21799,4.58737e+06
5,22816,4.38289e+06
5,22216,4.50126e+06
5,23802,4.20133e+06
5,22755,4.39464e+06
5,16525,6.05144e+06
5,21654,4.61808e+06
5,23243,4.30237e+06
5,19827,5.04363e+06
5,21091,4.74136e+06
5,23925,4.17973e+06
5,23783,4.20468e+06
5,22790,4.38789e+06
5,23838,4.19498e+06
5,22983,4.35104e+06
5,23908,4.1827e+06
5,22654,4.41423e+06
5,22202,4.5041e+06
5,22360,4.47227e+06
5,22590,4.42674e+06
5,23043,4.33971e+06
5,22874,4.37178e+06
5,24691,4.05006e+06
5,23174,4.31518e+06
5,22292,4.48591e+06
5,22942,4.35882e+06
5,18381,5.4404e+06
5,22513,4.44188e+06
5,22301,4.4841e+06
5,20848,4.79662e+06
5,22780,4.38982e+06
5,22301,4.4841e+06
5,22695,4.40626e+06
5,22592,4.42635e+06
5,19445,5.14271e+06
6,21201,4.71676e+06
6,20485,4.88162e+06
6,20742,4.82114e+06
6,20863,4.79317e+06
6,21000,4.7619e+06
6,21222,4.71209e+06
6,21028,4.75556e+06
6,21100,4.73934e+06
6,21555,4.63929e+06
6,21356,4.68252e+06
6,21534,4.64382e+06
6,20834,4.79985e+06
6,21071,4.74586e+06
6,21128,4.73306e+06
6,22111,4.52264e+06
6,21766,4.59432e+06
6,20679,4.83582e+06
6,21800,4.58716e+06
6,21371,4.67924e+06
6,21336,4.68691e+06
6,21186,4.7201e+06
6,21899,4.56642e+06
6,21825,4.5819e+06
6,21732,4.60151e+06
6,22957,4.35597e+06
6,20920,4.78011e+06
6,20575,4.86027e+06
6,18797,5.32e+06
6,22277,4.48893e+06
6,22090,4.52694e+06
6,22028,4.53968e+06
6,25301,3.95241e+06
6,21787,4.58989e+06
6,20978,4.7669e+06
6,20717,4.82695e+06
6,22040,4.53721e+06
6,21941,4.55768e+06
6,20356,4.91256e+06
6,24277,4.11913e+06
6,21290,4.69704e+06
6,24133,4.1437e+06
6,21291,4.69682e+06
6,21236,4.70898e+06
6,22439,4.45653e+06
6,20805,4.80654e+06
6,21183,4.72077e+06
6,21202,4.71654e+06
6,21858,4.57498e+06
6,22449,4.45454e+06
6,22368,4.47067e+06
6,20430,4.89476e+06
6,20902,4.78423e+06
6,20126,4.9687e+06
6,20998,4.76236e+06
6,20955,4.77213e+06
6,18466,5.41536e+06
6,20838,4.79893e+06
6,20730,4.82393e+06
6,20943,4.77487e+06
6,20434,4.8938e+06
6,21190,4.71921e+06
6,19988,5.003e+06
6,20133,4.96697e+06
6,20833,4.80008e+06
6,22559,4.43282e+06
6,22060,4.53309e+06
6,21097,4.74001e+06
6,23238,4.3033e+06
6,21930,4.55996e+06
6,22229,4.49863e+06
6,21444,4.66331e+06
6,20633,4.8466e+06
6,23106,4.32788e+06
6,20376,4.90773e+06
6,21009,4.75986e+06
6,20386,4.90533e+06
6,20321,4.92102e+06
6,20077,4.98082e+06
6,20286,4.92951e+06
6,21286,4.69792e+06
6,20639,4.8452e+06
6,21587,4.63242e+06
6,19075,5.24246e+06
6,21633,4.62257e+06
6,21264,4.70278e+06
6,20478,4.88329e+06
6,21140,4.73037e+06
6,19720,5.07099e+06
6,20382,4.90629e+06
6,21823,4.58232e+06
6,19422,5.1488e+06
6,21625,4.62428e+06
6,21702,4.60787e+06
6,21230,4.71032e+06
6,20966,4.76963e+06
6,21597,4.63027e+06
6,21773,4.59284e+06
6,20656,4.84121e+06
6,21167,4.72434e+06
6,22161,4.51243e+06
7,20787,4.8107e+06
7,20363,4.91087e+06
7,20580,4.85909e+06
7,20956,4.7719e+06
7,20464,4.88663e+06
7,20703,4.83022e+06
7,20643,4.84426e+06
7,20833,4.80008e+06
7,20305,4.9249e+06
7,20973,4.76804e+06
7,20621,4.84943e+06
7,21225,4.71143e+06
7,20777,4.81301e+06
7,20816,4.804e+06
7,21058,4.74879e+06
7,20918,4.78057e+06
7,20731,4.82369e+06
7,21243,4.70743e+06
7,18247,5.48035e+06
7,21098,4.73979e+06
7,20405,4.90076e+06
7,20797,4.80839e+06
7,21032,4.75466e+06
7,21322,4.68999e+06
7,21313,4.69197e+06
7,19720,5.07099e+06
7,21203,4.71631e+06
7,20135,4.96648e+06
7,21266,4.70234e+06
7,21346,4.68472e+06
7,21605,4.62856e+06
7,21136,4.73126e+06
7,21121,4.73462e+06
7,21409,4.67093e+06
7,21143,4.7297e+06
7,21428,4.66679e+06
7,21161,4.72567e+06
7,21496,4.65203e+06
7,21424,4.66766e+06
7,21022,4.75692e+06
7,21204,4.71609e+06
7,21356,4.68252e+06
7,21077,4.74451e+06
7,21522,4.64641e+06
7,21167,4.72434e+06
7,21415,4.66962e+06
7,21659,4.61702e+06
7,18673,5.35533e+06
7,21985,4.54856e+06
7,21862,4.57415e+06
7,21342,4.6856e+06
7,21328,4.68867e+06
