num_threads,runtime_microseconds,throughput_ops_sec
1,19013,5.25956e+06
1,15044,6.64717e+06
1,16522,6.05254e+06
1,19482,5.13294e+06
1,16719,5.98122e+06
1,17753,5.63285e+06
1,16041,6.23403e+06
1,18892,5.29325e+06
1,19059,5.24686e+06
1,16492,6.06355e+06
1,17196,5.81531e+06
1,17002,5.88166e+06
1,12526,7.98339e+06
1,13098,7.63475e+06
1,11932,8.38082e+06
1,12261,8.15594e+06
1,12233,8.17461e+06
1,12245,8.1666e+06
1,12114,8.25491e+06
1,11521,8.6798e+06
1,11433,8.74661e+06
1,11570,8.64304e+06
1,12271,8.1493e+06
1,11597,8.62292e+06
1,17416,5.74185e+06
1,19845,5.03905e+06
1,19249,5.19508e+06
1,20866,4.79249e+06
1,13759,7.26797e+06
1,20083,4.97934e+06
1,17196,5.81531e+06
1,16698,5.98874e+06
1,16409,6.09422e+06
1,15769,6.34156e+06
1,16188,6.17742e+06
1,16268,6.14704e+06
1,12343,8.10176e+06
1,16115,6.2054e+06
1,15992,6.25313e+06
1,16271,6.1459e+06
1,18835,5.30926e+06
1,18209,5.49179e+06
1,18773,5.3268e+06
1,11714,8.53679e+06
1,12102,8.2631e+06
1,18677,5.35418e+06
1,17034,5.87061e+06
1,13271,7.53523e+06
1,15798,6.32992e+06
1,12152,8.2291e+06
1,17631,5.67183e+06
1,18212,5.49089e+06
1,13066,7.65345e+06
1,12216,8.18599e+06
1,11735,8.52152e+06
1,12523,7.98531e+06
1,11795,8.47817e+06
1,16116,6.20501e+06
1,13049,7.66342e+06
1,13092,7.63825e+06
1,14750,6.77966e+06
1,13174,7.59071e+06
1,12862,7.77484e+06
1,13377,7.47552e+06
1,13235,7.55572e+06
1,15809,6.32551e+06
1,13103,7.63184e+06
1,13349,7.4912e+06
1,12986,7.7006e+06
1,13163,7.59705e+06
1,12944,7.72559e+06
1,13709,7.29448e+06
1,12982,7.70297e+06
1,11659,8.57706e+06
1,13950,7.16846e+06
1,12472,8.01796e+06
1,16479,6.06833e+06
1,13394,7.46603e+06
1,13394,7.46603e+06
1,17274,5.78905e+06
1,13541,7.38498e+06
1,13499,7.40796e+06
1,13466,7.42611e+06
1,13666,7.31743e+06
1,16196,6.17436e+06
1,20734,4.823e+06
1,19415,5.15066e+06
1,18453,5.41917e+06
1,11758,8.50485e+06
1,15821,6.32071e+06
1,18398,5.43537e+06
1,15523,6.44205e+06
1,17739,5.6373e+06
1,12799,7.81311e+06
1,12254,8.1606e+06
1,12940,7.72798e+06
1,12210,8.19001e+06
1,17422,5.73987e+06
1,16871,5.92733e+06
1,12402,8.06322e+06
2,46637,2.14422e+06
2,25489,3.92326e+06
2,34776,2.87555e+06
2,47701,2.09639e+06
2,47625,2.09974e+06
2,35841,2.7901e+06
2,46870,2.13356e+06
2,34810,2.87274e+06
2,33653,2.9715e+06
2,34499,2.89863e+06
2,34468,2.90124e+06
2,32740,3.05437e+06
2,34460,2.90192e+06
2,34332,2.91273e+06
2,34272,2.91783e+06
2,47623,2.09983e+06
2,48876,2.04599e+06
2,37192,2.68875e+06
2,31054,3.2202e+06
2,32038,3.12129e+06
2,34699,2.88193e+06
2,47746,2.09442e+06
2,26318,3.79968e+06
2,33671,2.96991e+06
2,34021,2.93936e+06
2,34014,2.93997e+06
2,34691,2.88259e+06
2,32953,3.03463e+06
2,26003,3.84571e+06
2,47064,2.12477e+06
2,35490,2.8177e+06
2,35761,2.79634e+06
