num_threads,runtime_microseconds,throughput_ops_sec
1,27948,3.57807e+06
1,21422,4.6681e+06
1,27289,3.66448e+06
1,19658,5.08699e+06
1,19581,5.10699e+06
1,19726,5.06945e+06
1,20616,4.8506e+06
1,19571,5.1096e+06
1,19509,5.12584e+06
1,22311,4.48209e+06
1,27106,3.68922e+06
1,26461,3.77915e+06
1,27217,3.67417e+06
1,27287,3.66475e+06
1,28329,3.52995e+06
1,19623,5.09606e+06
1,27228,3.67269e+06
1,21856,4.5754e+06
1,21392,4.67464e+06
1,24941,4.00946e+06
1,25613,3.90427e+06
1,35116,2.8477e+06
1,27049,3.69699e+06
1,27298,3.66327e+06
1,25581,3.90915e+06
1,27866,3.5886e+06
1,27630,3.61925e+06
1,26336,3.79708e+06
1,27506,3.63557e+06
1,27334,3.65845e+06
1,30968,3.22914e+06
1,27340,3.65764e+06
1,27234,3.67188e+06
1,27340,3.65764e+06
1,27188,3.67809e+06
1,27300,3.663e+06
1,26894,3.7183e+06
1,27099,3.69017e+06
1,27164,3.68134e+06
1,27492,3.63742e+06
1,27039,3.69836e+06
1,27280,3.66569e+06
1,27395,3.6503e+06
1,27401,3.6495e+06
1,27030,3.69959e+06
1,27203,3.67607e+06
1,23064,4.33576e+06
1,27178,3.67945e+06
1,27450,3.64299e+06
1,26471,3.77772e+06
1,27294,3.66381e+06
1,27013,3.70192e+06
1,19558,5.113e+06
1,27391,3.65083e+06
1,27314,3.66113e+06
1,27301,3.66287e+06
1,27004,3.70316e+06
1,27359,3.6551e+06
1,26498,3.77387e+06
1,27368,3.6539e+06
1,27252,3.66946e+06
1,27354,3.65577e+06
1,27139,3.68473e+06
1,27126,3.6865e+06
1,27165,3.68121e+06
1,27462,3.6414e+06
1,27043,3.69781e+06
1,27450,3.64299e+06
1,27249,3.66986e+06
1,27372,3.65337e+06
1,27920,3.58166e+06
1,26961,3.70906e+06
1,27349,3.65644e+06
1,27272,3.66676e+06
1,27201,3.67634e+06
1,27164,3.68134e+06
1,27109,3.68881e+06
1,26614,3.75742e+06
1,27236,3.67161e+06
1,27065,3.69481e+06
1,26583,3.7618e+06
1,27474,3.6398e+06
1,26474,3.77729e+06
1,27446,3.64352e+06
1,27114,3.68813e+06
1,27186,3.67836e+06
1,27145,3.68392e+06
1,27380,3.6523e+06
1,27045,3.69754e+06
1,27062,3.69522e+06
1,27266,3.66757e+06
1,26988,3.70535e+06
1,27160,3.68189e+06
1,27202,3.6762e+06
1,27024,3.70041e+06
1,19682,5.08078e+06
1,27217,3.67417e+06
1,27296,3.66354e+06
1,27485,3.63835e+06
1,27288,3.66461e+06
2,26858,3.72329e+06
2,26928,3.71361e+06
2,26565,3.76435e+06
2,26744,3.73916e+06
2,26656,3.7515e+06
2,26387,3.78974e+06
2,50533,1.9789e+06
2,26480,3.77644e+06
2,26773,3.73511e+06
2,26578,3.76251e+06
2,26681,3.74799e+06
2,26511,3.77202e+06
2,26402,3.78759e+06
2,26089,3.83303e+06
2,26391,3.78917e+06
2,26388,3.7896e+06
2,26712,3.74364e+06
2,26714,3.74336e+06
2,26567,3.76407e+06
2,26520,3.77074e+06
2,26973,3.70741e+06
2,48114,2.0784e+06
2,25923,3.85758e+06
2,26715,3.74322e+06
2,26626,3.75573e+06
2,26631,3.75502e+06
2,25800,3.87597e+06
2,26307,3.80127e+06
2,25966,3.85119e+06
2,25805,3.87522e+06
2,26271,3.80648e+06
2,26282,3.80489e+06
2,26076,3.83494e+06
2,26643,3.75333e+06
2,27086,3.69194e+06
2,26709,3.74406e+06
2,25981,3.84897e+06
2,27300,3.663e+06
2,28157,3.55151e+06
2,26516,3.77131e+06
2,26631,3.75502e+06
2,51339,1.94784e+06
2,26964,3.70865e+06
2,25814,3.87387e+06
2,52042,1.92152e+06
2,26772,3.73525e+06
2,26787,3.73315e+06
2,26722,3.74223e+06
2,26721,3.74237e+06
2,26777,3.73455e+06
2,26275,3.8059e+06
2,26742,3.73944e+06
2,25800,3.87597e+06
2,29191,3.42571e+06
2,27092,3.69113e+06
2,26816,3.72912e+06
2,26289,3.80387e+06
2,26876,3.72079e+06
2,26477,3.77686e+06
2,26885,3.71955e+06
2,26904,3.71692e+06
2,26989,3.70521e+06
2,26160,3.82263e+06
2,26603,3.75897e+06
2,26258,3.80836e+06
2,26566,3.76421e+06
2,26303,3.80185e+06
2,26812,3.72967e+06
2,26385,3.79003e+06
2,26528,3.7696e+06
2,26469,3.778e+06
2,26594,3.76025e+06
2,26588,3.7611e+06
2,26103,3.83098e+06
2,26317,3.79983e+06
2,26390,3.78931e+06
2,26091,3.83274e+06
2,27060,3.69549e+06
2,26397,3.78831e+06
2,26512,3.77188e+06
2,26337,3.79694e+06
2,26464,3.77872e+06
2,26313,3.8004e+06
2,26701,3.74518e+06
2,26578,3.76251e+06
2,26784,3.73357e+06
2,26551,3.76634e+06
2,26734,3.74056e+06
2,26411,3.7863e+06
2,26803,3.73093e+06
2,27033,3.69918e+06
2,26615,3.75728e+06
2,26532,3.76903e+06
2,26685,3.74742e+06
2,26587,3.76124e+06
2,26901,3.71733e+06
2,26773,3.73511e+06
2,26831,3.72703e+06
2,26373,3.79176e+06
2,26626,3.75573e+06
3,26338,3.7968e+06
3,26425,3.7843e+06
3,26669,3.74967e+06
3,26507,3.77259e+06
3,26594,3.76025e+06
3,26574,3.76308e+06
3,25667,3.89605e+06
3,24974,4.00416e+06
3,24511,4.0798e+06
3,26379,3.79089e+06
3,41883,2.3876e+06
3,41040,2.43665e+06
3,25789,3.87762e+06
3,40958,2.44153e+06
3,26370,3.79219e+06
3,41334,2.41932e+06
3,39294,2.54492e+06
3,41976,2.38231e+06
3,41948,2.3839e+06
3,41551,2.40668e+06
3,41963,2.38305e+06
3,25041,3.99345e+06
3,24312,4.1132e+06
3,24226,4.1278e+06
3,18241,5.48216e+06
3,39744,2.5161e+06
3,41646,2.40119e+06
3,42110,2.37473e+06
3,25412,3.93515e+06
3,26920,3.71471e+06
3,25775,3.87973e+06
3,26196,3.81738e+06
3,26577,3.76265e+06
3,41486,2.41045e+06
3,40743,2.45441e+06
3,41156,2.42978e+06
3,25709,3.88969e+06
3,42497,2.35311e+06
3,41115,2.4322e+06
3,42206,2.36933e+06
3,41782,2.39338e+06
3,41904,2.38641e+06
3,41446,2.41278e+06
3,40967,2.44099e+06
3,41838,2.39017e+06
3,41640,2.40154e+06
3,39670,2.5208e+06
3,40750,2.45399e+06
3,41644,2.40131e+06
3,41528,2.40801e+06
3,42116,2.37439e+06
3,41700,2.39808e+06
3,26360,3.79363e+06
3,26390,3.78931e+06
3,41866,2.38857e+06
3,41389,2.4161e+06
3,25750,3.8835e+06
3,26127,3.82746e+06
3,26458,3.77958e+06
3,26884,3.71968e+06
3,26191,3.81811e+06
3,26799,3.73148e+06
3,26210,3.81534e+06
3,41599,2.4039e+06
3,41749,2.39527e+06
3,25186,3.97046e+06
3,41321,2.42008e+06
3,24228,4.12746e+06
3,41863,2.38874e+06
3,42211,2.36905e+06
3,39877,2.50771e+06
3,41499,2.4097e+06
3,41514,2.40883e+06
3,41482,2.41068e+06
3,26542,3.76761e+06
3,41655,2.40067e+06
3,26351,3.79492e+06
3,41432,2.41359e+06
3,26355,3.79435e+06
3,26641,3.75361e+06
3,41136,2.43096e+06
3,26354,3.79449e+06
3,26512,3.77188e+06
3,26402,3.78759e+06
3,26331,3.7978e+06
3,26475,3.77715e+06
3,24860,4.02253e+06
3,41976,2.38231e+06
3,40729,2.45525e+06
3,43078,2.32137e+06
3,41553,2.40657e+06
3,39779,2.51389e+06
3,42251,2.36681e+06
3,39992,2.5005e+06
3,40425,2.47372e+06
3,18386,5.43892e+06
3,18287,5.46837e+06
3,18330,5.45554e+06
3,18528,5.39724e+06
3,40660,2.45942e+06
4,39219,2.54978e+06
4,31935,3.13136e+06
4,34160,2.9274e+06
4,34100,2.93255e+06
4,33814,2.95735e+06
4,35410,2.82406e+06
4,40188,2.4883e+06
4,34705,2.88143e+06
4,40559,2.46554e+06
4,37038,2.69993e+06
4,34090,2.93341e+06
4,40919,2.44385e+06
4,32732,3.05511e+06
4,35418,2.82342e+06
4,34654,2.88567e+06
4,40349,2.47838e+06
4,38758,2.58011e+06
4,37677,2.65414e+06
4,36033,2.77523e+06
4,32821,3.04683e+06
4,38340,2.60824e+06
4,34305,2.91503e+06
4,39018,2.56292e+06
4,39517,2.53056e+06
4,34256,2.9192e+06
4,39491,2.53222e+06
4,34602,2.89001e+06
4,34589,2.89109e+06
4,34802,2.8734e+06
4,33691,2.96815e+06
4,36437,2.74446e+06
4,33988,2.94221e+06
4,33570,2.97885e+06
4,33160,3.01568e+06
4,32717,3.05651e+06
4,35544,2.81341e+06
4,34999,2.85722e+06
4,24922,4.01252e+06
4,39324,2.54298e+06
4,39732,2.51686e+06
4,26616,3.75714e+06
4,34599,2.89026e+06
4,33091,3.02197e+06
4,38714,2.58304e+06
4,32196,3.10598e+06
4,35057,2.8525e+06
4,38389,2.60491e+06
4,33789,2.95954e+06
4,33361,2.99751e+06
4,33246,3.00788e+06
4,36832,2.71503e+06
4,36881,2.71142e+06
4,39531,2.52966e+06
4,34838,2.87043e+06
4,39553,2.52825e+06
4,35012,2.85616e+06
4,25747,3.88395e+06
4,38469,2.5995e+06
4,34391,2.90774e+06
4,38361,2.60681e+06
4,35271,2.83519e+06
4,35445,2.82127e+06
4,40501,2.46907e+06
4,33055,3.02526e+06
4,32848,3.04433e+06
4,37333,2.6786e+06
4,33078,3.02316e+06
4,32724,3.05586e+06
4,40907,2.44457e+06
4,33630,2.97354e+06
4,39709,2.51832e+06
4,37887,2.63943e+06
4,34693,2.88243e+06
4,34415,2.90571e+06
4,38074,2.62646e+06
4,33512,2.98401e+06
4,33353,2.99823e+06
4,38105,2.62433e+06
4,32919,3.03776e+06
4,34256,2.9192e+06
4,32310,3.09502e+06
4,37157,2.69128e+06
4,39597,2.52544e+06
4,34602,2.89001e+06
4,38415,2.60315e+06
4,36402,2.7471e+06
4,33825,2.95639e+06
4,34405,2.90655e+06
4,39641,2.52264e+06
4,34445,2.90318e+06
4,39291,2.54511e+06
4,38197,2.61801e+06
4,35733,2.79853e+06
4,34813,2.87249e+06
4,35040,2.85388e+06
4,37073,2.69738e+06
4,35709,2.80041e+06
4,37200,2.68817e+06
4,40134,2.49165e+06
4,33281,3.00472e+06
5,36241,2.75931e+06
5,36878,2.71164e+06
5,32933,3.03647e+06
5,36121,2.76847e+06
5,37748,2.64915e+06
5,35903,2.78528e+06
5,35786,2.79439e+06
5,32554,3.07182e+06
5,36467,2.74221e+06
5,36793,2.71791e+06
5,31822,3.14248e+06
5,37088,2.69629e+06
5,35812,2.79236e+06
5,35230,2.83849e+06
5,36827,2.7154e+06
5,31535,3.17108e+06
5,36490,2.74048e+06
5,31421,3.18258e+06
5,37005,2.70234e+06
5,37435,2.6713e+06
5,35587,2.81001e+06
5,35596,2.8093e+06
5,36105,2.7697e+06
5,37129,2.69331e+06
5,36251,2.75854e+06
5,36087,2.77108e+06
5,36111,2.76924e+06
5,31709,3.15368e+06
5,39710,2.51826e+06
5,36016,2.77654e+06
5,35257,2.83632e+06
5,35402,2.8247e+06
5,35495,2.8173e+06
5,36854,2.71341e+06
5,37516,2.66553e+06
5,35939,2.78249e+06
5,37439,2.67101e+06
5,31446,3.18005e+06
5,30960,3.22997e+06
5,31379,3.18684e+06
5,36793,2.71791e+06
5,35588,2.80994e+06
5,35803,2.79306e+06
5,35173,2.84309e+06
5,36509,2.73905e+06
5,36242,2.75923e+06
5,36200,2.76243e+06
5,35702,2.80096e+06
5,36620,2.73075e+06
5,37552,2.66297e+06
5,31584,3.16616e+06
5,36946,2.70665e+06
5,36194,2.76289e+06
5,37475,2.66845e+06
5,31181,3.20708e+06
5,31935,3.13136e+06
5,31859,3.13883e+06
5,31200,3.20513e+06
5,31929,3.13195e+06
5,35570,2.81136e+06
5,37620,2.65816e+06
5,31078,3.21771e+06
5,36238,2.75953e+06
5,35441,2.82159e+06
5,37529,2.66461e+06
5,36478,2.74138e+06
5,35407,2.8243e+06
5,36481,2.74115e+06
5,32898,3.0397e+06
5,36930,2.70783e+06
5,31353,3.18949e+06
5,37014,2.70168e+06
5,32235,3.10222e+06
5,31654,3.15916e+06
5,31859,3.13883e+06
5,31452,3.17945e+06
5,36921,2.70849e+06
5,36750,2.72109e+06
5,37236,2.68557e+06
5,36016,2.77654e+06
5,36174,2.76442e+06
5,36953,2.70614e+06
5,35505,2.8165e+06
5,36320,2.7533e+06
5,36192,2.76304e+06
5,36078,2.77177e+06
5,36496,2.74003e+06
5,31162,3.20904e+06
5,35918,2.78412e+06
5,36125,2.76817e+06
5,31102,3.21523e+06
5,32658,3.06204e+06
5,35473,2.81905e+06
5,36734,2.72227e+06
5,37377,2.67544e+06
5,31155,3.20976e+06
5,36131,2.76771e+06
5,31262,3.19877e+06
5,31205,3.20461e+06
5,36890,2.71076e+06
6,36767,2.71983e+06
6,35881,2.78699e+06
6,35925,2.78358e+06
6,36497,2.73995e+06
6,35158,2.8443e+06
6,38254,2.61411e+06
6,36208,2.76182e+06
6,36874,2.71194e+06
6,37143,2.6923e+06
6,34759,2.87695e+06
6,37800,2.6455e+06
6,34137,2.92937e+06
6,35648,2.80521e+06
6,38381,2.60546e+06
6,37633,2.65724e+06
6,35656,2.80458e+06
6,35001,2.85706e+06
6,34326,2.91324e+06
6,35166,2.84366e+06
6,35929,2.78327e+06
6,37069,2.69767e+06
6,35355,2.82845e+06
6,35735,2.79838e+06
6,36499,2.7398e+06
6,36234,2.75984e+06
6,38655,2.58699e+06
6,38403,2.60396e+06
6,34597,2.89042e+06
6,37110,2.69469e+06
6,35711,2.80026e+06
6,36131,2.76771e+06
6,35822,2.79158e+06
6,36960,2.70563e+06
6,34659,2.88525e+06
6,36914,2.709e+06
6,34476,2.90057e+06
6,36389,2.74808e+06
6,36305,2.75444e+06
6,36858,2.71312e+06
6,36286,2.75588e+06
6,34522,2.8967e+06
6,34736,2.87886e+06
6,34532,2.89586e+06
6,34815,2.87233e+06
6,36853,2.71348e+06
6,37313,2.68003e+06
6,35801,2.79322e+06
6,37598,2.65972e+06
6,35594,2.80946e+06
6,34786,2.87472e+06
6,36456,2.74303e+06
6,37355,2.67702e+06
6,36912,2.70915e+06
6,35875,2.78746e+06
6,39042,2.56134e+06
6,37060,2.69833e+06
6,36625,2.73038e+06
6,35760,2.79642e+06
6,35997,2.77801e+06
6,34171,2.92646e+06
6,36596,2.73254e+06
6,36410,2.7465e+06
6,36199,2.76251e+06
6,34858,2.86878e+06
6,35942,2.78226e+06
6,35901,2.78544e+06
6,36536,2.73703e+06
6,35105,2.8486e+06
6,36210,2.76167e+06
6,36213,2.76144e+06
6,37283,2.68219e+06
6,35014,2.856e+06
6,34856,2.86895e+06
6,36246,2.75893e+06
6,36807,2.71687e+06
6,37457,2.66973e+06
6,37755,2.64866e+06
6,37279,2.68248e+06
6,36088,2.771e+06
6,34619,2.88859e+06
6,36208,2.76182e+06
6,34335,2.91248e+06
6,37034,2.70022e+06
6,37701,2.65245e+06
6,36023,2.776e+06
6,38738,2.58144e+06
6,36950,2.70636e+06
6,36027,2.7757e+06
6,36868,2.71238e+06
6,37085,2.69651e+06
6,36945,2.70673e+06
6,36857,2.71319e+06
6,35617,2.80765e+06
6,34686,2.88301e+06
6,35617,2.80765e+06
6,36497,2.73995e+06
6,34675,2.88392e+06
6,34057,2.93625e+06
6,36661,2.72769e+06
6,35789,2.79415e+06
7,38961,2.56667e+06
7,38917,2.56957e+06
7,40493,2.46956e+06
7,38652,2.58719e+06
7,39405,2.53775e+06
7,38153,2.62103e+06
7,37779,2.64697e+06
7,37073,2.69738e+06
7,36793,2.71791e+06
7,38007,2.63109e+06
7,37734,2.65013e+06
7,40081,2.49495e+06
7,39610,2.52461e+06
7,39117,2.55643e+06
7,40538,2.46682e+06
7,38253,2.61417e+06
7,38912,2.5699e+06
7,39660,2.52143e+06
7,37546,2.6634e+06
7,37297,2.68118e+06
7,39447,2.53505e+06
7,37967,2.63387e+06
7,40207,2.48713e+06
7,37741,2.64964e+06
7,38822,2.57586e+06
7,37158,2.69121e+06
7,39494,2.53203e+06
7,39422,2.53665e+06
7,37575,2.66134e+06
7,38863,2.57314e+06
7,37885,2.63957e+06
7,37218,2.68687e+06
7,36693,2.72532e+06
7,38263,2.61349e+06
7,38304,2.61069e+06
7,38598,2.59081e+06
7,39331,2.54252e+06
7,37581,2.66092e+06
7,36458,2.74288e+06
7,37274,2.68284e+06
7,38106,2.62426e+06
7,39542,2.52896e+06
7,39150,2.55428e+06
7,38550,2.59403e+06
7,37263,2.68363e+06
7,39523,2.53017e+06
7,40849,2.44804e+06
7,36971,2.70482e+06
7,39723,2.51743e+06
7,38398,2.6043e+06
7,39155,2.55395e+06
7,39396,2.53833e+06
7,38507,2.59693e+06
7,39122,2.55611e+06
7,39606,2.52487e+06
7,36633,2.72978e+06
7,37873,2.6404e+06
7,39103,2.55735e+06
7,38693,2.58445e+06
7,40345,2.47862e+06
7,38794,2.57772e+06
7,38047,2.62833e+06
7,38597,2.59087e+06
7,36701,2.72472e+06
7,40171,2.48936e+06
7,38914,2.56977e+06
7,39615,2.5243e+06
7,40215,2.48663e+06
7,40897,2.44517e+06
7,38003,2.63137e+06
7,38570,2.59269e+06
7,37703,2.65231e+06
7,39004,2.56384e+06
7,38548,2.59417e+06
7,39957,2.50269e+06
7,37042,2.69964e+06
7,38552,2.5939e+06
7,39102,2.55741e+06
7,37480,2.66809e+06
7,39243,2.54823e+06
7,37133,2.69302e+06
7,39049,2.56089e+06
7,37854,2.64173e+06
7,39530,2.52972e+06
7,39717,2.51781e+06
7,37295,2.68132e+06
7,37044,2.69949e+06
7,37987,2.63248e+06
7,39068,2.55964e+06
7,39879,2.50759e+06
7,38694,2.58438e+06
7,38068,2.62688e+06
7,37291,2.68161e+06
7,39939,2.50382e+06
7,38724,2.58238e+06
7,39140,2.55493e+06
7,36898,2.71017e+06
7,38382,2.60539e+06
7,39590,2.52589e+06
7,37585,2.66064e+06
8,36858,2.71312e+06
8,36800,2.71739e+06
8,37655,2.65569e+06
8,40700,2.457e+06
8,39533,2.52953e+06
8,38574,2.59242e+06
8,38065,2.62709e+06
8,41104,2.43285e+06
8,39355,2.54097e+06
8,39965,2.50219e+06
8,39006,2.56371e+06
8,37011,2.7019e+06
8,38859,2.57341e+06
8,40903,2.44481e+06
8,39543,2.52889e+06
8,40117,2.49271e+06
8,38715,2.58298e+06
8,38680,2.58532e+06
8,37785,2.64655e+06
8,40962,2.44129e+06
8,40496,2.46938e+06
8,39946,2.50338e+06
8,37301,2.68089e+06
8,37966,2.63394e+06
8,39008,2.56358e+06
8,39340,2.54194e+06
8,40432,2.47329e+06
8,37886,2.6395e+06
8,38588,2.59148e+06
8,38209,2.61718e+06
8,40304,2.48114e+06
8,38774,2.57905e+06
8,36732,2.72242e+06
8,39151,2.55421e+06
8,37185,2.68926e+06
8,36181,2.76388e+06
8,38404,2.6039e+06
8,38502,2.59727e+06
