num_threads,runtime_microseconds,throughput_ops_sec
1,3541,2.82406e+07
1,3196,3.12891e+07
1,3309,3.02206e+07
1,6981,1.43246e+07
1,3380,2.95858e+07
1,3449,2.89939e+07
1,9104,1.09842e+07
1,3394,2.94638e+07
1,9155,1.0923e+07
1,9118,1.09673e+07
1,9223,1.08425e+07
1,8703,1.14903e+07
1,9056,1.10424e+07
1,8934,1.11932e+07
1,3415,2.92826e+07
1,8664,1.1542e+07
1,9087,1.10047e+07
1,3398,2.94291e+07
1,3409,2.93341e+07
1,3270,3.0581e+07
1,3412,2.93083e+07
1,3396,2.94464e+07
1,3405,2.93686e+07
1,3270,3.0581e+07
1,3407,2.93513e+07
1,3408,2.93427e+07
1,3418,2.92569e+07
1,3275,3.05344e+07
1,3283,3.04599e+07
1,8186,1.2216e+07
1,9382,1.06587e+07
1,8673,1.153e+07
1,9066,1.10302e+07
1,8993,1.11198e+07
1,9139,1.09421e+07
1,3414,2.92912e+07
1,8875,1.12676e+07
1,3378,2.96033e+07
1,3358,2.97796e+07
1,3367,2.97e+07
1,9301,1.07515e+07
1,3360,2.97619e+07
1,3348,2.98686e+07
1,3350,2.98507e+07
1,3350,2.98507e+07
1,3392,2.94811e+07
1,3342,2.99222e+07
1,3349,2.98597e+07
1,3391,2.94898e+07
1,3357,2.97885e+07
1,3370,2.96736e+07
1,3377,2.96121e+07
1,3370,2.96736e+07
1,10838,9.22679e+06
1,10813,9.24813e+06
1,5154,1.94024e+07
1,10563,9.46701e+06
1,7129,1.40272e+07
1,3384,2.95508e+07
1,9078,1.10156e+07
1,7198,1.38927e+07
1,9516,1.05086e+07
1,4326,2.3116e+07
1,3421,2.92312e+07
1,3371,2.96648e+07
1,3359,2.97708e+07
1,3366,2.97089e+07
1,3403,2.93858e+07
1,3381,2.9577e+07
1,3414,2.92912e+07
1,3406,2.936e+07
1,12531,7.98021e+06
1,11716,8.53534e+06
1,10352,9.65997e+06
1,6857,1.45836e+07
1,3372,2.9656e+07
1,7425,1.3468e+07
1,6716,1.48898e+07
1,3831,2.61028e+07
1,3341,2.99312e+07
1,6831,1.46391e+07
1,4305,2.32288e+07
1,7427,1.34644e+07
1,3269,3.05904e+07
1,6821,1.46606e+07
1,6568,1.52253e+07
1,3262,3.0656e+07
1,6222,1.6072e+07
1,7081,1.41223e+07
1,9087,1.10047e+07
1,6842,1.46156e+07
1,5626,1.77746e+07
1,7403,1.3508e+07
1,4595,2.17628e+07
1,3476,2.87687e+07
1,5726,1.74642e+07
1,3283,3.04599e+07
1,3277,3.05157e+07
1,3289,3.04044e+07
1,3339,2.99491e+07
2,27142,3.68433e+06
2,28443,3.5158e+06
2,23949,4.17554e+06
2,17040,5.86854e+06
2,29010,3.44709e+06
2,27133,3.68555e+06
2,27664,3.61481e+06
2,28420,3.51865e+06
2,29136,3.43218e+06
2,12372,8.08277e+06
2,28288,3.53507e+06
2,27070,3.69413e+06
2,27502,3.6361e+06
2,26926,3.71388e+06
2,20269,4.93364e+06
2,19779,5.05587e+06
2,12352,8.09585e+06
2,26933,3.71292e+06
2,27428,3.64591e+06
2,26428,3.78387e+06
2,28708,3.48335e+06
2,28407,3.52026e+06
2,23164,4.31704e+06
2,29027,3.44507e+06
2,29233,3.42079e+06
2,16240,6.15764e+06
2,12131,8.24334e+06
2,14007,7.13929e+06
2,14035,7.12504e+06
2,12051,8.29807e+06
2,12310,8.12348e+06
2,12479,8.01346e+06
2,29596,3.37883e+06
2,28925,3.45722e+06
2,29352,3.40692e+06
2,28552,3.50238e+06
2,29148,3.43077e+06
2,29241,3.41986e+06
2,28598,3.49675e+06
2,28612,3.49504e+06
2,29320,3.41064e+06
2,24056,4.15697e+06
2,28983,3.4503e+06
2,27520,3.63372e+06
2,28960,3.45304e+06
2,28573,3.49981e+06
2,30099,3.32237e+06
2,30158,3.31587e+06
2,11848,8.44024e+06
2,13218,7.56544e+06
2,8258,1.21095e+07
2,9804,1.01999e+07
2,7181,1.39256e+07
2,13927,7.1803e+06
2,3865,2.58732e+07
2,25841,3.86982e+06
2,28413,3.51952e+06
2,6874,1.45476e+07
2,23415,4.27077e+06
2,28257,3.53895e+06
2,9079,1.10144e+07
2,8588,1.16442e+07
2,10576,9.45537e+06
2,12410,8.05802e+06
2,9472,1.05574e+07
2,9336,1.07112e+07
2,5864,1.70532e+07
2,5395,1.85357e+07
2,6638,1.50648e+07
2,4762,2.09996e+07
2,9399,1.06394e+07
2,5497,1.81917e+07
2,10801,9.2584e+06
2,9005,1.11049e+07
2,8389,1.19204e+07
2,9636,1.03778e+07
2,9203,1.0866e+07
2,4109,2.43368e+07
2,4088,2.44618e+07
2,7917,1.2631e+07
2,8167,1.22444e+07
2,12375,8.08081e+06
2,5287,1.89143e+07
2,8454,1.18287e+07
2,4537,2.2041e+07
2,7319,1.36631e+07
2,11539,8.66626e+06
2,4533,2.20604e+07
2,9769,1.02365e+07
2,11738,8.51934e+06
2,9028,1.10767e+07
2,7490,1.33511e+07
2,8936,1.11907e+07
2,7088,1.41084e+07
2,8901,1.12347e+07
2,8973,1.11445e+07
2,5441,1.8379e+07
2,13264,7.5392e+06
2,7074,1.41363e+07
2,7149,1.3988e+07
3,12783,7.82289e+06
3,8338,1.19933e+07
3,5211,1.91902e+07
3,10669,9.37295e+06
3,20691,4.83302e+06
3,21834,4.58001e+06
3,20741,4.82137e+06
3,20656,4.84121e+06
3,21027,4.75579e+06
3,20809,4.80561e+06
3,19516,5.124e+06
3,18248,5.48005e+06
3,13291,7.52389e+06
3,19091,5.23807e+06
3,5262,1.90042e+07
3,5470,1.82815e+07
3,11456,8.72905e+06
3,8316,1.2025e+07
3,20628,4.84778e+06
3,5217,1.91681e+07
3,21153,4.72746e+06
3,20302,4.92562e+06
3,20707,4.82928e+06
3,14837,6.73991e+06
3,10383,9.63113e+06
3,10014,9.98602e+06
3,10419,9.59785e+06
3,10177,9.82608e+06
3,7816,1.27943e+07
3,18339,5.45286e+06
3,10253,9.75324e+06
3,18535,5.3952e+06
3,21318,4.69087e+06
3,20178,4.95589e+06
3,19818,5.04592e+06
3,19066,5.24494e+06
3,20580,4.85909e+06
3,20428,4.89524e+06
3,10351,9.6609e+06
3,9070,1.10254e+07
3,10178,9.82511e+06
3,7397,1.3519e+07
3,10370,9.6432e+06
3,9883,1.01184e+07
3,21206,4.71565e+06
3,21159,4.72612e+06
3,19495,5.12952e+06
3,12542,7.97321e+06
3,13228,7.55972e+06
3,20860,4.79386e+06
3,10290,9.71817e+06
3,10399,9.61631e+06
3,9336,1.07112e+07
3,5360,1.86567e+07
3,10471,9.55019e+06
3,13265,7.53864e+06
3,8969,1.11495e+07
3,19702,5.07563e+06
3,17520,5.70776e+06
3,20046,4.98853e+06
3,21044,4.75195e+06
3,8791,1.13753e+07
3,7885,1.26823e+07
3,9425,1.06101e+07
3,12241,8.16927e+06
3,22651,4.41482e+06
3,22672,4.41073e+06
3,21357,4.68231e+06
3,11574,8.64006e+06
3,18882,5.29605e+06
3,22484,4.44761e+06
3,21531,4.64447e+06
3,22711,4.40315e+06
3,17487,5.71853e+06
3,18772,5.32708e+06
3,20208,4.94854e+06
3,20601,4.85413e+06
3,21686,4.61127e+06
3,11954,8.3654e+06
3,21255,4.70478e+06
3,11992,8.33889e+06
3,11735,8.52152e+06
3,22477,4.44899e+06
3,11528,8.67453e+06
3,19918,5.02058e+06
3,18849,5.30532e+06
3,19035,5.25348e+06
3,9346,1.06998e+07
3,19896,5.02614e+06
3,18505,5.40394e+06
3,20632,4.84684e+06
3,18824,5.31237e+06
3,9447,1.05854e+07
3,11390,8.77963e+06
3,19399,5.1549e+06
3,22417,4.4609e+06
3,20774,4.81371e+06
3,18481,5.41096e+06
3,20775,4.81348e+06
3,18490,5.40833e+06
4,19951,5.01228e+06
4,16666,6.00024e+06
4,15826,6.31872e+06
4,16734,5.97586e+06
4,16997,5.88339e+06
4,11084,9.02201e+06
4,20621,4.84943e+06
4,14924,6.70062e+06
4,20842,4.798e+06
4,21794,4.58842e+06
4,15800,6.32911e+06
4,16658,6.00312e+06
4,17029,5.87234e+06
4,20687,4.83395e+06
4,21029,4.75534e+06
4,17031,5.87165e+06
4,17769,5.62778e+06
4,16612,6.01974e+06
4,17194,5.81598e+06
4,20494,4.87948e+06
4,20486,4.88138e+06
4,20893,4.78629e+06
4,21248,4.70633e+06
4,21249,4.7061e+06
4,12990,7.69823e+06
4,15717,6.36254e+06
4,21222,4.71209e+06
4,20718,4.82672e+06
4,15897,6.2905e+06
4,22262,4.49196e+06
4,17080,5.8548e+06
4,11544,8.66251e+06
4,11292,8.85583e+06
4,20817,4.80377e+06
4,16070,6.22278e+06
4,20568,4.86192e+06
4,17137,5.83533e+06
4,20693,4.83255e+06
4,21275,4.70035e+06
4,18202,5.4939e+06
4,21540,4.64253e+06
4,17061,5.86132e+06
4,16798,5.95309e+06
4,17946,5.57227e+06
4,17121,5.84078e+06
4,20844,4.79754e+06
4,17353,5.76269e+06
4,16619,6.01721e+06
4,16993,5.88478e+06
4,16945,5.90145e+06
4,20092,4.97711e+06
4,18003,5.55463e+06
4,20123,4.96944e+06
4,14891,6.71547e+06
4,20742,4.82114e+06
4,20069,4.98281e+06
4,20169,4.9581e+06
4,11254,8.88573e+06
4,16484,6.06649e+06
4,17507,5.712e+06
4,16668,5.99952e+06
4,20358,4.91207e+06
4,20244,4.93974e+06
4,21247,4.70655e+06
4,18060,5.5371e+06
4,21393,4.67443e+06
4,11076,9.02853e+06
4,11412,8.76271e+06
4,11141,8.97585e+06
4,10389,9.62557e+06
4,11514,8.68508e+06
4,16053,6.22937e+06
4,16147,6.1931e+06
4,11018,9.07606e+06
4,11162,8.95897e+06
4,15117,6.61507e+06
4,11760,8.5034e+06
4,11105,9.00495e+06
4,20341,4.91618e+06
4,21595,4.6307e+06
4,17899,5.5869e+06
4,20586,4.85767e+06
4,20508,4.87615e+06
4,21667,4.61531e+06
4,22269,4.49055e+06
4,16943,5.90214e+06
4,22244,4.49559e+06
4,22074,4.53022e+06
4,20612,4.85154e+06
4,20913,4.78171e+06
4,20108,4.97315e+06
4,17252,5.79643e+06
4,21455,4.66092e+06
4,20421,4.89692e+06
4,15989,6.2543e+06
4,21311,4.69241e+06
4,16355,6.11434e+06
4,16262,6.14931e+06
4,19897,5.02588e+06
4,16406,6.09533e+06
5,17225,5.80552e+06
5,19419,5.1496e+06
5,20399,4.9022e+06
5,15239,6.56211e+06
5,13184,7.58495e+06
5,14930,6.69792e+06
5,14591,6.85354e+06
5,15148,6.60153e+06
5,19113,5.23204e+06
5,17364,5.75904e+06
5,19153,5.22111e+06
5,15524,6.44164e+06
5,20567,4.86216e+06
5,21386,4.67596e+06
5,13541,7.38498e+06
5,15507,6.4487e+06
5,14218,7.03334e+06
5,15843,6.31194e+06
5,15901,6.28891e+06
5,16363,6.11135e+06
5,20140,4.96524e+06
5,19221,5.20264e+06
5,19336,5.1717e+06
5,20434,4.8938e+06
5,16780,5.95948e+06
5,19789,5.05331e+06
5,19700,5.07614e+06
5,19218,5.20346e+06
5,19063,5.24576e+06
5,20784,4.81139e+06
5,19293,5.18323e+06
5,17058,5.86235e+06
5,21220,4.71254e+06
5,19701,5.07588e+06
5,19003,5.26233e+06
5,21345,4.68494e+06
5,19364,5.16422e+06
5,20026,4.99351e+06
5,15887,6.29445e+06
5,15391,6.4973e+06
5,19310,5.17866e+06
5,20218,4.94609e+06
5,20385,4.90557e+06
5,21287,4.6977e+06
5,19612,5.09892e+06
5,20666,4.83887e+06
5,19997,5.00075e+06
5,18939,5.28011e+06
5,19447,5.14218e+06
5,19108,5.23341e+06
5,19484,5.13242e+06
5,19653,5.08828e+06
5,19544,5.11666e+06
5,19763,5.05996e+06
5,19597,5.10282e+06
5,13576,7.36594e+06
5,19455,5.14007e+06
5,14621,6.83948e+06
5,14961,6.68405e+06
5,19592,5.10412e+06
5,19793,5.05229e+06
5,20406,4.90052e+06
5,20640,4.84496e+06
5,20820,4.80307e+06
5,19473,5.13532e+06
5,19255,5.19346e+06
5,15138,6.60589e+06
5,19622,5.09632e+06
5,19612,5.09892e+06
5,18041,5.54293e+06
5,20772,4.81417e+06
5,18761,5.33021e+06
5,20603,4.85366e+06
5,19271,5.18914e+06
5,19081,5.24082e+06
5,20231,4.94291e+06
5,19344,5.16956e+06
5,20997,4.76259e+06
5,17849,5.60255e+06
5,20417,4.89788e+06
5,20181,4.95516e+06
5,21742,4.59939e+06
5,16053,6.22937e+06
5,18881,5.29633e+06
5,18613,5.37259e+06
5,17448,5.73132e+06
5,17556,5.69606e+06
5,18724,5.34074e+06
5,19177,5.21458e+06
5,18652,5.36136e+06
5,20044,4.98902e+06
5,20164,4.95933e+06
5,19932,5.01706e+06
5,19721,5.07074e+06
5,20099,4.97537e+06
5,20221,4.94535e+06
5,20448,4.89045e+06
5,19454,5.14033e+06
5,14859,6.72993e+06
5,15302,6.53509e+06
6,18427,5.42682e+06
6,19454,5.14033e+06
6,19247,5.19561e+06
6,20502,4.87757e+06
6,18564,5.38677e+06
6,18689,5.35074e+06
6,18541,5.39345e+06
6,18264,5.47525e+06
6,19154,5.22084e+06
6,18881,5.29633e+06
6,19915,5.02134e+06
6,19255,5.19346e+06
6,20293,4.92781e+06
6,20047,4.98828e+06
6,19533,5.11954e+06
6,19994,5.0015e+06
6,19100,5.2356e+06
6,19519,5.12321e+06
6,19723,5.07022e+06
6,19392,5.15677e+06
6,20791,4.80977e+06
6,19555,5.11378e+06
6,20228,4.94364e+06
6,19605,5.10074e+06
6,19802,5.04999e+06
6,19880,5.03018e+06
6,19945,5.01379e+06
6,19176,5.21485e+06
6,19432,5.14615e+06
6,20038,4.99052e+06
6,20380,4.90677e+06
6,19629,5.0945e+06
6,19802,5.04999e+06
6,19572,5.10934e+06
6,21261,4.70345e+06
6,19653,5.08828e+06
6,19470,5.13611e+06
6,19343,5.16983e+06
6,18968,5.27204e+06
6,18856,5.30335e+06
6,19630,5.09424e+06
6,19759,5.06098e+06
6,18888,5.29437e+06
6,19902,5.02462e+06
6,20132,4.96722e+06
6,18767,5.3285e+06
6,19126,5.22848e+06
6,20662,4.8398e+06
6,17184,5.81937e+06
6,18400,5.43478e+06
6,19130,5.22739e+06
6,18847,5.30588e+06
6,18801,5.31887e+06
6,19468,5.13663e+06
6,18964,5.27315e+06
6,18660,5.35906e+06
6,18707,5.34559e+06
6,18550,5.39084e+06
6,19385,5.15863e+06
6,19500,5.12821e+06
6,19775,5.05689e+06
6,19573,5.10908e+06
6,19641,5.09139e+06
6,21091,4.74136e+06
6,19673,5.08311e+06
6,20413,4.89884e+06
6,19201,5.20806e+06
6,20223,4.94486e+06
6,19632,5.09372e+06
6,19908,5.02311e+06
6,20107,4.97339e+06
6,19682,5.08078e+06
6,20325,4.92005e+06
6,19928,5.01807e+06
6,19632,5.09372e+06
6,18307,5.46239e+06
6,19898,5.02563e+06
6,19526,5.12138e+06
6,20413,4.89884e+06
6,19619,5.0971e+06
6,20589,4.85696e+06
6,19105,5.23423e+06
6,19321,5.17572e+06
6,19516,5.124e+06
6,20385,4.90557e+06
6,20526,4.87187e+06
6,17633,5.67118e+06
6,18649,5.36222e+06
6,19542,5.11718e+06
6,19090,5.23834e+06
6,19179,5.21404e+06
6,20334,4.91787e+06
6,19349,5.16823e+06
6,19604,5.101e+06
6,19230,5.20021e+06
6,19612,5.09892e+06
6,19908,5.02311e+06
6,20558,4.86429e+06
6,19387,5.1581e+06
6,19653,5.08828e+06
7,18943,5.27899e+06
7,19099,5.23588e+06
7,19013,5.25956e+06
7,19347,5.16876e+06
7,19932,5.01706e+06
7,20496,4.879e+06
7,19118,5.23067e+06
7,18878,5.29717e+06
7,19187,5.21186e+06
7,18920,5.28541e+06
7,19652,5.08854e+06
7,19425,5.14801e+06
7,19717,5.07177e+06
7,18374,5.44247e+06
7,19786,5.05408e+06
7,20535,4.86973e+06
7,18803,5.3183e+06
7,19496,5.12926e+06
7,19044,5.251e+06
7,19362,5.16476e+06
7,18602,5.37577e+06
7,19058,5.24714e+06
7,19352,5.16742e+06
7,18251,5.47915e+06
7,18806,5.31745e+06
7,18969,5.27176e+06
7,20402,4.90148e+06
7,19968,5.00801e+06
7,18547,5.39171e+06
7,19135,5.22603e+06
7,18788,5.32255e+06
7,18601,5.37606e+06
7,19443,5.14324e+06
7,18960,5.27426e+06
7,19380,5.15996e+06
7,19015,5.25901e+06
7,17413,5.74284e+06
7,18976,5.26981e+06
7,20212,4.94756e+06
7,18874,5.29829e+06
7,18929,5.2829e+06
7,18881,5.29633e+06
7,19363,5.16449e+06
7,18732,5.33846e+06
7,18504,5.40424e+06
7,18806,5.31745e+06
7,18208,5.49209e+06
7,18997,5.26399e+06
7,18886,5.29493e+06
7,19608,5.09996e+06
7,18996,5.26427e+06
7,19823,5.04465e+06
7,18861,5.30195e+06
7,18904,5.28989e+06
7,21089,4.74181e+06
7,19668,5.0844e+06
7,18726,5.34017e+06
7,20336,4.91739e+06
7,20519,4.87353e+06
7,19708,5.07408e+06
7,19714,5.07254e+06
7,19573,5.10908e+06
7,19425,5.14801e+06
7,19651,5.0888e+06
7,19414,5.15092e+06
7,19083,5.24027e+06
7,19371,5.16236e+06
7,19860,5.03525e+06
7,19330,5.17331e+06
7,18762,5.32992e+06
7,19341,5.17036e+06
7,19706,5.0746e+06
7,18965,5.27287e+06
7,18710,5.34474e+06
7,19139,5.22493e+06
7,19364,5.16422e+06
7,18741,5.33589e+06
7,19135,5.22603e+06
7,18401,5.43449e+06
7,17937,5.57507e+06
7,19754,5.06227e+06
7,17750,5.6338e+06
7,18129,5.51602e+06
7,18776,5.32595e+06
7,18407,5.43272e+06
7,21288,4.69748e+06
7,18375,5.44218e+06
7,18596,5.3775e+06
7,17915,5.58191e+06
7,18035,5.54477e+06
7,18680,5.35332e+06
7,19060,5.24659e+06
7,19479,5.13373e+06
7,18640,5.36481e+06
7,20012,4.997e+06
7,18601,5.37606e+06
7,19249,5.19508e+06
7,18699,5.34788e+06
7,18543,5.39287e+06
7,18951,5.27677e+06
8,18408,5.43242e+06
8,18139,5.51298e+06
8,18497,5.40628e+06
8,18463,5.41624e+06
8,18594,5.37808e+06
8,19142,5.22411e+06
8,19137,5.22548e+06
8,19181,5.21349e+06
8,19841,5.04007e+06
8,18646,5.36308e+06
8,18651,5.36164e+06
8,18485,5.40979e+06
8,18811,5.31604e+06
8,18543,5.39287e+06
8,20434,4.8938e+06
8,18587,5.3801e+06
8,18360,5.44662e+06
8,17943,5.5732e+06
8,19293,5.18323e+06
8,18881,5.29633e+06
8,18832,5.31011e+06
8,18962,5.27371e+06
8,17679,5.65643e+06
8,19066,5.24494e+06
8,19656,5.08751e+06
8,18528,5.39724e+06
8,19926,5.01857e+06
8,18639,5.36509e+06
8,18660,5.35906e+06
8,18765,5.32907e+06
8,18393,5.43685e+06
8,18728,5.3396e+06
8,19365,5.16396e+06
8,19052,5.24879e+06
8,19488,5.13136e+06
8,18868,5.29998e+06
8,19089,5.23862e+06
8,19264,5.19103e+06
8,19712,5.07305e+06
8,18247,5.48035e+06
8,19310,5.17866e+06
8,18414,5.43065e+06
8,18572,5.38445e+06
8,18270,5.47345e+06
8,18343,5.45167e+06
8,18516,5.40073e+06
8,19287,5.18484e+06
8,18258,5.47705e+06
8,17947,5.57196e+06
8,18779,5.3251e+06
8,18963,5.27343e+06
8,18747,5.33419e+06
8,18846,5.30617e+06
8,18549,5.39113e+06
8,19572,5.10934e+06
8,19254,5.19373e+06
8,19437,5.14483e+06
8,19267,5.19022e+06
8,17674,5.65803e+06
8,19206,5.20671e+06
8,19679,5.08156e+06
8,17580,5.68828e+06
8,18212,5.49089e+06
8,18297,5.46538e+06
8,19267,5.19022e+06
8,18104,5.52364e+06
8,18870,5.29942e+06
8,18427,5.42682e+06
8,18519,5.39986e+06
8,18694,5.34931e+06
8,18570,5.38503e+06
8,19422,5.1488e+06
8,19044,5.251e+06
8,18452,5.41947e+06
8,20257,4.93657e+06
8,19310,5.17866e+06
8,20408,4.90004e+06
8,19021,5.25735e+06
8,19854,5.03677e+06
8,18543,5.39287e+06
8,19174,5.2154e+06
8,19615,5.09814e+06
8,19037,5.25293e+06
8,18603,5.37548e+06
8,20486,4.88138e+06
8,18410,5.43183e+06
8,18233,5.48456e+06
8,20144,4.96426e+06
8,20209,4.94829e+06
8,20717,4.82695e+06
8,19896,5.02614e+06
8,18205,5.493e+06
8,18808,5.31689e+06
8,19044,5.251e+06
8,18767,5.3285e+06
8,18758,5.33106e+06
8,18996,5.26427e+06
8,19124,5.22903e+06
8,19408,5.15251e+06
8,19113,5.23204e+06
9,19363,5.16449e+06
9,19300,5.18135e+06
9,18269,5.47375e+06
9,18710,5.34474e+06
9,18186,5.49874e+06
9,18423,5.428e+06
9,19108,5.23341e+06
9,17746,5.63507e+06
9,16545,6.04412e+06
9,18491,5.40804e+06
9,17962,5.56731e+06
9,19182,5.21322e+06
9,19165,5.21785e+06
9,18388,5.43833e+06
9,19120,5.23013e+06
9,19323,5.17518e+06
9,19209,5.20589e+06
9,18716,5.34302e+06
9,18383,5.43981e+06
9,18925,5.28402e+06
9,18435,5.42446e+06
9,18520,5.39957e+06
9,18702,5.34702e+06
9,18769,5.32793e+06
9,18289,5.46777e+06
9,18615,5.37201e+06
9,18923,5.28457e+06
9,18341,5.45227e+06
9,18418,5.42947e+06
9,18139,5.51298e+06
9,13806,7.24323e+06
9,18366,5.44484e+06
9,19154,5.22084e+06
9,19223,5.2021e+06
9,20042,4.98952e+06
9,20329,4.91908e+06
9,19510,5.12558e+06
9,18177,5.50146e+06
9,18858,5.30279e+06
9,19187,5.21186e+06
9,7681,1.30191e+07
9,17083,5.85377e+06
9,18202,5.4939e+06
9,18879,5.29689e+06
9,19121,5.22985e+06
9,19259,5.19238e+06
9,18684,5.35217e+06
9,18847,5.30588e+06
9,18586,5.38039e+06
9,18633,5.36682e+06
9,18811,5.31604e+06
9,18910,5.28821e+06
9,18609,5.37374e+06
9,18390,5.43774e+06
9,18332,5.45494e+06
9,19488,5.13136e+06
9,18313,5.4606e+06
9,19273,5.18861e+06
9,18237,5.48336e+06
9,19564,5.11143e+06
9,18612,5.37288e+06
9,19167,5.2173e+06
9,18120,5.51876e+06
9,19073,5.24301e+06
9,17925,5.5788e+06
9,18964,5.27315e+06
9,17893,5.58878e+06
9,19170,5.21648e+06
9,16618,6.01757e+06
9,17935,5.57569e+06
9,18099,5.52517e+06
9,18526,5.39782e+06
9,19794,5.05204e+06
9,18077,5.53189e+06
9,18079,5.53128e+06
9,17982,5.56112e+06
9,17604,5.68053e+06
9,18399,5.43508e+06
9,18139,5.51298e+06
9,17753,5.63285e+06
9,18185,5.49904e+06
9,18253,5.47855e+06
9,19191,5.21078e+06
9,18522,5.39898e+06
9,18702,5.34702e+06
9,18599,5.37663e+06
9,18409,5.43213e+06
9,19205,5.20698e+06
9,18977,5.26954e+06
9,18416,5.43006e+06
9,18887,5.29465e+06
9,18533,5.39578e+06
9,18551,5.39054e+06
