num_threads,runtime_microseconds,throughput_ops_sec
1,53069,1.88434e+06
1,88206,1.13371e+06
1,38563,2.59316e+06
1,32052,3.11993e+06
1,38397,2.60437e+06
1,31562,3.16837e+06
1,38261,2.61363e+06
1,31639,3.16066e+06
1,37986,2.63255e+06
1,31594,3.16516e+06
1,37471,2.66873e+06
1,37343,2.67788e+06
1,38865,2.57301e+06
1,122497,816347
1,37618,2.6583e+06
1,38930,2.56871e+06
1,38594,2.59108e+06
1,31563,3.16827e+06
1,37930,2.63644e+06
1,31376,3.18715e+06
1,38499,2.59747e+06
1,38848,2.57414e+06
1,37156,2.69136e+06
1,38845,2.57433e+06
1,38634,2.58839e+06
1,38538,2.59484e+06
1,38716,2.58291e+06
1,31614,3.16316e+06
1,31409,3.1838e+06
1,32455,3.08119e+06
1,38437,2.60166e+06
1,38566,2.59296e+06
1,115706,864259
1,38526,2.59565e+06
1,39301,2.54446e+06
1,37924,2.63685e+06
1,39232,2.54894e+06
1,33074,3.02352e+06
1,25574,3.91022e+06
1,32852,3.04395e+06
1,37848,2.64215e+06
1,32029,3.12217e+06
1,38631,2.58859e+06
1,37406,2.67337e+06
1,38500,2.5974e+06
1,38166,2.62013e+06
1,38012,2.63075e+06
1,37557,2.66262e+06
1,38249,2.61445e+06
1,35911,2.78466e+06
1,38321,2.60954e+06
1,31006,3.22518e+06
1,32095,3.11575e+06
1,32654,3.06241e+06
1,45268,2.20907e+06
1,59338,1.68526e+06
1,32581,3.06927e+06
1,31308,3.19407e+06
1,31271,3.19785e+06
1,32649,3.06288e+06
1,31938,3.13107e+06
1,41585,2.40471e+06
1,33438,2.99061e+06
1,42441,2.35621e+06
1,33142,3.01732e+06
1,32430,3.08356e+06
1,32957,3.03426e+06
1,32298,3.09617e+06
1,32811,3.04776e+06
1,26969,3.70796e+06
1,31519,3.17269e+06
1,39597,2.52544e+06
1,27895,3.58487e+06
1,26119,3.82863e+06
1,37492,2.66724e+06
1,28172,3.54962e+06
1,26399,3.78802e+06
1,25001,3.99984e+06
1,25835,3.87072e+06
1,26048,3.83907e+06
1,29946,3.33934e+06
1,36190,2.76319e+06
1,45150,2.21484e+06
1,30091,3.32325e+06
1,29456,3.39489e+06
1,24627,4.06058e+06
1,35695,2.80151e+06
1,31823,3.14238e+06
1,27853,3.59028e+06
1,25969,3.85075e+06
1,30563,3.27193e+06
1,25365,3.94244e+06
