num_threads,runtime_microseconds,throughput_ops_sec
1,53478,1.86993e+06
1,48451,2.06394e+06
1,48509,2.06147e+06
1,48701,2.05335e+06
1,48740,2.0517e+06
1,48496,2.06203e+06
1,61164,1.63495e+06
1,48288,2.07091e+06
1,48496,2.06203e+06
1,48553,2.0596e+06
1,48547,2.05986e+06
1,48642,2.05584e+06
1,60864,1.64301e+06
1,48874,2.04608e+06
1,48592,2.05795e+06
1,49443,2.02253e+06
1,52977,1.88761e+06
1,48616,2.05694e+06
1,48560,2.05931e+06
1,48616,2.05694e+06
1,48518,2.06109e+06
1,52129,1.91832e+06
1,48521,2.06096e+06
1,48780,2.05002e+06
1,58002,1.72408e+06
1,51129,1.95584e+06
1,53146,1.88161e+06
1,53649,1.86397e+06
1,55237,1.81038e+06
1,51580,1.93874e+06
1,51463,1.94314e+06
1,49214,2.03194e+06
1,48716,2.05271e+06
1,52720,1.89681e+06
1,48690,2.05381e+06
1,51823,1.92965e+06
1,51326,1.94833e+06
1,47996,2.08351e+06
1,51830,1.92938e+06
1,53248,1.878e+06
1,53291,1.87649e+06
1,64847,1.54209e+06
1,49746,2.01021e+06
1,51295,1.94951e+06
1,52180,1.91644e+06
1,53734,1.86102e+06
1,53185,1.88023e+06
1,53595,1.86585e+06
1,52985,1.88733e+06
1,64718,1.54517e+06
1,49611,2.01568e+06
1,53190,1.88005e+06
1,59944,1.66822e+06
1,50700,1.97239e+06
1,52382,1.90905e+06
1,53441,1.87122e+06
1,52139,1.91795e+06
1,51431,1.94435e+06
1,51557,1.9396e+06
1,51845,1.92883e+06
1,53697,1.8623e+06
1,52902,1.89029e+06
1,53219,1.87903e+06
1,54677,1.82892e+06
1,59679,1.67563e+06
1,61801,1.6181e+06
1,51037,1.95936e+06
1,51475,1.94269e+06
1,52109,1.91905e+06
1,52899,1.89039e+06
1,60095,1.66403e+06
1,49974,2.00104e+06
1,62604,1.59734e+06
1,49850,2.00602e+06
1,51498,1.94182e+06
1,53172,1.88069e+06
1,56687,1.76407e+06
1,53032,1.88565e+06
1,51789,1.93091e+06
1,49739,2.01049e+06
1,52725,1.89663e+06
1,53359,1.8741e+06
1,51202,1.95305e+06
1,62122,1.60974e+06
1,51705,1.93405e+06
1,53082,1.88388e+06
1,53124,1.88239e+06
1,52791,1.89426e+06
1,53247,1.87804e+06
1,53172,1.88069e+06
1,49615,2.01552e+06
1,51657,1.93585e+06
1,54571,1.83248e+06
1,51174,1.95412e+06
1,49569,2.01739e+06
1,54367,1.83935e+06
1,51973,1.92408e+06
1,50739,1.97087e+06
1,60705,1.64731e+06
1,52110,1.91902e+06
2,39727,2.51718e+06
2,37520,2.66525e+06
2,71091,1.40665e+06
2,45221,2.21136e+06
2,34253,2.91945e+06
2,37997,2.63179e+06
2,34857,2.86886e+06
2,40037,2.49769e+06
2,37200,2.68817e+06
2,35234,2.83817e+06
2,40714,2.45616e+06
2,38893,2.57116e+06
2,39024,2.56253e+06
2,38326,2.60919e+06
2,38454,2.60051e+06
2,38260,2.6137e+06
2,38014,2.63061e+06
2,39188,2.5518e+06
2,65883,1.51784e+06
2,40702,2.45688e+06
2,65960,1.51607e+06
2,36193,2.76297e+06
2,34191,2.92475e+06
2,39435,2.53582e+06
2,68561,1.45856e+06
2,68028,1.46998e+06
2,68170,1.46692e+06
2,73744,1.35604e+06
2,69075,1.4477e+06
2,43545,2.29647e+06
2,35408,2.82422e+06
2,34783,2.87497e+06
2,38338,2.60838e+06
2,37630,2.65745e+06
2,39080,2.55885e+06
2,37660,2.65534e+06
2,39735,2.51667e+06
2,37029,2.70059e+06
2,38880,2.57202e+06
2,68882,1.45176e+06
2,65912,1.51717e+06
2,67733,1.47639e+06
2,42533,2.35112e+06
2,71157,1.40534e+06
2,34396,2.90731e+06
2,41619,2.40275e+06
2,36012,2.77685e+06
2,70677,1.41489e+06
2,68144,1.46748e+06
2,39781,2.51376e+06
2,38703,2.58378e+06
2,42847,2.33389e+06
2,69278,1.44346e+06
2,40829,2.44924e+06
2,36822,2.71577e+06
2,35703,2.80089e+06
2,33620,2.97442e+06
2,36449,2.74356e+06
2,38536,2.59498e+06
2,38372,2.60607e+06
2,38896,2.57096e+06
2,33771,2.96112e+06
2,35435,2.82207e+06
2,39346,2.54155e+06
2,37944,2.63546e+06
2,73535,1.3599e+06
2,65103,1.53603e+06
2,64199,1.55766e+06
2,34269,2.91809e+06
2,34087,2.93367e+06
2,34324,2.91341e+06
2,36546,2.73628e+06
2,40425,2.47372e+06
2,40058,2.49638e+06
2,63659,1.57087e+06
2,44894,2.22747e+06
2,33391,2.99482e+06
2,67507,1.48133e+06
2,39284,2.54557e+06
2,33362,2.99742e+06
2,40011,2.49931e+06
2,38329,2.60899e+06
2,39204,2.55076e+06
2,39133,2.55539e+06
2,71611,1.39643e+06
2,43157,2.31712e+06
2,68329,1.46351e+06
2,34428,2.90461e+06
2,46079,2.17019e+06
2,44360,2.25428e+06
2,44271,2.25882e+06
2,37386,2.6748e+06
2,36553,2.73575e+06
2,35332,2.8303e+06
2,38412,2.60335e+06
2,38299,2.61103e+06
2,35632,2.80647e+06
2,37888,2.63936e+06
2,45365,2.20434e+06
2,38795,2.57765e+06
3,81823,1.22215e+06
3,83718,1.19449e+06
3,85903,1.1641e+06
3,81420,1.2282e+06
3,43893,2.27827e+06
3,45227,2.21107e+06
3,43515,2.29806e+06
3,84747,1.17998e+06
3,46299,2.15987e+06
3,78247,1.278e+06
3,46125,2.16802e+06
3,47822,2.09109e+06
3,44709,2.23669e+06
3,45314,2.20682e+06
3,43209,2.31433e+06
3,45610,2.1925e+06
3,79877,1.25192e+06
3,82795,1.2078e+06
3,84422,1.18453e+06
3,84920,1.17758e+06
3,83744,1.19412e+06
3,47066,2.12468e+06
3,45361,2.20454e+06
3,44187,2.26311e+06
3,50111,1.99557e+06
3,47166,2.12017e+06
3,90137,1.10942e+06
3,82868,1.20674e+06
3,47879,2.0886e+06
3,48825,2.04813e+06
3,47412,2.10917e+06
3,47012,2.12712e+06
3,77472,1.29079e+06
3,81467,1.22749e+06
3,47994,2.08359e+06
3,76042,1.31506e+06
3,46419,2.15429e+06
3,78475,1.27429e+06
3,83239,1.20136e+06
3,76372,1.30938e+06
3,83973,1.19086e+06
3,81095,1.23312e+06
3,88942,1.12433e+06
3,83149,1.20266e+06
3,82652,1.20989e+06
3,81425,1.22812e+06
3,76090,1.31423e+06
3,82253,1.21576e+06
3,78678,1.271e+06
3,81223,1.23118e+06
3,47635,2.0993e+06
3,77139,1.29636e+06
3,45922,2.17761e+06
3,45151,2.21479e+06
3,45659,2.19015e+06
