num_threads,runtime_microseconds,throughput_ops_sec
1,13329,7.50244e+06
1,11911,8.3956e+06
1,7808,1.28074e+07
1,11101,9.0082e+06
1,12875,7.76699e+06
1,10826,9.23702e+06
1,16713,5.98337e+06
1,8705,1.14877e+07
1,7957,1.25676e+07
1,6918,1.4455e+07
1,7651,1.30702e+07
1,7020,1.4245e+07
1,7552,1.32415e+07
1,7757,1.28916e+07
1,7626,1.3113e+07
1,7818,1.2791e+07
1,8528,1.17261e+07
1,13686,7.30674e+06
1,8976,1.11408e+07
1,14836,6.74036e+06
1,7486,1.33583e+07
1,10042,9.95818e+06
1,7907,1.2647e+07
1,11030,9.06618e+06
1,7760,1.28866e+07
1,8145,1.22775e+07
1,7530,1.32802e+07
1,7887,1.26791e+07
1,7567,1.32153e+07
1,8076,1.23824e+07
1,7692,1.30005e+07
1,7840,1.27551e+07
1,8691,1.15062e+07
1,7371,1.35667e+07
1,13051,7.66225e+06
1,7894,1.26678e+07
1,7362,1.35833e+07
1,11352,8.80902e+06
1,8204,1.21892e+07
1,7553,1.32398e+07
1,13060,7.65697e+06
1,7460,1.34048e+07
1,13533,7.38934e+06
1,7347,1.3611e+07
1,6872,1.45518e+07
1,6893,1.45075e+07
1,8229,1.21521e+07
1,8420,1.18765e+07
1,7450,1.34228e+07
1,8191,1.22085e+07
1,10679,9.36417e+06
1,8175,1.22324e+07
1,7396,1.35208e+07
1,13316,7.50976e+06
1,12800,7.8125e+06
1,9887,1.01143e+07
1,13374,7.47719e+06
1,13948,7.16949e+06
1,13819,7.23641e+06
1,11298,8.85112e+06
1,10569,9.46163e+06
1,13920,7.18391e+06
1,7410,1.34953e+07
1,7356,1.35943e+07
1,7255,1.37836e+07
1,10914,9.16254e+06
1,7027,1.42308e+07
1,7559,1.32293e+07
1,7611,1.31389e+07
1,7474,1.33797e+07
1,7394,1.35245e+07
1,13784,7.25479e+06
1,14055,7.11491e+06
1,8025,1.24611e+07
1,10955,9.12825e+06
1,7650,1.30719e+07
1,7697,1.29921e+07
1,8175,1.22324e+07
1,7713,1.29651e+07
1,8315,1.20265e+07
1,9022,1.1084e+07
1,8709,1.14824e+07
1,8060,1.24069e+07
1,6990,1.43062e+07
1,7773,1.2865e+07
1,7853,1.2734e+07
1,7746,1.29099e+07
1,7672,1.30344e+07
1,8927,1.1202e+07
1,6910,1.44718e+07
1,7882,1.26871e+07
1,7682,1.30174e+07
1,7921,1.26247e+07
1,7779,1.28551e+07
1,9697,1.03125e+07
1,9289,1.07654e+07
1,8957,1.11645e+07
1,7821,1.27861e+07
1,7200,1.38889e+07
1,7664,1.3048e+07
2,15072,6.63482e+06
2,13451,7.43439e+06
2,21214,4.71387e+06
2,23229,4.30496e+06
2,14653,6.82454e+06
2,15685,6.37552e+06
2,13605,7.35024e+06
2,15383,6.50068e+06
2,22826,4.38097e+06
2,14331,6.97788e+06
2,15496,6.45328e+06
2,22493,4.44583e+06
2,22981,4.35142e+06
2,22228,4.49883e+06
2,18931,5.28234e+06
2,10180,9.82318e+06
2,22468,4.45077e+06
2,21831,4.58064e+06
2,22754,4.39483e+06
2,22126,4.51957e+06
2,21315,4.69153e+06
2,22257,4.49297e+06
2,22228,4.49883e+06
2,22157,4.51325e+06
2,20531,4.87068e+06
2,21964,4.5529e+06
2,20316,4.92223e+06
2,22256,4.49317e+06
2,14542,6.87663e+06
2,21372,4.67902e+06
2,22911,4.36472e+06
2,12349,8.09782e+06
2,14873,6.72359e+06
2,14260,7.01262e+06
2,15956,6.26723e+06
2,16841,5.93789e+06
2,20717,4.82695e+06
2,15640,6.39386e+06
2,22242,4.496e+06
2,17434,5.73592e+06
2,14994,6.66933e+06
2,15170,6.59196e+06
2,13593,7.35673e+06
2,14654,6.82408e+06
2,14563,6.86672e+06
2,15488,6.45661e+06
2,21122,4.7344e+06
2,22033,4.53865e+06
2,14106,7.08918e+06
2,16141,6.1954e+06
2,14794,6.7595e+06
2,15485,6.45786e+06
2,13246,7.54945e+06
2,13942,7.17257e+06
2,14233,7.02593e+06
2,15721,6.36092e+06
2,13830,7.23066e+06
2,18660,5.35906e+06
2,16724,5.97943e+06
2,21462,4.6594e+06
2,24566,4.07067e+06
2,16895,5.91891e+06
2,16627,6.01431e+06
2,16532,6.04887e+06
2,25895,3.86175e+06
2,15611,6.40574e+06
2,13703,7.29767e+06
2,10230,9.77517e+06
2,15722,6.36051e+06
2,15056,6.64187e+06
2,14768,6.7714e+06
2,24299,4.1154e+06
2,20700,4.83092e+06
2,23220,4.30663e+06
2,22694,4.40645e+06
2,13324,7.50525e+06
2,14689,6.80782e+06
2,13583,7.36214e+06
2,21813,4.58442e+06
2,13709,7.29448e+06
2,24186,4.13462e+06
2,13092,7.63825e+06
2,23444,4.26548e+06
2,21034,4.75421e+06
2,18294,5.46627e+06
2,13360,7.48503e+06
2,13931,7.17824e+06
2,13636,7.33353e+06
2,17891,5.5894e+06
2,19897,5.02588e+06
2,21877,4.57101e+06
2,24533,4.07614e+06
2,24975,4.004e+06
2,12823,7.79849e+06
2,14625,6.83761e+06
2,18856,5.30335e+06
2,12649,7.90576e+06
2,15035,6.65115e+06
2,14689,6.80782e+06
2,12534,7.9783e+06
3,27769,3.60114e+06
3,24789,4.03405e+06
3,22260,4.49236e+06
3,20113,4.97191e+06
3,21508,4.64943e+06
3,21815,4.584e+06
3,22521,4.4403e+06
3,21881,4.57018e+06
3,21706,4.60702e+06
3,21299,4.69506e+06
3,23517,4.25224e+06
3,21255,4.70478e+06
3,23105,4.32807e+06
3,22081,4.52878e+06
3,19472,5.13558e+06
3,21923,4.56142e+06
3,20083,4.97934e+06
3,22134,4.51794e+06
