num_threads,runtime_microseconds,throughput_ops_sec
1,36792,2.71798e+06
1,37359,2.67673e+06
1,36714,2.72376e+06
1,37552,2.66297e+06
1,37003,2.70248e+06
1,37225,2.68637e+06
1,36862,2.71282e+06
1,47752,2.09415e+06
1,37724,2.65083e+06
1,37077,2.69709e+06
1,49433,2.02294e+06
1,48346,2.06842e+06
1,48539,2.0602e+06
1,45873,2.17993e+06
1,50422,1.98326e+06
1,49366,2.02569e+06
1,47209,2.11824e+06
1,49132,2.03533e+06
1,41085,2.43398e+06
1,49428,2.02314e+06
1,49262,2.02996e+06
1,49922,2.00312e+06
1,48498,2.06194e+06
1,47501,2.10522e+06
1,49371,2.02548e+06
1,47719,2.0956e+06
1,47785,2.09271e+06
1,49063,2.0382e+06
1,37073,2.69738e+06
1,48348,2.06834e+06
1,41371,2.41715e+06
1,49624,2.01515e+06
1,37151,2.69172e+06
1,36833,2.71496e+06
1,37500,2.66667e+06
1,38516,2.59632e+06
1,37240,2.68528e+06
1,37341,2.67802e+06
1,37188,2.68904e+06
1,37409,2.67315e+06
1,37691,2.65315e+06
1,36843,2.71422e+06
1,39144,2.55467e+06
1,38082,2.62591e+06
1,39313,2.54369e+06
1,40703,2.45682e+06
1,40711,2.45634e+06
1,37980,2.63296e+06
1,38989,2.56483e+06
1,38765,2.57965e+06
1,40131,2.49184e+06
1,36578,2.73388e+06
1,41861,2.38886e+06
1,36842,2.71429e+06
1,47679,2.09736e+06
1,47161,2.1204e+06
1,42074,2.37676e+06
1,45989,2.17443e+06
1,47984,2.08403e+06
1,42250,2.36686e+06
1,42732,2.34017e+06
1,44970,2.2237e+06
1,48150,2.07684e+06
1,48277,2.07138e+06
1,48870,2.04625e+06
1,48983,2.04152e+06
1,36803,2.71717e+06
1,36091,2.77077e+06
1,36673,2.7268e+06
1,36026,2.77577e+06
1,35916,2.78427e+06
1,37968,2.6338e+06
1,48953,2.04278e+06
1,46642,2.14399e+06
1,50393,1.9844e+06
1,47782,2.09284e+06
1,50016,1.99936e+06
1,45683,2.189e+06
1,47706,2.09617e+06
1,48481,2.06266e+06
1,50028,1.99888e+06
1,47754,2.09407e+06
1,48723,2.05242e+06
1,47959,2.08511e+06
1,38510,2.59673e+06
1,38728,2.58211e+06
1,35851,2.78932e+06
1,35655,2.80466e+06
1,36342,2.75164e+06
1,39713,2.51807e+06
1,48065,2.08052e+06
1,49094,2.03691e+06
1,51266,1.95061e+06
1,41969,2.38271e+06
1,46648,2.14371e+06
1,48583,2.05833e+06
1,47515,2.1046e+06
1,45101,2.21725e+06
1,46628,2.14463e+06
1,49508,2.01988e+06
2,30414,3.28796e+06
2,30676,3.25988e+06
2,30184,3.31301e+06
2,29853,3.34975e+06
2,31251,3.1999e+06
2,32154,3.11003e+06
2,50184,1.99267e+06
2,34094,2.93307e+06
2,48777,2.05015e+06
2,30391,3.29045e+06
2,30210,3.31016e+06
2,32881,3.04127e+06
2,31121,3.21326e+06
2,30350,3.29489e+06
2,30505,3.27815e+06
2,30381,3.29153e+06
2,30621,3.26573e+06
2,31980,3.12695e+06
2,47933,2.08625e+06
2,25663,3.89666e+06
2,29929,3.34124e+06
2,31530,3.17158e+06
2,31569,3.16766e+06
2,30562,3.27204e+06
2,30594,3.26861e+06
2,37608,2.65901e+06
2,32268,3.09905e+06
2,30174,3.31411e+06
2,30611,3.2668e+06
2,29837,3.35154e+06
2,30043,3.32856e+06
2,29971,3.33656e+06
2,44194,2.26275e+06
2,27855,3.59002e+06
2,30017,3.33145e+06
2,28613,3.49491e+06
2,28650,3.4904e+06
2,29552,3.38387e+06
2,31139,3.21141e+06
2,44281,2.2583e+06
2,31660,3.15856e+06
2,31277,3.19724e+06
2,48661,2.05503e+06
2,28012,3.5699e+06
2,47877,2.08869e+06
2,25712,3.88923e+06
2,33222,3.01005e+06
2,28238,3.54133e+06
2,43983,2.27361e+06
2,27505,3.6357e+06
2,30101,3.32215e+06
2,26570,3.76364e+06
2,26517,3.77117e+06
2,33486,2.98632e+06
2,25941,3.8549e+06
2,28225,3.54296e+06
2,28328,3.53008e+06
2,29598,3.37861e+06
2,29444,3.39628e+06
2,34746,2.87803e+06
2,33156,3.01605e+06
2,37911,2.63776e+06
2,45083,2.21813e+06
2,26711,3.74378e+06
2,26339,3.79665e+06
2,27089,3.69154e+06
2,44196,2.26265e+06
2,43677,2.28953e+06
2,30043,3.32856e+06
2,45733,2.1866e+06
2,30188,3.31257e+06
2,31714,3.15318e+06
2,27859,3.5895e+06
2,50226,1.991e+06
2,25534,3.91635e+06
2,29325,3.41006e+06
2,49127,2.03554e+06
2,27929,3.58051e+06
2,26644,3.75319e+06
2,43468,2.30054e+06
2,27257,3.66878e+06
2,25960,3.85208e+06
2,26406,3.78702e+06
2,43359,2.30633e+06
2,49517,2.01951e+06
2,45412,2.20206e+06
2,48672,2.05457e+06
2,32106,3.11468e+06
2,25387,3.93902e+06
2,28317,3.53145e+06
2,25779,3.87913e+06
2,27558,3.62871e+06
2,28091,3.55986e+06
2,46947,2.13006e+06
2,51970,1.92419e+06
2,28953,3.45387e+06
2,28817,3.47017e+06
2,48057,2.08086e+06
2,26477,3.77686e+06
2,48487,2.06241e+06
3,61576,1.62401e+06
3,59620,1.67729e+06
3,32601,3.06739e+06
3,32655,3.06232e+06
3,32536,3.07352e+06
3,59557,1.67906e+06
3,55963,1.78689e+06
3,55674,1.79617e+06
3,59047,1.69357e+06
3,57240,1.74703e+06
3,34113,2.93143e+06
3,33535,2.98196e+06
3,33557,2.98e+06
3,33294,3.00354e+06
3,32960,3.03398e+06
3,56876,1.75821e+06
3,59293,1.68654e+06
3,58906,1.69762e+06
3,33107,3.02051e+06
3,37051,2.69898e+06
3,33783,2.96007e+06
3,34665,2.88475e+06
3,32734,3.05493e+06
3,34902,2.86517e+06
3,35107,2.84843e+06
3,53698,1.86227e+06
3,34529,2.89612e+06
3,32649,3.06288e+06
3,35619,2.80749e+06
3,33099,3.02124e+06
3,36733,2.72235e+06
3,53763,1.86002e+06
3,57381,1.74274e+06
3,59127,1.69127e+06
3,33620,2.97442e+06
3,33574,2.9785e+06
3,33208,3.01132e+06
3,33691,2.96815e+06
3,32936,3.03619e+06
3,33021,3.02838e+06
3,33205,3.01159e+06
3,54910,1.82116e+06
3,33921,2.94803e+06
3,33639,2.97274e+06
3,33037,3.02691e+06
3,33851,2.95412e+06
3,58921,1.69719e+06
3,33674,2.96965e+06
3,35321,2.83118e+06
3,33758,2.96226e+06
3,33535,2.98196e+06
3,59477,1.68132e+06
3,56670,1.7646e+06
3,57069,1.75226e+06
3,35914,2.78443e+06
3,60189,1.66143e+06
3,55122,1.81416e+06
3,55792,1.79237e+06
3,56526,1.7691e+06
3,56438,1.77186e+06
3,57129,1.75042e+06
3,55895,1.78907e+06
3,57174,1.74905e+06
3,65730,1.52138e+06
3,61752,1.61938e+06
3,58286,1.71568e+06
3,55639,1.7973e+06
3,54645,1.82999e+06
3,54318,1.84101e+06
3,54749,1.82652e+06
3,34912,2.86434e+06
3,55380,1.80571e+06
3,63701,1.56983e+06
3,57229,1.74737e+06
3,53968,1.85295e+06
3,57464,1.74022e+06
3,54538,1.83358e+06
3,55083,1.81544e+06
3,54037,1.85058e+06
3,56100,1.78253e+06
3,55683,1.79588e+06
3,54998,1.81825e+06
3,56995,1.75454e+06
3,54110,1.84809e+06
3,55795,1.79228e+06
3,55366,1.80616e+06
3,54477,1.83564e+06
3,56147,1.78104e+06
3,53145,1.88164e+06
3,36009,2.77708e+06
3,59254,1.68765e+06
3,34233,2.92116e+06
3,32413,3.08518e+06
3,33511,2.98409e+06
3,32709,3.05726e+06
3,33480,2.98686e+06
3,33738,2.96402e+06
3,38786,2.57825e+06
3,57631,1.73518e+06
3,62594,1.5976e+06
4,59826,1.67151e+06
4,63421,1.57676e+06
4,63164,1.58318e+06
4,61092,1.63688e+06
4,63194,1.58243e+06
4,59478,1.68129e+06
4,66480,1.50421e+06
4,61367,1.62954e+06
4,61188,1.63431e+06
4,60303,1.65829e+06
4,59862,1.67051e+06
4,60503,1.65281e+06
4,60823,1.64411e+06
4,59199,1.68922e+06
4,62366,1.60344e+06
4,60530,1.65207e+06
4,60824,1.64409e+06
4,61731,1.61993e+06
4,60333,1.65747e+06
4,70514,1.41816e+06
4,67064,1.49111e+06
4,60822,1.64414e+06
4,61341,1.63023e+06
4,59709,1.67479e+06
4,61754,1.61933e+06
4,60075,1.66459e+06
4,60594,1.65033e+06
4,59666,1.676e+06
4,59783,1.67272e+06
4,58525,1.70867e+06
4,59529,1.67985e+06
4,58550,1.70794e+06
4,59981,1.66719e+06
4,34318,2.91392e+06
4,34988,2.85812e+06
4,34034,2.93824e+06
4,35130,2.84657e+06
4,34653,2.88575e+06
4,59029,1.69408e+06
4,36107,2.76955e+06
4,34464,2.90158e+06
4,35650,2.80505e+06
4,36607,2.73172e+06
4,58584,1.70695e+06
4,60723,1.64682e+06
4,58788,1.70103e+06
4,60998,1.6394e+06
4,34487,2.89964e+06
4,34498,2.89872e+06
4,35162,2.84398e+06
4,34193,2.92458e+06
4,59410,1.68322e+06
4,59889,1.66976e+06
4,60615,1.64976e+06
4,59938,1.66839e+06
4,34006,2.94066e+06
4,34256,2.9192e+06
4,34219,2.92235e+06
4,34440,2.9036e+06
4,60473,1.65363e+06
4,61463,1.627e+06
4,60118,1.6634e+06
4,34416,2.90563e+06
4,60916,1.6416e+06
4,59648,1.6765e+06
4,58716,1.70311e+06
4,58065,1.72221e+06
4,60686,1.64783e+06
4,59296,1.68645e+06
4,60431,1.65478e+06
4,62294,1.60529e+06
4,58870,1.69866e+06
4,59273,1.68711e+06
4,58406,1.71215e+06
4,58337,1.71418e+06
4,60924,1.64139e+06
4,59090,1.69233e+06
4,60734,1.64652e+06
4,66311,1.50805e+06
4,61038,1.63832e+06
4,59292,1.68657e+06
4,61519,1.62551e+06
4,59854,1.67073e+06
4,60578,1.65076e+06
4,59571,1.67867e+06
4,59125,1.69133e+06
4,59635,1.67687e+06
4,60990,1.63961e+06
4,59030,1.69405e+06
4,59731,1.67417e+06
4,60727,1.64671e+06
4,58244,1.71692e+06
4,59562,1.67892e+06
4,63913,1.56463e+06
4,58560,1.70765e+06
4,59026,1.69417e+06
4,60367,1.65653e+06
4,58144,1.71987e+06
4,59215,1.68876e+06
4,59472,1.68146e+06
5,60215,1.66072e+06
5,60359,1.65675e+06
5,60654,1.6487e+06
5,61222,1.6334e+06
5,60959,1.64045e+06
5,63198,1.58233e+06
5,60288,1.6587e+06
5,61790,1.61838e+06
5,61516,1.62559e+06
5,61147,1.6354e+06
5,62873,1.59051e+06
5,60700,1.64745e+06
5,66666,1.50002e+06
5,61074,1.63736e+06
5,64151,1.55882e+06
5,67947,1.47174e+06
5,62888,1.59013e+06
5,60914,1.64166e+06
5,63600,1.57233e+06
5,61422,1.62808e+06
5,66381,1.50646e+06
5,62637,1.5965e+06
5,38185,2.61883e+06
5,38375,2.60586e+06
5,60784,1.64517e+06
5,60883,1.64249e+06
5,60451,1.65423e+06
5,62746,1.59373e+06
5,64527,1.54974e+06
5,62325,1.60449e+06
5,62900,1.58983e+06
5,61283,1.63177e+06
5,62436,1.60164e+06
5,60505,1.65276e+06
5,64589,1.54825e+06
5,62716,1.59449e+06
5,63257,1.58085e+06
5,63212,1.58198e+06
5,62595,1.59757e+06
5,66706,1.49912e+06
5,62650,1.59617e+06
5,62906,1.58967e+06
5,60283,1.65884e+06
5,61867,1.61637e+06
5,60674,1.64815e+06
5,61063,1.63765e+06
5,61949,1.61423e+06
5,60729,1.64666e+06
5,60217,1.66066e+06
5,60307,1.65818e+06
5,61622,1.6228e+06
5,60848,1.64344e+06
5,60380,1.65618e+06
5,61812,1.61781e+06
5,60943,1.64088e+06
5,69688,1.43497e+06
5,62406,1.60241e+06
5,60771,1.64552e+06
5,61926,1.61483e+06
5,61054,1.63789e+06
5,63739,1.5689e+06
5,60535,1.65194e+06
5,60194,1.6613e+06
5,60991,1.63959e+06
5,64039,1.56155e+06
5,63025,1.58667e+06
5,60690,1.64772e+06
5,62535,1.5991e+06
5,61423,1.62805e+06
5,62837,1.59142e+06
5,61081,1.63717e+06
5,60977,1.63996e+06
5,62056,1.61145e+06
5,61767,1.61899e+06
5,63659,1.57087e+06
5,64074,1.5607e+06
5,60462,1.65393e+06
5,62119,1.60981e+06
5,59706,1.67487e+06
5,63973,1.56316e+06
5,67488,1.48174e+06
5,60409,1.65538e+06
5,60466,1.65382e+06
5,60109,1.66364e+06
5,60209,1.66088e+06
5,60505,1.65276e+06
5,61840,1.61708e+06
5,60600,1.65017e+06
5,60333,1.65747e+06
5,62819,1.59188e+06
5,60271,1.65917e+06
5,63160,1.58328e+06
5,59550,1.67926e+06
5,61304,1.63121e+06
5,61052,1.63795e+06
5,60539,1.65183e+06
5,62878,1.59038e+06
5,60776,1.64539e+06
5,60937,1.64104e+06
