num_threads,runtime_microseconds,throughput_ops_sec
1,45222,2.21131e+06
1,28249,3.53995e+06
1,25488,3.92341e+06
1,26800,3.73134e+06
1,33803,2.95832e+06
1,32822,3.04674e+06
1,34581,2.89176e+06
1,34034,2.93824e+06
1,32928,3.03693e+06
1,33814,2.95735e+06
1,33672,2.96983e+06
1,33210,3.01114e+06
1,32581,3.06927e+06
1,26299,3.80243e+06
1,29209,3.4236e+06
1,27575,3.62647e+06
1,28835,3.46801e+06
1,33843,2.95482e+06
1,34030,2.93858e+06
1,30368,3.29294e+06
1,33444,2.99007e+06
1,34049,2.93694e+06
1,34796,2.87389e+06
1,33605,2.97575e+06
1,34161,2.92731e+06
1,29459,3.39455e+06
1,25500,3.92157e+06
1,51227,1.9521e+06
1,34530,2.89603e+06
1,33060,3.0248e+06
1,34739,2.87861e+06
1,33606,2.97566e+06
1,34403,2.90672e+06
1,33739,2.96393e+06
1,32379,3.08842e+06
1,34133,2.92972e+06
1,33737,2.9641e+06
1,33723,2.96534e+06
1,33814,2.95735e+06
1,27369,3.65377e+06
1,38411,2.60342e+06
1,32145,3.1109e+06
1,32578,3.06956e+06
1,33541,2.98143e+06
1,33471,2.98766e+06
1,34498,2.89872e+06
1,33755,2.96252e+06
1,33578,2.97814e+06
1,32700,3.0581e+06
1,32828,3.04618e+06
1,32902,3.03933e+06
1,32693,3.05876e+06
1,24626,4.06075e+06
1,32731,3.05521e+06
1,31837,3.141e+06
1,32582,3.06918e+06
1,32586,3.0688e+06
1,27815,3.59518e+06
1,33014,3.02902e+06
1,42150,2.37248e+06
1,39477,2.53312e+06
1,41190,2.42777e+06
1,39980,2.50125e+06
1,45125,2.21607e+06
1,39370,2.54001e+06
1,40531,2.46725e+06
1,39084,2.55859e+06
1,39322,2.54311e+06
1,38952,2.56726e+06
1,38897,2.57089e+06
1,38886,2.57162e+06
1,38577,2.59222e+06
1,38973,2.56588e+06
1,39512,2.53088e+06
1,40295,2.4817e+06
1,38129,2.62268e+06
1,39247,2.54797e+06
1,41344,2.41873e+06
1,31067,3.21885e+06
1,33401,2.99392e+06
1,33488,2.98614e+06
1,26831,3.72703e+06
1,24707,4.04744e+06
1,29568,3.38203e+06
1,25930,3.85654e+06
1,27616,3.62109e+06
1,24608,4.06372e+06
1,27206,3.67566e+06
1,26452,3.78043e+06
1,26156,3.82321e+06
1,26669,3.74967e+06
1,25432,3.93205e+06
1,37797,2.64571e+06
1,39618,2.52411e+06
1,39927,2.50457e+06
1,39165,2.5533e+06
1,40236,2.48534e+06
