num_threads,runtime_microseconds,throughput_ops_sec
1,60961,1.64039e+06
1,52979,1.88754e+06
1,57415,1.74171e+06
1,52845,1.89233e+06
1,52911,1.88997e+06
1,55987,1.78613e+06
1,59019,1.69437e+06
1,53408,1.87238e+06
1,52816,1.89337e+06
1,52679,1.89829e+06
1,56752,1.76205e+06
1,56120,1.7819e+06
1,55199,1.81163e+06
1,59365,1.68449e+06
1,53848,1.85708e+06
1,52799,1.89398e+06
1,52987,1.88726e+06
1,53522,1.86839e+06
1,53414,1.87217e+06
1,56450,1.77148e+06
1,54730,1.82715e+06
1,55152,1.81317e+06
1,57067,1.75233e+06
1,59284,1.6868e+06
1,58988,1.69526e+06
1,59394,1.68367e+06
1,59286,1.68674e+06
1,59190,1.68947e+06
1,59163,1.69025e+06
1,56755,1.76196e+06
1,59374,1.68424e+06
1,59249,1.68779e+06
1,60908,1.64182e+06
1,53538,1.86783e+06
1,52933,1.88918e+06
1,52603,1.90103e+06
1,52789,1.89433e+06
1,52673,1.89851e+06
1,52842,1.89243e+06
1,52602,1.90107e+06
1,52351,1.91018e+06
1,53246,1.87808e+06
1,58437,1.71124e+06
1,56372,1.77393e+06
1,66088,1.51313e+06
1,58843,1.69944e+06
1,54130,1.8474e+06
1,52684,1.89811e+06
1,60126,1.66317e+06
1,55099,1.81491e+06
1,54904,1.82136e+06
1,57021,1.75374e+06
1,52666,1.89876e+06
1,54535,1.83368e+06
1,54990,1.81851e+06
1,53987,1.8523e+06
1,53340,1.87477e+06
1,59189,1.6895e+06
1,53032,1.88565e+06
1,53056,1.8848e+06
1,52637,1.8998e+06
1,53130,1.88218e+06
1,52777,1.89476e+06
1,58007,1.72393e+06
1,55964,1.78686e+06
1,52861,1.89175e+06
1,53178,1.88048e+06
1,60384,1.65607e+06
1,52699,1.89757e+06
1,58621,1.70587e+06
1,52993,1.88704e+06
1,55837,1.79093e+06
1,59036,1.69388e+06
1,52607,1.90089e+06
1,61825,1.61747e+06
1,59575,1.67856e+06
1,61659,1.62182e+06
1,59450,1.68209e+06
1,61354,1.62989e+06
1,55867,1.78997e+06
1,59690,1.67532e+06
1,52644,1.89955e+06
1,53678,1.86296e+06
1,56160,1.78063e+06
1,55819,1.7915e+06
1,56367,1.77409e+06
1,55629,1.79762e+06
1,55896,1.78904e+06
1,54578,1.83224e+06
1,60598,1.65022e+06
1,54575,1.83234e+06
1,56977,1.75509e+06
1,60826,1.64403e+06
1,59597,1.67794e+06
1,57840,1.72891e+06
1,60136,1.6629e+06
1,60207,1.66094e+06
1,60149,1.66254e+06
1,59109,1.69179e+06
1,57765,1.73115e+06
2,63117,1.58436e+06
2,37761,2.64823e+06
2,39049,2.56089e+06
2,41803,2.39217e+06
2,36818,2.71606e+06
2,38175,2.61952e+06
2,39990,2.50063e+06
2,38623,2.58913e+06
2,34566,2.89302e+06
2,42412,2.35782e+06
2,60709,1.6472e+06
2,34394,2.90748e+06
2,41922,2.38538e+06
2,37557,2.66262e+06
2,37993,2.63206e+06
2,38540,2.59471e+06
2,41500,2.40964e+06
2,62281,1.60563e+06
2,39807,2.51212e+06
2,34363,2.91011e+06
2,35486,2.81801e+06
2,35334,2.83014e+06
2,34168,2.92672e+06
2,34144,2.92877e+06
2,40996,2.43926e+06
2,36084,2.77131e+06
2,40323,2.47997e+06
2,38339,2.60831e+06
2,61925,1.61486e+06
2,61651,1.62203e+06
2,60222,1.66052e+06
2,38681,2.58525e+06
2,61643,1.62224e+06
2,33658,2.97106e+06
2,34383,2.90841e+06
2,35534,2.81421e+06
2,60549,1.65155e+06
2,60447,1.65434e+06
2,34028,2.93876e+06
2,36490,2.74048e+06
2,41762,2.39452e+06
2,39335,2.54227e+06
2,35280,2.83447e+06
